component_model_id,season,Model Week,location,target,weight
Dynamic Harmonic Model,2014/2015,40,Delaware,1 wk ahead,0.999999910918961
Dynamic Harmonic Model,2014/2015,41,Delaware,1 wk ahead,0.999999910918961
Dynamic Harmonic Model,2014/2015,42,Delaware,1 wk ahead,0.999999910918961
Dynamic Harmonic Model,2014/2015,43,Delaware,1 wk ahead,0.999999910918961
Dynamic Harmonic Model,2014/2015,44,Delaware,1 wk ahead,0.999999910918961
Historical Average,2014/2015,40,Delaware,1 wk ahead,8.73544337550538e-08
Historical Average,2014/2015,41,Delaware,1 wk ahead,8.73544337550538e-08
Historical Average,2014/2015,42,Delaware,1 wk ahead,8.73544337550538e-08
Historical Average,2014/2015,43,Delaware,1 wk ahead,8.73544337550538e-08
Historical Average,2014/2015,44,Delaware,1 wk ahead,8.73544337550538e-08
Subtype Historical Average,2014/2015,40,Delaware,1 wk ahead,1.7266054611755e-09
Subtype Historical Average,2014/2015,41,Delaware,1 wk ahead,1.7266054611755e-09
Subtype Historical Average,2014/2015,42,Delaware,1 wk ahead,1.7266054611755e-09
Subtype Historical Average,2014/2015,43,Delaware,1 wk ahead,1.7266054611755e-09
Subtype Historical Average,2014/2015,44,Delaware,1 wk ahead,1.7266054611755e-09
Dynamic Harmonic Model,2015/2016,40,Delaware,1 wk ahead,0.99999988690156
Dynamic Harmonic Model,2015/2016,41,Delaware,1 wk ahead,0.99999988690156
Dynamic Harmonic Model,2015/2016,42,Delaware,1 wk ahead,0.99999988690156
Dynamic Harmonic Model,2015/2016,43,Delaware,1 wk ahead,0.99999988690156
Dynamic Harmonic Model,2015/2016,44,Delaware,1 wk ahead,0.99999988690156
Historical Average,2015/2016,40,Delaware,1 wk ahead,4.56212538757584e-09
Historical Average,2015/2016,41,Delaware,1 wk ahead,4.56212538757584e-09
Historical Average,2015/2016,42,Delaware,1 wk ahead,4.56212538757584e-09
Historical Average,2015/2016,43,Delaware,1 wk ahead,4.56212538757584e-09
Historical Average,2015/2016,44,Delaware,1 wk ahead,4.56212538757584e-09
Subtype Historical Average,2015/2016,40,Delaware,1 wk ahead,1.08536314903458e-07
Subtype Historical Average,2015/2016,41,Delaware,1 wk ahead,1.08536314903458e-07
Subtype Historical Average,2015/2016,42,Delaware,1 wk ahead,1.08536314903458e-07
Subtype Historical Average,2015/2016,43,Delaware,1 wk ahead,1.08536314903458e-07
Subtype Historical Average,2015/2016,44,Delaware,1 wk ahead,1.08536314903458e-07
Dynamic Harmonic Model,2016/2017,40,Delaware,1 wk ahead,0.999999917130907
Dynamic Harmonic Model,2016/2017,41,Delaware,1 wk ahead,0.999999917130907
Dynamic Harmonic Model,2016/2017,42,Delaware,1 wk ahead,0.999999917130907
Dynamic Harmonic Model,2016/2017,43,Delaware,1 wk ahead,0.999999917130907
Dynamic Harmonic Model,2016/2017,44,Delaware,1 wk ahead,0.999999917130907
Historical Average,2016/2017,40,Delaware,1 wk ahead,1.59482281089624e-08
Historical Average,2016/2017,41,Delaware,1 wk ahead,1.59482281089624e-08
Historical Average,2016/2017,42,Delaware,1 wk ahead,1.59482281089624e-08
Historical Average,2016/2017,43,Delaware,1 wk ahead,1.59482281089624e-08
Historical Average,2016/2017,44,Delaware,1 wk ahead,1.59482281089624e-08
Subtype Historical Average,2016/2017,40,Delaware,1 wk ahead,6.69208645835497e-08
Subtype Historical Average,2016/2017,41,Delaware,1 wk ahead,6.69208645835497e-08
Subtype Historical Average,2016/2017,42,Delaware,1 wk ahead,6.69208645835497e-08
Subtype Historical Average,2016/2017,43,Delaware,1 wk ahead,6.69208645835497e-08
Subtype Historical Average,2016/2017,44,Delaware,1 wk ahead,6.69208645835497e-08
Dynamic Harmonic Model,2017/2018,40,Delaware,1 wk ahead,0.999999918247122
Dynamic Harmonic Model,2017/2018,41,Delaware,1 wk ahead,0.999999918247122
Dynamic Harmonic Model,2017/2018,42,Delaware,1 wk ahead,0.999999918247122
Dynamic Harmonic Model,2017/2018,43,Delaware,1 wk ahead,0.999999918247122
Dynamic Harmonic Model,2017/2018,44,Delaware,1 wk ahead,0.999999918247122
Historical Average,2017/2018,40,Delaware,1 wk ahead,1.00882912609347e-08
Historical Average,2017/2018,41,Delaware,1 wk ahead,1.00882912609347e-08
Historical Average,2017/2018,42,Delaware,1 wk ahead,1.00882912609347e-08
Historical Average,2017/2018,43,Delaware,1 wk ahead,1.00882912609347e-08
Historical Average,2017/2018,44,Delaware,1 wk ahead,1.00882912609347e-08
Subtype Historical Average,2017/2018,40,Delaware,1 wk ahead,7.16645872266037e-08
Subtype Historical Average,2017/2018,41,Delaware,1 wk ahead,7.16645872266037e-08
Subtype Historical Average,2017/2018,42,Delaware,1 wk ahead,7.16645872266037e-08
Subtype Historical Average,2017/2018,43,Delaware,1 wk ahead,7.16645872266037e-08
Subtype Historical Average,2017/2018,44,Delaware,1 wk ahead,7.16645872266037e-08
Dynamic Harmonic Model,2014/2015,45,Delaware,1 wk ahead,0.999999957251916
Dynamic Harmonic Model,2014/2015,46,Delaware,1 wk ahead,0.999999957251916
Dynamic Harmonic Model,2014/2015,47,Delaware,1 wk ahead,0.999999957251916
Dynamic Harmonic Model,2014/2015,48,Delaware,1 wk ahead,0.999999957251916
Historical Average,2014/2015,45,Delaware,1 wk ahead,3.73556688322283e-08
Historical Average,2014/2015,46,Delaware,1 wk ahead,3.73556688322283e-08
Historical Average,2014/2015,47,Delaware,1 wk ahead,3.73556688322283e-08
Historical Average,2014/2015,48,Delaware,1 wk ahead,3.73556688322283e-08
Subtype Historical Average,2014/2015,45,Delaware,1 wk ahead,5.39241499998808e-09
Subtype Historical Average,2014/2015,46,Delaware,1 wk ahead,5.39241499998808e-09
Subtype Historical Average,2014/2015,47,Delaware,1 wk ahead,5.39241499998808e-09
Subtype Historical Average,2014/2015,48,Delaware,1 wk ahead,5.39241499998808e-09
Dynamic Harmonic Model,2015/2016,45,Delaware,1 wk ahead,0.99999995582124
Dynamic Harmonic Model,2015/2016,46,Delaware,1 wk ahead,0.99999995582124
Dynamic Harmonic Model,2015/2016,47,Delaware,1 wk ahead,0.99999995582124
Dynamic Harmonic Model,2015/2016,48,Delaware,1 wk ahead,0.99999995582124
Historical Average,2015/2016,45,Delaware,1 wk ahead,8.71956293828812e-09
Historical Average,2015/2016,46,Delaware,1 wk ahead,8.71956293828812e-09
Historical Average,2015/2016,47,Delaware,1 wk ahead,8.71956293828812e-09
Historical Average,2015/2016,48,Delaware,1 wk ahead,8.71956293828812e-09
Subtype Historical Average,2015/2016,45,Delaware,1 wk ahead,3.54591974165595e-08
Subtype Historical Average,2015/2016,46,Delaware,1 wk ahead,3.54591974165595e-08
Subtype Historical Average,2015/2016,47,Delaware,1 wk ahead,3.54591974165595e-08
Subtype Historical Average,2015/2016,48,Delaware,1 wk ahead,3.54591974165595e-08
Dynamic Harmonic Model,2016/2017,45,Delaware,1 wk ahead,0.999999951078095
Dynamic Harmonic Model,2016/2017,46,Delaware,1 wk ahead,0.999999951078095
Dynamic Harmonic Model,2016/2017,47,Delaware,1 wk ahead,0.999999951078095
Dynamic Harmonic Model,2016/2017,48,Delaware,1 wk ahead,0.999999951078095
Historical Average,2016/2017,45,Delaware,1 wk ahead,1.95194096175141e-08
Historical Average,2016/2017,46,Delaware,1 wk ahead,1.95194096175141e-08
Historical Average,2016/2017,47,Delaware,1 wk ahead,1.95194096175141e-08
Historical Average,2016/2017,48,Delaware,1 wk ahead,1.95194096175141e-08
Subtype Historical Average,2016/2017,45,Delaware,1 wk ahead,2.94024950537796e-08
Subtype Historical Average,2016/2017,46,Delaware,1 wk ahead,2.94024950537796e-08
Subtype Historical Average,2016/2017,47,Delaware,1 wk ahead,2.94024950537796e-08
Subtype Historical Average,2016/2017,48,Delaware,1 wk ahead,2.94024950537796e-08
Dynamic Harmonic Model,2017/2018,45,Delaware,1 wk ahead,0.999999956902187
Dynamic Harmonic Model,2017/2018,46,Delaware,1 wk ahead,0.999999956902187
Dynamic Harmonic Model,2017/2018,47,Delaware,1 wk ahead,0.999999956902187
Dynamic Harmonic Model,2017/2018,48,Delaware,1 wk ahead,0.999999956902187
Historical Average,2017/2018,45,Delaware,1 wk ahead,1.44388541735533e-08
Historical Average,2017/2018,46,Delaware,1 wk ahead,1.44388541735533e-08
Historical Average,2017/2018,47,Delaware,1 wk ahead,1.44388541735533e-08
Historical Average,2017/2018,48,Delaware,1 wk ahead,1.44388541735533e-08
Subtype Historical Average,2017/2018,45,Delaware,1 wk ahead,2.86589589287998e-08
Subtype Historical Average,2017/2018,46,Delaware,1 wk ahead,2.86589589287998e-08
Subtype Historical Average,2017/2018,47,Delaware,1 wk ahead,2.86589589287998e-08
Subtype Historical Average,2017/2018,48,Delaware,1 wk ahead,2.86589589287998e-08
Dynamic Harmonic Model,2014/2015,49,Delaware,1 wk ahead,0.999999981670706
Dynamic Harmonic Model,2014/2015,50,Delaware,1 wk ahead,0.999999981670706
Dynamic Harmonic Model,2014/2015,51,Delaware,1 wk ahead,0.999999981670706
Dynamic Harmonic Model,2014/2015,52,Delaware,1 wk ahead,0.999999981670706
Historical Average,2014/2015,49,Delaware,1 wk ahead,1.07851467577928e-08
Historical Average,2014/2015,50,Delaware,1 wk ahead,1.07851467577928e-08
Historical Average,2014/2015,51,Delaware,1 wk ahead,1.07851467577928e-08
Historical Average,2014/2015,52,Delaware,1 wk ahead,1.07851467577928e-08
Subtype Historical Average,2014/2015,49,Delaware,1 wk ahead,7.54414717508506e-09
Subtype Historical Average,2014/2015,50,Delaware,1 wk ahead,7.54414717508506e-09
