component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2014/2015,40,Season peak week,0.866418509385903
Dynamic Harmonic Model,2014/2015,41,Season peak week,0.866418509385903
Dynamic Harmonic Model,2014/2015,42,Season peak week,0.866418509385903
Dynamic Harmonic Model,2014/2015,43,Season peak week,0.866418509385903
Dynamic Harmonic Model,2014/2015,44,Season peak week,0.866418509385903
Dynamic Harmonic Model,2014/2015,40,Season peak percentage,0.866418509385903
Dynamic Harmonic Model,2014/2015,41,Season peak percentage,0.866418509385903
Dynamic Harmonic Model,2014/2015,42,Season peak percentage,0.866418509385903
Dynamic Harmonic Model,2014/2015,43,Season peak percentage,0.866418509385903
Dynamic Harmonic Model,2014/2015,44,Season peak percentage,0.866418509385903
Historical Average,2014/2015,40,Season peak week,0.132603878275343
Historical Average,2014/2015,41,Season peak week,0.132603878275343
Historical Average,2014/2015,42,Season peak week,0.132603878275343
Historical Average,2014/2015,43,Season peak week,0.132603878275343
Historical Average,2014/2015,44,Season peak week,0.132603878275343
Historical Average,2014/2015,40,Season peak percentage,0.132603878275343
Historical Average,2014/2015,41,Season peak percentage,0.132603878275343
Historical Average,2014/2015,42,Season peak percentage,0.132603878275343
Historical Average,2014/2015,43,Season peak percentage,0.132603878275343
Historical Average,2014/2015,44,Season peak percentage,0.132603878275343
Subtype Historical Average,2014/2015,40,Season peak week,0.000977612338754427
Subtype Historical Average,2014/2015,41,Season peak week,0.000977612338754427
Subtype Historical Average,2014/2015,42,Season peak week,0.000977612338754427
Subtype Historical Average,2014/2015,43,Season peak week,0.000977612338754427
Subtype Historical Average,2014/2015,44,Season peak week,0.000977612338754427
Subtype Historical Average,2014/2015,40,Season peak percentage,0.000977612338754427
Subtype Historical Average,2014/2015,41,Season peak percentage,0.000977612338754427
Subtype Historical Average,2014/2015,42,Season peak percentage,0.000977612338754427
Subtype Historical Average,2014/2015,43,Season peak percentage,0.000977612338754427
Subtype Historical Average,2014/2015,44,Season peak percentage,0.000977612338754427
Dynamic Harmonic Model,2015/2016,40,Season peak week,0.758105656779884
Dynamic Harmonic Model,2015/2016,41,Season peak week,0.758105656779884
Dynamic Harmonic Model,2015/2016,42,Season peak week,0.758105656779884
Dynamic Harmonic Model,2015/2016,43,Season peak week,0.758105656779884
Dynamic Harmonic Model,2015/2016,44,Season peak week,0.758105656779884
Dynamic Harmonic Model,2015/2016,40,Season peak percentage,0.758105656779884
Dynamic Harmonic Model,2015/2016,41,Season peak percentage,0.758105656779884
Dynamic Harmonic Model,2015/2016,42,Season peak percentage,0.758105656779884
Dynamic Harmonic Model,2015/2016,43,Season peak percentage,0.758105656779884
Dynamic Harmonic Model,2015/2016,44,Season peak percentage,0.758105656779884
Historical Average,2015/2016,40,Season peak week,0.241754264369492
Historical Average,2015/2016,41,Season peak week,0.241754264369492
Historical Average,2015/2016,42,Season peak week,0.241754264369492
Historical Average,2015/2016,43,Season peak week,0.241754264369492
Historical Average,2015/2016,44,Season peak week,0.241754264369492
Historical Average,2015/2016,40,Season peak percentage,0.241754264369492
Historical Average,2015/2016,41,Season peak percentage,0.241754264369492
Historical Average,2015/2016,42,Season peak percentage,0.241754264369492
Historical Average,2015/2016,43,Season peak percentage,0.241754264369492
Historical Average,2015/2016,44,Season peak percentage,0.241754264369492
Subtype Historical Average,2015/2016,40,Season peak week,0.000140078850624032
Subtype Historical Average,2015/2016,41,Season peak week,0.000140078850624032
Subtype Historical Average,2015/2016,42,Season peak week,0.000140078850624032
Subtype Historical Average,2015/2016,43,Season peak week,0.000140078850624032
Subtype Historical Average,2015/2016,44,Season peak week,0.000140078850624032
Subtype Historical Average,2015/2016,40,Season peak percentage,0.000140078850624032
Subtype Historical Average,2015/2016,41,Season peak percentage,0.000140078850624032
Subtype Historical Average,2015/2016,42,Season peak percentage,0.000140078850624032
Subtype Historical Average,2015/2016,43,Season peak percentage,0.000140078850624032
Subtype Historical Average,2015/2016,44,Season peak percentage,0.000140078850624032
Dynamic Harmonic Model,2016/2017,40,Season peak week,0.761602363371708
Dynamic Harmonic Model,2016/2017,41,Season peak week,0.761602363371708
Dynamic Harmonic Model,2016/2017,42,Season peak week,0.761602363371708
Dynamic Harmonic Model,2016/2017,43,Season peak week,0.761602363371708
Dynamic Harmonic Model,2016/2017,44,Season peak week,0.761602363371708
Dynamic Harmonic Model,2016/2017,40,Season peak percentage,0.761602363371708
Dynamic Harmonic Model,2016/2017,41,Season peak percentage,0.761602363371708
Dynamic Harmonic Model,2016/2017,42,Season peak percentage,0.761602363371708
Dynamic Harmonic Model,2016/2017,43,Season peak percentage,0.761602363371708
Dynamic Harmonic Model,2016/2017,44,Season peak percentage,0.761602363371708
Historical Average,2016/2017,40,Season peak week,0.238259280872073
Historical Average,2016/2017,41,Season peak week,0.238259280872073
Historical Average,2016/2017,42,Season peak week,0.238259280872073
Historical Average,2016/2017,43,Season peak week,0.238259280872073
Historical Average,2016/2017,44,Season peak week,0.238259280872073
Historical Average,2016/2017,40,Season peak percentage,0.238259280872073
Historical Average,2016/2017,41,Season peak percentage,0.238259280872073
Historical Average,2016/2017,42,Season peak percentage,0.238259280872073
Historical Average,2016/2017,43,Season peak percentage,0.238259280872073
Historical Average,2016/2017,44,Season peak percentage,0.238259280872073
Subtype Historical Average,2016/2017,40,Season peak week,0.000138355756219173
Subtype Historical Average,2016/2017,41,Season peak week,0.000138355756219173
Subtype Historical Average,2016/2017,42,Season peak week,0.000138355756219173
Subtype Historical Average,2016/2017,43,Season peak week,0.000138355756219173
Subtype Historical Average,2016/2017,44,Season peak week,0.000138355756219173
Subtype Historical Average,2016/2017,40,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,41,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,42,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,43,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,44,Season peak percentage,0.000138355756219173
Dynamic Harmonic Model,2017/2018,40,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,41,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,42,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,43,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,44,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,40,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,41,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,42,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,43,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,44,Season peak percentage,0.644955313204253
Historical Average,2017/2018,40,Season peak week,0.0390535485622348
Historical Average,2017/2018,41,Season peak week,0.0390535485622348
Historical Average,2017/2018,42,Season peak week,0.0390535485622348
Historical Average,2017/2018,43,Season peak week,0.0390535485622348
Historical Average,2017/2018,44,Season peak week,0.0390535485622348
Historical Average,2017/2018,40,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,41,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,42,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,43,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,44,Season peak percentage,0.0390535485622348
Subtype Historical Average,2017/2018,40,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,41,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,42,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,43,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,44,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,40,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,41,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,42,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,43,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,44,Season peak percentage,0.315991138233512
Dynamic Harmonic Model,2014/2015,45,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,46,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,47,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,48,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,45,Season peak percentage,0.958020666163881
Dynamic Harmonic Model,2014/2015,46,Season peak percentage,0.958020666163881
Dynamic Harmonic Model,2014/2015,47,Season peak percentage,0.958020666163881
Dynamic Harmonic Model,2014/2015,48,Season peak percentage,0.958020666163881
Historical Average,2014/2015,45,Season peak week,0.041346683280172
