component_model_id,season,Model Week,location,target,weight
Dynamic Harmonic Model,2014/2015,40,Delaware,Season peak week,0.999998365257346
Dynamic Harmonic Model,2014/2015,41,Delaware,Season peak week,0.999998365257346
Dynamic Harmonic Model,2014/2015,42,Delaware,Season peak week,0.999998365257346
Dynamic Harmonic Model,2014/2015,43,Delaware,Season peak week,0.999998365257346
Dynamic Harmonic Model,2014/2015,44,Delaware,Season peak week,0.999998365257346
Dynamic Harmonic Model,2014/2015,40,Delaware,Season peak percentage,0.999998365257346
Dynamic Harmonic Model,2014/2015,41,Delaware,Season peak percentage,0.999998365257346
Dynamic Harmonic Model,2014/2015,42,Delaware,Season peak percentage,0.999998365257346
Dynamic Harmonic Model,2014/2015,43,Delaware,Season peak percentage,0.999998365257346
Dynamic Harmonic Model,2014/2015,44,Delaware,Season peak percentage,0.999998365257346
Historical Average,2014/2015,40,Delaware,Season peak week,1.28106748112338e-06
Historical Average,2014/2015,41,Delaware,Season peak week,1.28106748112338e-06
Historical Average,2014/2015,42,Delaware,Season peak week,1.28106748112338e-06
Historical Average,2014/2015,43,Delaware,Season peak week,1.28106748112338e-06
Historical Average,2014/2015,44,Delaware,Season peak week,1.28106748112338e-06
Historical Average,2014/2015,40,Delaware,Season peak percentage,1.28106748112338e-06
Historical Average,2014/2015,41,Delaware,Season peak percentage,1.28106748112338e-06
Historical Average,2014/2015,42,Delaware,Season peak percentage,1.28106748112338e-06
Historical Average,2014/2015,43,Delaware,Season peak percentage,1.28106748112338e-06
Historical Average,2014/2015,44,Delaware,Season peak percentage,1.28106748112338e-06
Subtype Historical Average,2014/2015,40,Delaware,Season peak week,3.53675172959223e-07
Subtype Historical Average,2014/2015,41,Delaware,Season peak week,3.53675172959223e-07
Subtype Historical Average,2014/2015,42,Delaware,Season peak week,3.53675172959223e-07
Subtype Historical Average,2014/2015,43,Delaware,Season peak week,3.53675172959223e-07
Subtype Historical Average,2014/2015,44,Delaware,Season peak week,3.53675172959223e-07
Subtype Historical Average,2014/2015,40,Delaware,Season peak percentage,3.53675172959223e-07
Subtype Historical Average,2014/2015,41,Delaware,Season peak percentage,3.53675172959223e-07
Subtype Historical Average,2014/2015,42,Delaware,Season peak percentage,3.53675172959223e-07
Subtype Historical Average,2014/2015,43,Delaware,Season peak percentage,3.53675172959223e-07
Subtype Historical Average,2014/2015,44,Delaware,Season peak percentage,3.53675172959223e-07
Dynamic Harmonic Model,2015/2016,40,Delaware,Season peak week,0.708551560547685
Dynamic Harmonic Model,2015/2016,41,Delaware,Season peak week,0.708551560547685
Dynamic Harmonic Model,2015/2016,42,Delaware,Season peak week,0.708551560547685
Dynamic Harmonic Model,2015/2016,43,Delaware,Season peak week,0.708551560547685
Dynamic Harmonic Model,2015/2016,44,Delaware,Season peak week,0.708551560547685
Dynamic Harmonic Model,2015/2016,40,Delaware,Season peak percentage,0.708551560547685
Dynamic Harmonic Model,2015/2016,41,Delaware,Season peak percentage,0.708551560547685
Dynamic Harmonic Model,2015/2016,42,Delaware,Season peak percentage,0.708551560547685
Dynamic Harmonic Model,2015/2016,43,Delaware,Season peak percentage,0.708551560547685
Dynamic Harmonic Model,2015/2016,44,Delaware,Season peak percentage,0.708551560547685
Historical Average,2015/2016,40,Delaware,Season peak week,0.291441830398855
Historical Average,2015/2016,41,Delaware,Season peak week,0.291441830398855
Historical Average,2015/2016,42,Delaware,Season peak week,0.291441830398855
Historical Average,2015/2016,43,Delaware,Season peak week,0.291441830398855
Historical Average,2015/2016,44,Delaware,Season peak week,0.291441830398855
Historical Average,2015/2016,40,Delaware,Season peak percentage,0.291441830398855
Historical Average,2015/2016,41,Delaware,Season peak percentage,0.291441830398855
Historical Average,2015/2016,42,Delaware,Season peak percentage,0.291441830398855
Historical Average,2015/2016,43,Delaware,Season peak percentage,0.291441830398855
Historical Average,2015/2016,44,Delaware,Season peak percentage,0.291441830398855
Subtype Historical Average,2015/2016,40,Delaware,Season peak week,6.60905346011224e-06
Subtype Historical Average,2015/2016,41,Delaware,Season peak week,6.60905346011224e-06
Subtype Historical Average,2015/2016,42,Delaware,Season peak week,6.60905346011224e-06
Subtype Historical Average,2015/2016,43,Delaware,Season peak week,6.60905346011224e-06
