component_model_id,season,location,target,weight
Dynamic Harmonic Model,2014/2015,Delaware,1 wk ahead,0.999999957723643
Historical Average,2014/2015,Delaware,1 wk ahead,2.9657034790068e-08
Subtype Historical Average,2014/2015,Delaware,1 wk ahead,1.26193221702976e-08
Dynamic Harmonic Model,2015/2016,Delaware,1 wk ahead,0.999999949954142
Historical Average,2015/2016,Delaware,1 wk ahead,1.06319606808354e-08
Subtype Historical Average,2015/2016,Delaware,1 wk ahead,3.94138971573927e-08
Dynamic Harmonic Model,2016/2017,Delaware,1 wk ahead,0.999999937443797
Historical Average,2016/2017,Delaware,1 wk ahead,1.47152504281225e-08
Subtype Historical Average,2016/2017,Delaware,1 wk ahead,4.78409527787939e-08
Dynamic Harmonic Model,2017/2018,Delaware,1 wk ahead,0.999999961558812
Historical Average,2017/2018,Delaware,1 wk ahead,1.10160612229592e-08
Subtype Historical Average,2017/2018,Delaware,1 wk ahead,2.74251267103524e-08
Dynamic Harmonic Model,2014/2015,Maryland,1 wk ahead,0.999999611188039
Historical Average,2014/2015,Maryland,1 wk ahead,1.90688727954658e-07
Subtype Historical Average,2014/2015,Maryland,1 wk ahead,1.9812323263688e-07
Dynamic Harmonic Model,2015/2016,Maryland,1 wk ahead,0.999999698935579
Historical Average,2015/2016,Maryland,1 wk ahead,2.17980684821608e-07
Subtype Historical Average,2015/2016,Maryland,1 wk ahead,8.3083736437238e-08
Dynamic Harmonic Model,2016/2017,Maryland,1 wk ahead,0.999999027967694
Historical Average,2016/2017,Maryland,1 wk ahead,8.36116183830413e-07
Subtype Historical Average,2016/2017,Maryland,1 wk ahead,1.35916122618431e-07
Dynamic Harmonic Model,2017/2018,Maryland,1 wk ahead,0.999999717769282
Historical Average,2017/2018,Maryland,1 wk ahead,2.21714037926974e-07
Subtype Historical Average,2017/2018,Maryland,1 wk ahead,6.05166804449233e-08
Dynamic Harmonic Model,2014/2015,Pennsylvania,1 wk ahead,0.999999950689325
Historical Average,2014/2015,Pennsylvania,1 wk ahead,3.62753261886447e-08
Subtype Historical Average,2014/2015,Pennsylvania,1 wk ahead,1.30353486293357e-08
Dynamic Harmonic Model,2015/2016,Pennsylvania,1 wk ahead,0.999999353751008
Historical Average,2015/2016,Pennsylvania,1 wk ahead,6.0748155860969e-09
Subtype Historical Average,2015/2016,Pennsylvania,1 wk ahead,6.40174176176337e-07
Dynamic Harmonic Model,2016/2017,Pennsylvania,1 wk ahead,0.999999851603766
Historical Average,2016/2017,Pennsylvania,1 wk ahead,6.46677476769435e-09
Subtype Historical Average,2016/2017,Pennsylvania,1 wk ahead,1.41929459371484e-07
Dynamic Harmonic Model,2017/2018,Pennsylvania,1 wk ahead,0.999999790677422
Historical Average,2017/2018,Pennsylvania,1 wk ahead,4.04971083454432e-09
Subtype Historical Average,2017/2018,Pennsylvania,1 wk ahead,2.05272866887217e-07
Dynamic Harmonic Model,2014/2015,Virginia,1 wk ahead,0.938150459919732
Historical Average,2014/2015,Virginia,1 wk ahead,0.000167752034238317
Subtype Historical Average,2014/2015,Virginia,1 wk ahead,0.0616817880460296
Dynamic Harmonic Model,2015/2016,Virginia,1 wk ahead,0.923420938716396
Historical Average,2015/2016,Virginia,1 wk ahead,0.000337237502344172
Subtype Historical Average,2015/2016,Virginia,1 wk ahead,0.0762418237812599
Dynamic Harmonic Model,2016/2017,Virginia,1 wk ahead,0.937787650374244
Historical Average,2016/2017,Virginia,1 wk ahead,0.000149922891130979
Subtype Historical Average,2016/2017,Virginia,1 wk ahead,0.0620624267346247
Dynamic Harmonic Model,2017/2018,Virginia,1 wk ahead,0.999999969499468
Historical Average,2017/2018,Virginia,1 wk ahead,1.21817446190535e-08
Subtype Historical Average,2017/2018,Virginia,1 wk ahead,1.83187871421597e-08
Dynamic Harmonic Model,2014/2015,West Virginia,1 wk ahead,0.999999950253992
Historical Average,2014/2015,West Virginia,1 wk ahead,3.40299325677251e-08
Subtype Historical Average,2014/2015,West Virginia,1 wk ahead,1.57160754271947e-08
Dynamic Harmonic Model,2015/2016,West Virginia,1 wk ahead,0.999999932808792
Historical Average,2015/2016,West Virginia,1 wk ahead,4.92269077713141e-08
Subtype Historical Average,2015/2016,West Virginia,1 wk ahead,1.79643004983207e-08
Dynamic Harmonic Model,2016/2017,West Virginia,1 wk ahead,0.999999949292782
Historical Average,2016/2017,West Virginia,1 wk ahead,3.61540425135126e-08
Subtype Historical Average,2016/2017,West Virginia,1 wk ahead,1.45531755333353e-08
Dynamic Harmonic Model,2017/2018,West Virginia,1 wk ahead,0.999999969435822
Historical Average,2017/2018,West Virginia,1 wk ahead,1.62830912480324e-08
Subtype Historical Average,2017/2018,West Virginia,1 wk ahead,1.42810869958798e-08
Dynamic Harmonic Model,2014/2015,Delaware,2 wk ahead,0.99999981353301
Historical Average,2014/2015,Delaware,2 wk ahead,1.47033242055439e-07
Subtype Historical Average,2014/2015,Delaware,2 wk ahead,3.94337476307708e-08
Dynamic Harmonic Model,2015/2016,Delaware,2 wk ahead,0.999999904180543
Historical Average,2015/2016,Delaware,2 wk ahead,2.66950646902976e-08
Subtype Historical Average,2015/2016,Delaware,2 wk ahead,6.91243923250738e-08
Dynamic Harmonic Model,2016/2017,Delaware,2 wk ahead,0.999999554825462
Historical Average,2016/2017,Delaware,2 wk ahead,1.06804543200524e-07
Subtype Historical Average,2016/2017,Delaware,2 wk ahead,3.38369994622187e-07
Dynamic Harmonic Model,2017/2018,Delaware,2 wk ahead,0.999999849588338
Historical Average,2017/2018,Delaware,2 wk ahead,5.01885134187036e-08
Subtype Historical Average,2017/2018,Delaware,2 wk ahead,1.00223148444731e-07
Dynamic Harmonic Model,2014/2015,Maryland,2 wk ahead,0.999994901722143
Historical Average,2014/2015,Maryland,2 wk ahead,2.20831995164587e-06
Subtype Historical Average,2014/2015,Maryland,2 wk ahead,2.8899579051668e-06
Dynamic Harmonic Model,2015/2016,Maryland,2 wk ahead,0.999998710388129
Historical Average,2015/2016,Maryland,2 wk ahead,9.87543186119865e-07
Subtype Historical Average,2015/2016,Maryland,2 wk ahead,3.02068684976569e-07
