component_model_id,season,target,weight
Dynamic Harmonic Model,2014/2015,Season peak week,0.986001324558394
Dynamic Harmonic Model,2014/2015,Season peak percentage,0.986001324558394
Historical Average,2014/2015,Season peak week,0.0139914603717345
Historical Average,2014/2015,Season peak percentage,0.0139914603717345
Subtype Historical Average,2014/2015,Season peak week,7.21506987162042e-06
Subtype Historical Average,2014/2015,Season peak percentage,7.21506987162042e-06
Dynamic Harmonic Model,2015/2016,Season peak week,0.952016842139721
Dynamic Harmonic Model,2015/2016,Season peak percentage,0.952016842139721
Historical Average,2015/2016,Season peak week,0.0479816257703609
Historical Average,2015/2016,Season peak percentage,0.0479816257703609
Subtype Historical Average,2015/2016,Season peak week,1.53208991838603e-06
Subtype Historical Average,2015/2016,Season peak percentage,1.53208991838603e-06
Dynamic Harmonic Model,2016/2017,Season peak week,0.950582574633718
Dynamic Harmonic Model,2016/2017,Season peak percentage,0.950582574633718
Historical Average,2016/2017,Season peak week,0.0494157663882073
Historical Average,2016/2017,Season peak percentage,0.0494157663882073
Subtype Historical Average,2016/2017,Season peak week,1.65897807464505e-06
Subtype Historical Average,2016/2017,Season peak percentage,1.65897807464505e-06
Dynamic Harmonic Model,2017/2018,Season peak week,0.960197026626043
Dynamic Harmonic Model,2017/2018,Season peak percentage,0.960197026626043
Historical Average,2017/2018,Season peak week,0.0398006791135536
Historical Average,2017/2018,Season peak percentage,0.0398006791135536
Subtype Historical Average,2017/2018,Season peak week,2.29426040308517e-06
Subtype Historical Average,2017/2018,Season peak percentage,2.29426040308517e-06
Dynamic Harmonic Model,2014/2015,1 wk ahead,0.998883267403499
Dynamic Harmonic Model,2014/2015,2 wk ahead,0.998883267403499
Dynamic Harmonic Model,2014/2015,3 wk ahead,0.998883267403499
Dynamic Harmonic Model,2014/2015,4 wk ahead,0.998883267403499
Historical Average,2014/2015,1 wk ahead,0.000752107234840646
Historical Average,2014/2015,2 wk ahead,0.000752107234840646
Historical Average,2014/2015,3 wk ahead,0.000752107234840646
Historical Average,2014/2015,4 wk ahead,0.000752107234840646
Subtype Historical Average,2014/2015,1 wk ahead,0.000364625361660091
Subtype Historical Average,2014/2015,2 wk ahead,0.000364625361660091
Subtype Historical Average,2014/2015,3 wk ahead,0.000364625361660091
Subtype Historical Average,2014/2015,4 wk ahead,0.000364625361660091
Dynamic Harmonic Model,2015/2016,1 wk ahead,0.99073418056081
Dynamic Harmonic Model,2015/2016,2 wk ahead,0.99073418056081
Dynamic Harmonic Model,2015/2016,3 wk ahead,0.99073418056081
Dynamic Harmonic Model,2015/2016,4 wk ahead,0.99073418056081
Historical Average,2015/2016,1 wk ahead,3.2721867864958e-05
Historical Average,2015/2016,2 wk ahead,3.2721867864958e-05
Historical Average,2015/2016,3 wk ahead,3.2721867864958e-05
Historical Average,2015/2016,4 wk ahead,3.2721867864958e-05
Subtype Historical Average,2015/2016,1 wk ahead,0.00923309757132534
Subtype Historical Average,2015/2016,2 wk ahead,0.00923309757132534
Subtype Historical Average,2015/2016,3 wk ahead,0.00923309757132534
Subtype Historical Average,2015/2016,4 wk ahead,0.00923309757132534
Dynamic Harmonic Model,2016/2017,1 wk ahead,0.991081527569838
Dynamic Harmonic Model,2016/2017,2 wk ahead,0.991081527569838
Dynamic Harmonic Model,2016/2017,3 wk ahead,0.991081527569838
Dynamic Harmonic Model,2016/2017,4 wk ahead,0.991081527569838
Historical Average,2016/2017,1 wk ahead,2.82417115005344e-05
Historical Average,2016/2017,2 wk ahead,2.82417115005344e-05
Historical Average,2016/2017,3 wk ahead,2.82417115005344e-05
Historical Average,2016/2017,4 wk ahead,2.82417115005344e-05
Subtype Historical Average,2016/2017,1 wk ahead,0.00889023071866106
Subtype Historical Average,2016/2017,2 wk ahead,0.00889023071866106
Subtype Historical Average,2016/2017,3 wk ahead,0.00889023071866106
Subtype Historical Average,2016/2017,4 wk ahead,0.00889023071866106
Dynamic Harmonic Model,2017/2018,1 wk ahead,0.993491090756435
Dynamic Harmonic Model,2017/2018,2 wk ahead,0.993491090756435
Dynamic Harmonic Model,2017/2018,3 wk ahead,0.993491090756435
Dynamic Harmonic Model,2017/2018,4 wk ahead,0.993491090756435
Historical Average,2017/2018,1 wk ahead,1.03542097955874e-05
Historical Average,2017/2018,2 wk ahead,1.03542097955874e-05
Historical Average,2017/2018,3 wk ahead,1.03542097955874e-05
Historical Average,2017/2018,4 wk ahead,1.03542097955874e-05
Subtype Historical Average,2017/2018,1 wk ahead,0.0064985550337698
Subtype Historical Average,2017/2018,2 wk ahead,0.0064985550337698
Subtype Historical Average,2017/2018,3 wk ahead,0.0064985550337698
Subtype Historical Average,2017/2018,4 wk ahead,0.0064985550337698
Dynamic Harmonic Model,2018/2019,Season peak week,0.96196921248273
Dynamic Harmonic Model,2018/2019,Season peak percentage,0.96196921248273
Historical Average,2018/2019,Season peak week,0.0380287475149671
Historical Average,2018/2019,Season peak percentage,0.0380287475149671
Subtype Historical Average,2018/2019,Season peak week,2.04000230294372e-06
Subtype Historical Average,2018/2019,Season peak percentage,2.04000230294372e-06
Dynamic Harmonic Model,2018/2019,1 wk ahead,0.994174576612779
Dynamic Harmonic Model,2018/2019,2 wk ahead,0.994174576612779
Dynamic Harmonic Model,2018/2019,3 wk ahead,0.994174576612779
Dynamic Harmonic Model,2018/2019,4 wk ahead,0.994174576612779
Historical Average,2018/2019,1 wk ahead,2.15299494112028e-05
Historical Average,2018/2019,2 wk ahead,2.15299494112028e-05
Historical Average,2018/2019,3 wk ahead,2.15299494112028e-05
Historical Average,2018/2019,4 wk ahead,2.15299494112028e-05
Subtype Historical Average,2018/2019,1 wk ahead,0.00580389343780947
Subtype Historical Average,2018/2019,2 wk ahead,0.00580389343780947
Subtype Historical Average,2018/2019,3 wk ahead,0.00580389343780947
Subtype Historical Average,2018/2019,4 wk ahead,0.00580389343780947
