component_model_id,season,Model Week,weight
Dynamic Harmonic Model,2014/2015,40,0.999995536942809
Historical Average,2014/2015,40,2.32285688902607e-06
Subtype Historical Average,2014/2015,40,2.14020030194689e-06
Dynamic Harmonic Model,2015/2016,40,0.999708103939132
Historical Average,2015/2016,40,0.000247083448956612
Subtype Historical Average,2015/2016,40,4.48126119113647e-05
Dynamic Harmonic Model,2016/2017,40,0.999702795031397
Historical Average,2016/2017,40,0.0002527472833257
Subtype Historical Average,2016/2017,40,4.44576852773316e-05
Dynamic Harmonic Model,2017/2018,40,0.920051445348634
Historical Average,2017/2018,40,0.000264334654211602
Subtype Historical Average,2017/2018,40,0.0796842199971544
Dynamic Harmonic Model,2014/2015,41,0.999996606950759
Historical Average,2014/2015,41,1.91410408320029e-06
Subtype Historical Average,2014/2015,41,1.47894515801047e-06
Dynamic Harmonic Model,2015/2016,41,0.999125055693518
Historical Average,2015/2016,41,0.000867386556503205
Subtype Historical Average,2015/2016,41,7.55774997859791e-06
Dynamic Harmonic Model,2016/2017,41,0.999992794836546
Historical Average,2016/2017,41,6.8686584933477e-06
Subtype Historical Average,2016/2017,41,3.3650496097444e-07
Dynamic Harmonic Model,2017/2018,41,0.979760736985863
Historical Average,2017/2018,41,0.0173689133874527
Subtype Historical Average,2017/2018,41,0.00287034962668379
Dynamic Harmonic Model,2014/2015,42,0.95807142935656
Historical Average,2014/2015,42,0.0041704235502189
Subtype Historical Average,2014/2015,42,0.0377581470932212
Dynamic Harmonic Model,2015/2016,42,0.93192923178487
Historical Average,2015/2016,42,0.0677622423976143
Subtype Historical Average,2015/2016,42,0.000308525817515352
Dynamic Harmonic Model,2016/2017,42,0.937255621081458
Historical Average,2016/2017,42,0.0625547809841653
Subtype Historical Average,2016/2017,42,0.000189597934376297
Dynamic Harmonic Model,2017/2018,42,0.999662613665287
Historical Average,2017/2018,42,0.000230790289979285
Subtype Historical Average,2017/2018,42,0.000106596044734033
Dynamic Harmonic Model,2014/2015,43,0.999996001059575
Historical Average,2014/2015,43,3.06345342948571e-06
Subtype Historical Average,2014/2015,43,9.35486995399538e-07
Dynamic Harmonic Model,2015/2016,43,0.992678846958261
Historical Average,2015/2016,43,0.00710666563756022
Subtype Historical Average,2015/2016,43,0.000214487404179098
Dynamic Harmonic Model,2016/2017,43,0.998899491223457
Historical Average,2016/2017,43,0.00107576269163916
Subtype Historical Average,2016/2017,43,2.47460849043125e-05
Dynamic Harmonic Model,2017/2018,43,0.999979941632337
Historical Average,2017/2018,43,1.86282606828517e-06
Subtype Historical Average,2017/2018,43,1.81955415942076e-05
Dynamic Harmonic Model,2014/2015,44,0.999996447482168
Historical Average,2014/2015,44,1.17205302554601e-06
Subtype Historical Average,2014/2015,44,2.38046480682053e-06
Dynamic Harmonic Model,2015/2016,44,0.970690353303809
Historical Average,2015/2016,44,0.000260619396991899
Subtype Historical Average,2015/2016,44,0.0290490272991991
Dynamic Harmonic Model,2016/2017,44,0.970626512617877
Historical Average,2016/2017,44,0.000352378122898632
Subtype Historical Average,2016/2017,44,0.0290211092592241
Dynamic Harmonic Model,2017/2018,44,0.973257909894302
Historical Average,2017/2018,44,4.42930404877645e-05
Subtype Historical Average,2017/2018,44,0.0266977970652104
Dynamic Harmonic Model,2014/2015,45,0.999997203637227
Historical Average,2014/2015,45,9.24529812171587e-07
Subtype Historical Average,2014/2015,45,1.87183296063601e-06
Dynamic Harmonic Model,2015/2016,45,0.999972753192587
Historical Average,2015/2016,45,1.15863607968615e-05
Subtype Historical Average,2015/2016,45,1.56604466162417e-05
Dynamic Harmonic Model,2016/2017,45,0.999757862990853
Historical Average,2016/2017,45,8.37033299818589e-05
Subtype Historical Average,2016/2017,45,0.000158433679164825
Dynamic Harmonic Model,2017/2018,45,0.999932615535982
Historical Average,2017/2018,45,5.03762548779386e-07
Subtype Historical Average,2017/2018,45,6.6880701469311e-05
Dynamic Harmonic Model,2014/2015,46,0.997718813302192
Historical Average,2014/2015,46,7.40720403396106e-05
Subtype Historical Average,2014/2015,46,0.00220711465746802
Dynamic Harmonic Model,2015/2016,46,0.942258813520205
Historical Average,2015/2016,46,0.0298871969260635
Subtype Historical Average,2015/2016,46,0.027853989553732
Dynamic Harmonic Model,2016/2017,46,0.935475062040016
Historical Average,2016/2017,46,0.0241330981794005
Subtype Historical Average,2016/2017,46,0.0403918397805833
Dynamic Harmonic Model,2017/2018,46,0.950764489832501
Historical Average,2017/2018,46,0.00105766525764834
Subtype Historical Average,2017/2018,46,0.048177844909851
Dynamic Harmonic Model,2014/2015,47,0.999998047248516
Historical Average,2014/2015,47,5.91727658341895e-07
Subtype Historical Average,2014/2015,47,1.36102382573411e-06
Dynamic Harmonic Model,2015/2016,47,0.941253910667374
Historical Average,2015/2016,47,3.41761529668594e-05
Subtype Historical Average,2015/2016,47,0.0587119131796591
Dynamic Harmonic Model,2016/2017,47,0.923140836378408
Historical Average,2016/2017,47,4.16342719227143e-05
Subtype Historical Average,2016/2017,47,0.0768175293496689
Dynamic Harmonic Model,2017/2018,47,0.901458095602378
Historical Average,2017/2018,47,1.63337666445764e-05
Subtype Historical Average,2017/2018,47,0.0985255706309771
Dynamic Harmonic Model,2014/2015,48,0.999996876026486
Historical Average,2014/2015,48,1.40469755543553e-06
Subtype Historical Average,2014/2015,48,1.71927595835361e-06
Dynamic Harmonic Model,2015/2016,48,0.875782795035732
Historical Average,2015/2016,48,9.31302402018313e-05
Subtype Historical Average,2015/2016,48,0.124124074724067
Dynamic Harmonic Model,2016/2017,48,0.88485011302963
Historical Average,2016/2017,48,6.05530313459771e-05
Subtype Historical Average,2016/2017,48,0.115089333939024
Dynamic Harmonic Model,2017/2018,48,0.893462073037397
Historical Average,2017/2018,48,1.38244506907803e-05
Subtype Historical Average,2017/2018,48,0.106524102511913
Dynamic Harmonic Model,2014/2015,49,0.997272272232437
Historical Average,2014/2015,49,0.00270315468427701
Subtype Historical Average,2014/2015,49,2.45730832855385e-05
Dynamic Harmonic Model,2015/2016,49,0.845900728229314
Historical Average,2015/2016,49,0.00296045168069741
Subtype Historical Average,2015/2016,49,0.151138820089988
Dynamic Harmonic Model,2016/2017,49,0.876514950753222
Historical Average,2016/2017,49,0.000439416125861863
Subtype Historical Average,2016/2017,49,0.123045633120917
Dynamic Harmonic Model,2017/2018,49,0.892261752579376
Historical Average,2017/2018,49,1.87684688735253e-05
Subtype Historical Average,2017/2018,49,0.107719478951751
Dynamic Harmonic Model,2014/2015,50,0.991962276813321
Historical Average,2014/2015,50,0.00800400400570974
Subtype Historical Average,2014/2015,50,3.37191809691542e-05
Dynamic Harmonic Model,2015/2016,50,0.935223619112602
Historical Average,2015/2016,50,0.00129982070561085
Subtype Historical Average,2015/2016,50,0.0634765601817874
Dynamic Harmonic Model,2016/2017,50,0.964611433035243
Historical Average,2016/2017,50,0.000198336951090928
Subtype Historical Average,2016/2017,50,0.0351902300136664
Dynamic Harmonic Model,2017/2018,50,0.955371120637225
Historical Average,2017/2018,50,2.34465484178741e-05
Subtype Historical Average,2017/2018,50,0.0446054328143572
Dynamic Harmonic Model,2014/2015,51,0.989676288776822
Historical Average,2014/2015,51,0.0102834640935192
Subtype Historical Average,2014/2015,51,4.02471296590949e-05
Dynamic Harmonic Model,2015/2016,51,0.950834870799979
Historical Average,2015/2016,51,0.0433218888172577
Subtype Historical Average,2015/2016,51,0.0058432403827631
Dynamic Harmonic Model,2016/2017,51,0.962949502686466
Historical Average,2016/2017,51,0.031969834713771
Subtype Historical Average,2016/2017,51,0.00508066259976314
Dynamic Harmonic Model,2017/2018,51,0.973948108977298
Historical Average,2017/2018,51,6.19286907653034e-05
Subtype Historical Average,2017/2018,51,0.025989962331937
Dynamic Harmonic Model,2014/2015,52,0.985044801575049
Historical Average,2014/2015,52,0.0149259337612037
Subtype Historical Average,2014/2015,52,2.92646637475853e-05
Dynamic Harmonic Model,2015/2016,52,0.96231246542436
Historical Average,2015/2016,52,0.0376754606339233
Subtype Historical Average,2015/2016,52,1.20739417164459e-05
Dynamic Harmonic Model,2016/2017,52,0.971106934615673
Historical Average,2016/2017,52,0.0288830372567514
Subtype Historical Average,2016/2017,52,1.00281275755415e-05
Dynamic Harmonic Model,2017/2018,52,0.980256890642786
Historical Average,2017/2018,52,0.0197145970763855
Subtype Historical Average,2017/2018,52,2.85122808287115e-05
Dynamic Harmonic Model,2014/2015,53,0.977009144333443
Historical Average,2014/2015,53,0.0229784284514306
Subtype Historical Average,2014/2015,53,1.24272151260066e-05
Dynamic Harmonic Model,2015/2016,53,0.959068734982405
Historical Average,2015/2016,53,0.0409221678529709
Subtype Historical Average,2015/2016,53,9.09716462402583e-06
Dynamic Harmonic Model,2016/2017,53,0.97396626775965
Historical Average,2016/2017,53,0.0260269704518128
Subtype Historical Average,2016/2017,53,6.76178853742524e-06
Dynamic Harmonic Model,2017/2018,53,0.999999681205765
Historical Average,2017/2018,53,8.63455471748052e-08
Subtype Historical Average,2017/2018,53,2.32448688123794e-07
Dynamic Harmonic Model,2014/2015,54,0.989277075157321
Historical Average,2014/2015,54,0.010694629192953
Subtype Historical Average,2014/2015,54,2.82956497258199e-05
Dynamic Harmonic Model,2015/2016,54,0.98430473260656
Historical Average,2015/2016,54,0.0156831775590999
Subtype Historical Average,2015/2016,54,1.20898343397812e-05
Dynamic Harmonic Model,2016/2017,54,0.989886907345668
Historical Average,2016/2017,54,0.0100990273136417
Subtype Historical Average,2016/2017,54,1.40653406899168e-05
Dynamic Harmonic Model,2017/2018,54,0.999999624214681
Historical Average,2017/2018,54,2.23752292231404e-07
Subtype Historical Average,2017/2018,54,1.52033026333737e-07
Dynamic Harmonic Model,2014/2015,55,0.991510993590799
Historical Average,2014/2015,55,0.00847150478654293
Subtype Historical Average,2014/2015,55,1.75016226582929e-05
Dynamic Harmonic Model,2015/2016,55,0.965590806067949
Historical Average,2015/2016,55,0.0344065516231068
Subtype Historical Average,2015/2016,55,2.6423089442006e-06
Dynamic Harmonic Model,2016/2017,55,0.969252098896006
Historical Average,2016/2017,55,0.0307453285739333
Subtype Historical Average,2016/2017,55,2.57253006011919e-06
Dynamic Harmonic Model,2017/2018,55,0.968526949831151
Historical Average,2017/2018,55,0.0314690240264335
Subtype Historical Average,2017/2018,55,4.02614241604867e-06
Dynamic Harmonic Model,2014/2015,56,0.990306012627453
Historical Average,2014/2015,56,0.0096819877837034
Subtype Historical Average,2014/2015,56,1.19995888438395e-05
Dynamic Harmonic Model,2015/2016,56,0.964816782738068
Historical Average,2015/2016,56,0.0351802646796646
Subtype Historical Average,2015/2016,56,2.95258226742563e-06
Dynamic Harmonic Model,2016/2017,56,0.967327961781143
Historical Average,2016/2017,56,0.0326692163064686
Subtype Historical Average,2016/2017,56,2.82191238847298e-06
Dynamic Harmonic Model,2017/2018,56,0.960007035164189
Historical Average,2017/2018,56,0.0399854668284267
Subtype Historical Average,2017/2018,56,7.49800738389702e-06
Dynamic Harmonic Model,2014/2015,57,0.96860642986807
Historical Average,2014/2015,57,0.0313810493351889
Subtype Historical Average,2014/2015,57,1.25207967414193e-05
Dynamic Harmonic Model,2015/2016,57,0.956958579958827
Historical Average,2015/2016,57,0.0430391498854231
Subtype Historical Average,2015/2016,57,2.27015574956094e-06
Dynamic Harmonic Model,2016/2017,57,0.932827488671055
Historical Average,2016/2017,57,0.0671675007589046
Subtype Historical Average,2016/2017,57,5.01057004015331e-06
Dynamic Harmonic Model,2017/2018,57,0.952954371406885
Historical Average,2017/2018,57,0.0470381870574833
Subtype Historical Average,2017/2018,57,7.44153563194771e-06
Dynamic Harmonic Model,2014/2015,58,0.967251636594961
Historical Average,2014/2015,58,0.0327243647069271
Subtype Historical Average,2014/2015,58,2.39986981119027e-05
Dynamic Harmonic Model,2015/2016,58,0.957242108737447
Historical Average,2015/2016,58,0.0427556076176588
Subtype Historical Average,2015/2016,58,2.28364489415671e-06
Dynamic Harmonic Model,2016/2017,58,0.926428636389821
Historical Average,2016/2017,58,0.0735654859558417
Subtype Historical Average,2016/2017,58,5.87765433702053e-06
Dynamic Harmonic Model,2017/2018,58,0.958767147096801
Historical Average,2017/2018,58,0.0412278999853213
Subtype Historical Average,2017/2018,58,4.95291787791569e-06
Dynamic Harmonic Model,2014/2015,59,0.984239533470633
Historical Average,2014/2015,59,0.0157534770121535
Subtype Historical Average,2014/2015,59,6.98951721374099e-06
Dynamic Harmonic Model,2015/2016,59,0.967194554591605
Historical Average,2015/2016,59,0.0328040083659492
Subtype Historical Average,2015/2016,59,1.43704244596266e-06
Dynamic Harmonic Model,2016/2017,59,0.944553525482553
Historical Average,2016/2017,59,0.0554425904559273
Subtype Historical Average,2016/2017,59,3.88406151994683e-06
Dynamic Harmonic Model,2017/2018,59,0.966422671422451
Historical Average,2017/2018,59,0.033574239165281
Subtype Historical Average,2017/2018,59,3.08941226810651e-06
Dynamic Harmonic Model,2014/2015,60,0.988431738069592
Historical Average,2014/2015,60,0.0115648439319186
Subtype Historical Average,2014/2015,60,3.41799848899172e-06
Dynamic Harmonic Model,2015/2016,60,0.969502793244026
Historical Average,2015/2016,60,0.0304959490539844
Subtype Historical Average,2015/2016,60,1.25770199001528e-06
Dynamic Harmonic Model,2016/2017,60,0.959258921250917
Historical Average,2016/2017,60,0.0407390864621986
Subtype Historical Average,2016/2017,60,1.99228688463914e-06
Dynamic Harmonic Model,2017/2018,60,0.976068523191327
Historical Average,2017/2018,60,0.0239301047723457
Subtype Historical Average,2017/2018,60,1.37203632774449e-06
Dynamic Harmonic Model,2014/2015,61,0.98372082153137
Historical Average,2014/2015,61,0.0162753040862073
Subtype Historical Average,2014/2015,61,3.87438242307308e-06
Dynamic Harmonic Model,2015/2016,61,0.966101368651075
Historical Average,2015/2016,61,0.0338970978571299
Subtype Historical Average,2015/2016,61,1.53349179503544e-06
Dynamic Harmonic Model,2016/2017,61,0.961912637918828
Historical Average,2016/2017,61,0.0380856332539114
Subtype Historical Average,2016/2017,61,1.72882726031839e-06
Dynamic Harmonic Model,2017/2018,61,0.981956267625583
Historical Average,2017/2018,61,0.018042883600545
Subtype Historical Average,2017/2018,61,8.48773872434867e-07
Dynamic Harmonic Model,2014/2015,62,0.995468630122843
Historical Average,2014/2015,62,0.00444644796781349
Subtype Historical Average,2014/2015,62,8.49219093433297e-05
Dynamic Harmonic Model,2015/2016,62,0.978293247467117
Historical Average,2015/2016,62,0.0217053403747022
Subtype Historical Average,2015/2016,62,1.41215818098554e-06
Dynamic Harmonic Model,2016/2017,62,0.97722807986831
Historical Average,2016/2017,62,0.0227705025155609
Subtype Historical Average,2016/2017,62,1.41761612876276e-06
Dynamic Harmonic Model,2017/2018,62,0.983142729258646
Historical Average,2017/2018,62,0.0168564458857852
Subtype Historical Average,2017/2018,62,8.24855569207954e-07
Dynamic Harmonic Model,2014/2015,63,0.995078441216984
Historical Average,2014/2015,63,0.00442968138711176
Subtype Historical Average,2014/2015,63,0.000491877395904642
Dynamic Harmonic Model,2015/2016,63,0.976299279054737
Historical Average,2015/2016,63,0.0236988791183723
Subtype Historical Average,2015/2016,63,1.84182689067012e-06
Dynamic Harmonic Model,2016/2017,63,0.97619785588228
Historical Average,2016/2017,63,0.0238004958949768
Subtype Historical Average,2016/2017,63,1.64822274330547e-06
Dynamic Harmonic Model,2017/2018,63,0.983322498526979
Historical Average,2017/2018,63,0.0166767228341911
Subtype Historical Average,2017/2018,63,7.78638830428247e-07
Dynamic Harmonic Model,2014/2015,64,0.997751102569581
Historical Average,2014/2015,64,0.00223930231278932
Subtype Historical Average,2014/2015,64,9.5951176300655e-06
Dynamic Harmonic Model,2015/2016,64,0.980007833258432
Historical Average,2015/2016,64,0.0199910180238588
Subtype Historical Average,2015/2016,64,1.14871770923171e-06
Dynamic Harmonic Model,2016/2017,64,0.98022691795334
Historical Average,2016/2017,64,0.0197720692041542
Subtype Historical Average,2016/2017,64,1.01284250527306e-06
Dynamic Harmonic Model,2017/2018,64,0.983130081733392
Historical Average,2017/2018,64,0.016869106005407
Subtype Historical Average,2017/2018,64,8.12261200964383e-07
Dynamic Harmonic Model,2014/2015,65,0.997588817500391
Historical Average,2014/2015,65,0.00239987092412579
Subtype Historical Average,2014/2015,65,1.13115754827969e-05
Dynamic Harmonic Model,2015/2016,65,0.978899393746204
Historical Average,2015/2016,65,0.021099467427139
Subtype Historical Average,2015/2016,65,1.13882665719357e-06
Dynamic Harmonic Model,2016/2017,65,0.979601813205381
Historical Average,2016/2017,65,0.0203970367035642
Subtype Historical Average,2016/2017,65,1.15009105514145e-06
Dynamic Harmonic Model,2017/2018,65,0.98231502220049
Historical Average,2017/2018,65,0.0176840607092733
Subtype Historical Average,2017/2018,65,9.17090237094608e-07
Dynamic Harmonic Model,2014/2015,66,0.997520009819329
Historical Average,2014/2015,66,0.00246834543595514
Subtype Historical Average,2014/2015,66,1.16447447154836e-05
Dynamic Harmonic Model,2015/2016,66,0.979139334085283
Historical Average,2015/2016,66,0.0208596562771728
Subtype Historical Average,2015/2016,66,1.00963754463139e-06
Dynamic Harmonic Model,2016/2017,66,0.979166746749575
Historical Average,2016/2017,66,0.0208321239027439
Subtype Historical Average,2016/2017,66,1.12934768076324e-06
Dynamic Harmonic Model,2017/2018,66,0.98187893737849
Historical Average,2017/2018,66,0.0181200365236401
Subtype Historical Average,2017/2018,66,1.02609787019835e-06
Dynamic Harmonic Model,2014/2015,67,0.999999963994075
Historical Average,2014/2015,67,1.61930089728466e-08
Subtype Historical Average,2014/2015,67,1.98129165191892e-08
Dynamic Harmonic Model,2015/2016,67,0.981616559057022
Historical Average,2015/2016,67,0.018382546990816
Subtype Historical Average,2015/2016,67,8.93952161746644e-07
Dynamic Harmonic Model,2016/2017,67,0.982436351212802
Historical Average,2016/2017,67,0.0175628936170576
Subtype Historical Average,2016/2017,67,7.55170140419321e-07
Dynamic Harmonic Model,2017/2018,67,0.982358882149521
Historical Average,2017/2018,67,0.0176402542395166
Subtype Historical Average,2017/2018,67,8.63610962801301e-07
Dynamic Harmonic Model,2014/2015,68,0.999999977273603
Historical Average,2014/2015,68,9.93398152612538e-09
Subtype Historical Average,2014/2015,68,1.27924152529352e-08
Dynamic Harmonic Model,2015/2016,68,0.981846211705248
Historical Average,2015/2016,68,0.0181530080086442
Subtype Historical Average,2015/2016,68,7.80286108028484e-07
Dynamic Harmonic Model,2016/2017,68,0.982472214950948
Historical Average,2016/2017,68,0.0175269932922975
Subtype Historical Average,2016/2017,68,7.91756754382259e-07
Dynamic Harmonic Model,2017/2018,68,0.982181708108639
Historical Average,2017/2018,68,0.0178174471962812
Subtype Historical Average,2017/2018,68,8.44695079598928e-07
Dynamic Harmonic Model,2014/2015,69,0.999999966006236
Historical Average,2014/2015,69,1.61757862143031e-08
Subtype Historical Average,2014/2015,69,1.78179778882214e-08
Dynamic Harmonic Model,2015/2016,69,0.982180778205807
Historical Average,2015/2016,69,0.0178182968671916
Subtype Historical Average,2015/2016,69,9.24927001229479e-07
Dynamic Harmonic Model,2016/2017,69,0.982683159308969
Historical Average,2016/2017,69,0.0173160576805629
Subtype Historical Average,2016/2017,69,7.83010468213859e-07
Dynamic Harmonic Model,2017/2018,69,0.982581832572317
Historical Average,2017/2018,69,0.0174172337618899
Subtype Historical Average,2017/2018,69,9.33665793246836e-07
Dynamic Harmonic Model,2014/2015,70,0.999999969105918
Historical Average,2014/2015,70,1.44982306596186e-08
Subtype Historical Average,2014/2015,70,1.63958513777781e-08
Dynamic Harmonic Model,2015/2016,70,0.981888972769866
Historical Average,2015/2016,70,0.0181099958161793
Subtype Historical Average,2015/2016,70,1.03141395471158e-06
Dynamic Harmonic Model,2016/2017,70,0.981877021283392
Historical Average,2016/2017,70,0.0181219773536996
Subtype Historical Average,2016/2017,70,1.00136290848822e-06
Dynamic Harmonic Model,2017/2018,70,0.982165356035012
Historical Average,2017/2018,70,0.0178335608987447
Subtype Historical Average,2017/2018,70,1.08306624285915e-06
Dynamic Harmonic Model,2014/2015,71,0.999999852695656
Historical Average,2014/2015,71,6.80185254807256e-08
Subtype Historical Average,2014/2015,71,7.92858180126088e-08
Dynamic Harmonic Model,2015/2016,71,0.978514787451539
Historical Average,2015/2016,71,0.0214833375133823
Subtype Historical Average,2015/2016,71,1.87503507860697e-06
Dynamic Harmonic Model,2016/2017,71,0.978266809622003
Historical Average,2016/2017,71,0.0217313550715429
Subtype Historical Average,2016/2017,71,1.83530645457833e-06
Dynamic Harmonic Model,2017/2018,71,0.981145635520433
Historical Average,2017/2018,71,0.018853060424606
Subtype Historical Average,2017/2018,71,1.3040549607487e-06
Dynamic Harmonic Model,2014/2015,72,0.997736503065428
Historical Average,2014/2015,72,0.00225967613469398
Subtype Historical Average,2014/2015,72,3.8207998776489e-06
Dynamic Harmonic Model,2015/2016,72,0.980098824608321
Historical Average,2015/2016,72,0.0199001596154099
Subtype Historical Average,2015/2016,72,1.01577626878406e-06
Dynamic Harmonic Model,2016/2017,72,0.979804452189194
Historical Average,2016/2017,72,0.0201944595102846
Subtype Historical Average,2016/2017,72,1.08830052155538e-06
Dynamic Harmonic Model,2017/2018,72,0.982628760660661
Historical Average,2017/2018,72,0.0173702635177042
Subtype Historical Average,2017/2018,72,9.75821634625881e-07
Dynamic Harmonic Model,2018/2019,40,0.999260486440603
Historical Average,2018/2019,40,0.000362487969022955
Subtype Historical Average,2018/2019,40,0.000377025590374456
Dynamic Harmonic Model,2018/2019,41,0.999968711156411
Historical Average,2018/2019,41,2.83882608019576e-05
Subtype Historical Average,2018/2019,41,2.90058278682125e-06
Dynamic Harmonic Model,2018/2019,42,0.950527284620467
Historical Average,2018/2019,42,0.0482571452821933
Subtype Historical Average,2018/2019,42,0.00121557009733983
Dynamic Harmonic Model,2018/2019,43,0.999963257747863
Historical Average,2018/2019,43,3.01443484544989e-05
Subtype Historical Average,2018/2019,43,6.5979036829674e-06
Dynamic Harmonic Model,2018/2019,44,0.979966345877864
Historical Average,2018/2019,44,9.01417861079064e-05
Subtype Historical Average,2018/2019,44,0.019943512336028
Dynamic Harmonic Model,2018/2019,45,0.999982813615736
Historical Average,2018/2019,45,3.73907667830494e-06
Subtype Historical Average,2018/2019,45,1.34473075857864e-05
Dynamic Harmonic Model,2018/2019,46,0.956878584435891
Historical Average,2018/2019,46,0.00387291222288025
Subtype Historical Average,2018/2019,46,0.0392485033412284
Dynamic Harmonic Model,2018/2019,47,0.945266134938235
Historical Average,2018/2019,47,2.75499914962252e-05
Subtype Historical Average,2018/2019,47,0.0547063150702684
Dynamic Harmonic Model,2018/2019,48,0.912166695714861
Historical Average,2018/2019,48,3.71044930844139e-05
Subtype Historical Average,2018/2019,48,0.0877961997920549
Dynamic Harmonic Model,2018/2019,49,0.903346573145356
Historical Average,2018/2019,49,0.000119021472356657
Subtype Historical Average,2018/2019,49,0.0965344053822876
Dynamic Harmonic Model,2018/2019,50,0.967440472207134
Historical Average,2018/2019,50,0.000156645050165708
Subtype Historical Average,2018/2019,50,0.0324028827427004
Dynamic Harmonic Model,2018/2019,51,0.971253804004086
Historical Average,2018/2019,51,0.0155931456310296
Subtype Historical Average,2018/2019,51,0.0131530503648847
Dynamic Harmonic Model,2018/2019,52,0.975108632806731
Historical Average,2018/2019,52,0.024874748121746
Subtype Historical Average,2018/2019,52,1.66190715228521e-05
Dynamic Harmonic Model,2018/2019,53,0.977009144333443
Historical Average,2018/2019,53,0.0229784284514306
Subtype Historical Average,2018/2019,53,1.24272151260066e-05
Dynamic Harmonic Model,2018/2019,54,0.991131073614918
Historical Average,2018/2019,54,0.00884895791330109
Subtype Historical Average,2018/2019,54,1.99684717813095e-05
Dynamic Harmonic Model,2018/2019,55,0.973420327500231
Historical Average,2018/2019,55,0.0265761267501782
Subtype Historical Average,2018/2019,55,3.54574959121736e-06
Dynamic Harmonic Model,2018/2019,56,0.970635896333454
Historical Average,2018/2019,56,0.0293599697037998
Subtype Historical Average,2018/2019,56,4.13396274572681e-06
Dynamic Harmonic Model,2018/2019,57,0.953426929712614
Historical Average,2018/2019,57,0.0465681030384332
Subtype Historical Average,2018/2019,57,4.96724895281345e-06
Dynamic Harmonic Model,2018/2019,58,0.95308249070353
Historical Average,2018/2019,58,0.046911999805481
Subtype Historical Average,2018/2019,58,5.50949098927677e-06
Dynamic Harmonic Model,2018/2019,59,0.966094514936934
Historical Average,2018/2019,59,0.0339024330707261
Subtype Historical Average,2018/2019,59,3.05199233949431e-06
Dynamic Harmonic Model,2018/2019,60,0.973293808331862
Historical Average,2018/2019,60,0.0267045522097858
Subtype Historical Average,2018/2019,60,1.6394583522952e-06
Dynamic Harmonic Model,2018/2019,61,0.973601590390187
Historical Average,2018/2019,61,0.0263968019198799
Subtype Historical Average,2018/2019,61,1.60768993306456e-06
Dynamic Harmonic Model,2018/2019,62,0.983663756808246
Historical Average,2018/2019,62,0.0163348999019174
Subtype Historical Average,2018/2019,62,1.34328983636764e-06
Dynamic Harmonic Model,2018/2019,63,0.982839612057779
Historical Average,2018/2019,63,0.017158720818702
Subtype Historical Average,2018/2019,63,1.6671235189347e-06
Dynamic Harmonic Model,2018/2019,64,0.98531734083113
Historical Average,2018/2019,64,0.0146816373867001
Subtype Historical Average,2018/2019,64,1.02178217000026e-06
Dynamic Harmonic Model,2018/2019,65,0.984578299952491
Historical Average,2018/2019,65,0.0154204654361973
Subtype Historical Average,2018/2019,65,1.23461131166206e-06
Dynamic Harmonic Model,2018/2019,66,0.984345981695919
Historical Average,2018/2019,66,0.0156528577673969
Subtype Historical Average,2018/2019,66,1.16053668417598e-06
Dynamic Harmonic Model,2018/2019,67,0.986664460457635
Historical Average,2018/2019,67,0.0133346219319967
Subtype Historical Average,2018/2019,67,9.17610368647137e-07
Dynamic Harmonic Model,2018/2019,68,0.986755446234709
Historical Average,2018/2019,68,0.0132436687230317
Subtype Historical Average,2018/2019,68,8.85042259208892e-07
Dynamic Harmonic Model,2018/2019,69,0.987038708904404
Historical Average,2018/2019,69,0.0129603996506836
Subtype Historical Average,2018/2019,69,8.9144491245533e-07
Dynamic Harmonic Model,2018/2019,70,0.98657592422771
Historical Average,2018/2019,70,0.0134229997862197
Subtype Historical Average,2018/2019,70,1.07598607072361e-06
Dynamic Harmonic Model,2018/2019,71,0.98418073873751
Historical Average,2018/2019,71,0.0158176111276307
Subtype Historical Average,2018/2019,71,1.6501348592778e-06
Dynamic Harmonic Model,2018/2019,72,0.985004201783719
Historical Average,2018/2019,72,0.0149946885384672
Subtype Historical Average,2018/2019,72,1.10967781339869e-06
