component_model_id,season,Model Week,location,weight
Dynamic Harmonic Model,2014/2015,40,Alabama,0.12265192340806
Historical Average,2014/2015,40,Alabama,0.531165206409079
Subtype Historical Average,2014/2015,40,Alabama,0.346182870182861
Dynamic Harmonic Model,2015/2016,40,Alabama,4.73577035651718e-94
Historical Average,2015/2016,40,Alabama,0.00106988793775585
Subtype Historical Average,2015/2016,40,Alabama,0.998930112062244
Dynamic Harmonic Model,2016/2017,40,Alabama,0.183087228853674
Historical Average,2016/2017,40,Alabama,0.816809661383066
Subtype Historical Average,2016/2017,40,Alabama,0.000103109763260584
Dynamic Harmonic Model,2017/2018,40,Alabama,0.154203482700581
Historical Average,2017/2018,40,Alabama,0.281297728047485
Subtype Historical Average,2017/2018,40,Alabama,0.564498789251934
Dynamic Harmonic Model,2014/2015,41,Alabama,0.520508592206779
Historical Average,2014/2015,41,Alabama,0.433890705686914
Subtype Historical Average,2014/2015,41,Alabama,0.0456007021063072
Dynamic Harmonic Model,2015/2016,41,Alabama,0.652372171378277
Historical Average,2015/2016,41,Alabama,0.346183038492039
Subtype Historical Average,2015/2016,41,Alabama,0.00144479012968382
Dynamic Harmonic Model,2016/2017,41,Alabama,0.329528179120438
Historical Average,2016/2017,41,Alabama,0.67044274530082
Subtype Historical Average,2016/2017,41,Alabama,2.9075578741804e-05
Dynamic Harmonic Model,2017/2018,41,Alabama,0.465583197803511
Historical Average,2017/2018,41,Alabama,0.52894970174524
Subtype Historical Average,2017/2018,41,Alabama,0.00546710045124925
Dynamic Harmonic Model,2014/2015,42,Alabama,0.902878904787085
Historical Average,2014/2015,42,Alabama,0.0968222910868962
Subtype Historical Average,2014/2015,42,Alabama,0.000298804126018527
Dynamic Harmonic Model,2015/2016,42,Alabama,0.999967930568334
Historical Average,2015/2016,42,Alabama,6.30377258314232e-08
Subtype Historical Average,2015/2016,42,Alabama,3.20063939403616e-05
Dynamic Harmonic Model,2016/2017,42,Alabama,0.999995377650759
Historical Average,2016/2017,42,Alabama,4.26403627090123e-06
Subtype Historical Average,2016/2017,42,Alabama,3.58312970434967e-07
Dynamic Harmonic Model,2017/2018,42,Alabama,0.999998026403879
Historical Average,2017/2018,42,Alabama,3.35030743549067e-07
Subtype Historical Average,2017/2018,42,Alabama,1.63856537783116e-06
Dynamic Harmonic Model,2014/2015,43,Alabama,0.999999316170374
Historical Average,2014/2015,43,Alabama,9.0397921442829e-08
Subtype Historical Average,2014/2015,43,Alabama,5.93431704667831e-07
Dynamic Harmonic Model,2015/2016,43,Alabama,0.66544468420963
Historical Average,2015/2016,43,Alabama,4.41945228891568e-06
Subtype Historical Average,2015/2016,43,Alabama,0.334550896338081
Dynamic Harmonic Model,2016/2017,43,Alabama,0.826404330717647
Historical Average,2016/2017,43,Alabama,3.64022081155378e-06
Subtype Historical Average,2016/2017,43,Alabama,0.173592029061541
Dynamic Harmonic Model,2017/2018,43,Alabama,0.849853706537478
Historical Average,2017/2018,43,Alabama,1.92173217616952e-06
Subtype Historical Average,2017/2018,43,Alabama,0.150144371730346
Dynamic Harmonic Model,2014/2015,44,Alabama,0.999999565305075
Historical Average,2014/2015,44,Alabama,1.04058959313412e-07
Subtype Historical Average,2014/2015,44,Alabama,3.30635965786384e-07
Dynamic Harmonic Model,2015/2016,44,Alabama,0.71663326718675
Historical Average,2015/2016,44,Alabama,5.78063908928245e-06
Subtype Historical Average,2015/2016,44,Alabama,0.28336095217416
Dynamic Harmonic Model,2016/2017,44,Alabama,0.900409619911523
Historical Average,2016/2017,44,Alabama,2.88353065770957e-06
Subtype Historical Average,2016/2017,44,Alabama,0.0995874965578188
Dynamic Harmonic Model,2017/2018,44,Alabama,0.918796222408638
Historical Average,2017/2018,44,Alabama,1.57830563127047e-06
Subtype Historical Average,2017/2018,44,Alabama,0.0812021992857303
Dynamic Harmonic Model,2014/2015,45,Alabama,0.999999932134899
Historical Average,2014/2015,45,Alabama,1.01764291221588e-08
Subtype Historical Average,2014/2015,45,Alabama,5.7688672287977e-08
Dynamic Harmonic Model,2015/2016,45,Alabama,0.779010755947205
Historical Average,2015/2016,45,Alabama,3.3227000524358e-06
Subtype Historical Average,2015/2016,45,Alabama,0.220985921352743
Dynamic Harmonic Model,2016/2017,45,Alabama,0.890506226882793
Historical Average,2016/2017,45,Alabama,1.90314946495343e-06
Subtype Historical Average,2016/2017,45,Alabama,0.109491869967742
Dynamic Harmonic Model,2017/2018,45,Alabama,0.908330327130265
Historical Average,2017/2018,45,Alabama,1.06019709687643e-06
Subtype Historical Average,2017/2018,45,Alabama,0.0916686126726382
Dynamic Harmonic Model,2014/2015,46,Alabama,0.99999994069312
Historical Average,2014/2015,46,Alabama,1.32745657444007e-08
Subtype Historical Average,2014/2015,46,Alabama,4.60323144665839e-08
Dynamic Harmonic Model,2015/2016,46,Alabama,0.801687608218268
Historical Average,2015/2016,46,Alabama,1.77813908581356e-06
Subtype Historical Average,2015/2016,46,Alabama,0.198310613642646
Dynamic Harmonic Model,2016/2017,46,Alabama,0.878526084541469
Historical Average,2016/2017,46,Alabama,1.38643128387213e-06
Subtype Historical Average,2016/2017,46,Alabama,0.121472529027247
Dynamic Harmonic Model,2017/2018,46,Alabama,0.899532277438227
Historical Average,2017/2018,46,Alabama,6.96961659430074e-07
Subtype Historical Average,2017/2018,46,Alabama,0.100467025600114
Dynamic Harmonic Model,2014/2015,47,Alabama,0.99999988852559
Historical Average,2014/2015,47,Alabama,3.80954678354348e-08
Subtype Historical Average,2014/2015,47,Alabama,7.33789417127879e-08
Dynamic Harmonic Model,2015/2016,47,Alabama,0.932800126083946
Historical Average,2015/2016,47,Alabama,6.11132537453338e-06
Subtype Historical Average,2015/2016,47,Alabama,0.0671937625906791
Dynamic Harmonic Model,2016/2017,47,Alabama,0.999843393394332
Historical Average,2016/2017,47,Alabama,3.85840733790352e-13
Subtype Historical Average,2016/2017,47,Alabama,0.000156606605282296
Dynamic Harmonic Model,2017/2018,47,Alabama,0.9999990398474
Historical Average,2017/2018,47,Alabama,4.38001054921826e-10
Subtype Historical Average,2017/2018,47,Alabama,9.59714598656124e-07
Dynamic Harmonic Model,2014/2015,48,Alabama,0.941064672977979
Historical Average,2014/2015,48,Alabama,0.0588780236636211
Subtype Historical Average,2014/2015,48,Alabama,5.7303358400114e-05
Dynamic Harmonic Model,2015/2016,48,Alabama,0.475372569440417
Historical Average,2015/2016,48,Alabama,3.91076693498748e-06
Subtype Historical Average,2015/2016,48,Alabama,0.524623519792648
Dynamic Harmonic Model,2016/2017,48,Alabama,0.728247537146069
Historical Average,2016/2017,48,Alabama,3.4719752658722e-06
Subtype Historical Average,2016/2017,48,Alabama,0.271748990878665
Dynamic Harmonic Model,2017/2018,48,Alabama,0.999999095401175
Historical Average,2017/2018,48,Alabama,2.75351771213924e-13
Subtype Historical Average,2017/2018,48,Alabama,9.04598549669935e-07
Dynamic Harmonic Model,2014/2015,49,Alabama,0.783572477799161
Historical Average,2014/2015,49,Alabama,0.000135604902499127
Subtype Historical Average,2014/2015,49,Alabama,0.21629191729834
Dynamic Harmonic Model,2015/2016,49,Alabama,0.104281293016263
Historical Average,2015/2016,49,Alabama,6.33332029182983e-05
Subtype Historical Average,2015/2016,49,Alabama,0.895655373780818
Dynamic Harmonic Model,2016/2017,49,Alabama,0.502456209974966
Historical Average,2016/2017,49,Alabama,3.88683618385077e-05
Subtype Historical Average,2016/2017,49,Alabama,0.497504921663196
Dynamic Harmonic Model,2017/2018,49,Alabama,0.739614191571913
Historical Average,2017/2018,49,Alabama,4.40315602279069e-06
Subtype Historical Average,2017/2018,49,Alabama,0.260381405272064
Dynamic Harmonic Model,2014/2015,50,Alabama,0.791471662965369
Historical Average,2014/2015,50,Alabama,6.92451559137324e-05
Subtype Historical Average,2014/2015,50,Alabama,0.208459091878717
Dynamic Harmonic Model,2015/2016,50,Alabama,0.425013203689886
Historical Average,2015/2016,50,Alabama,0.000292290028621534
Subtype Historical Average,2015/2016,50,Alabama,0.574694506281492
Dynamic Harmonic Model,2016/2017,50,Alabama,0.648079189618075
Historical Average,2016/2017,50,Alabama,0.00145375090581512
Subtype Historical Average,2016/2017,50,Alabama,0.35046705947611
Dynamic Harmonic Model,2017/2018,50,Alabama,0.9999998203188
Historical Average,2017/2018,50,Alabama,6.77328637092021e-08
Subtype Historical Average,2017/2018,50,Alabama,1.1194833663672e-07
Dynamic Harmonic Model,2014/2015,51,Alabama,0.999999926854206
Historical Average,2014/2015,51,Alabama,1.65806320348175e-08
Subtype Historical Average,2014/2015,51,Alabama,5.65651619870064e-08
Dynamic Harmonic Model,2015/2016,51,Alabama,0.925941199485991
Historical Average,2015/2016,51,Alabama,0.0740535959823954
Subtype Historical Average,2015/2016,51,Alabama,5.20453161341703e-06
Dynamic Harmonic Model,2016/2017,51,Alabama,0.953176880775993
Historical Average,2016/2017,51,Alabama,0.0468192771795008
Subtype Historical Average,2016/2017,51,Alabama,3.84204450625398e-06
Dynamic Harmonic Model,2017/2018,51,Alabama,0.972653976330114
Historical Average,2017/2018,51,Alabama,0.027343943179102
Subtype Historical Average,2017/2018,51,Alabama,2.08049078380642e-06
Dynamic Harmonic Model,2014/2015,52,Alabama,0.999999957943781
Historical Average,2014/2015,52,Alabama,2.0465396879461e-09
Subtype Historical Average,2014/2015,52,Alabama,4.00096795559978e-08
Dynamic Harmonic Model,2015/2016,52,Alabama,0.928496455776037
Historical Average,2015/2016,52,Alabama,0.0714668145176105
Subtype Historical Average,2015/2016,52,Alabama,3.67297063522558e-05
Dynamic Harmonic Model,2016/2017,52,Alabama,0.953808798080125
Historical Average,2016/2017,52,Alabama,0.0461743261360687
Subtype Historical Average,2016/2017,52,Alabama,1.68757838058956e-05
Dynamic Harmonic Model,2017/2018,52,Alabama,0.944864433975865
Historical Average,2017/2018,52,Alabama,0.055130596760225
Subtype Historical Average,2017/2018,52,Alabama,4.96926391008786e-06
Dynamic Harmonic Model,2014/2015,53,Alabama,0.999999935316465
Historical Average,2014/2015,53,Alabama,1.50512671254957e-08
Subtype Historical Average,2014/2015,53,Alabama,4.96322676614118e-08
Dynamic Harmonic Model,2015/2016,53,Alabama,0.999999827475483
Historical Average,2015/2016,53,Alabama,6.58381077295497e-08
Subtype Historical Average,2015/2016,53,Alabama,1.06686408814247e-07
Dynamic Harmonic Model,2016/2017,53,Alabama,0.999999951799518
Historical Average,2016/2017,53,Alabama,9.24276778794657e-09
Subtype Historical Average,2016/2017,53,Alabama,3.89577145126528e-08
Dynamic Harmonic Model,2017/2018,53,Alabama,0.999999925592126
Historical Average,2017/2018,53,Alabama,1.31275283701188e-08
Subtype Historical Average,2017/2018,53,Alabama,6.12803451137769e-08
Dynamic Harmonic Model,2014/2015,54,Alabama,0.999999779457371
Historical Average,2014/2015,54,Alabama,8.83804087913284e-08
Subtype Historical Average,2014/2015,54,Alabama,1.32162220232665e-07
Dynamic Harmonic Model,2015/2016,54,Alabama,0.999999909790137
Historical Average,2015/2016,54,Alabama,3.74828418544533e-08
Subtype Historical Average,2015/2016,54,Alabama,5.27270209293062e-08
Dynamic Harmonic Model,2016/2017,54,Alabama,0.999999985527295
Historical Average,2016/2017,54,Alabama,1.63035768910869e-09
Subtype Historical Average,2016/2017,54,Alabama,1.28423472870956e-08
Dynamic Harmonic Model,2017/2018,54,Alabama,0.999999870973271
Historical Average,2017/2018,54,Alabama,2.09224775607673e-08
Subtype Historical Average,2017/2018,54,Alabama,1.08104251173991e-07
