component_model_id,season,Model Week,location,target,weight
Dynamic Harmonic Model,2014/2015,40,Delaware,1 wk ahead,0.999999466515724
Historical Average,2014/2015,40,Delaware,1 wk ahead,4.67932267953742e-07
Subtype Historical Average,2014/2015,40,Delaware,1 wk ahead,6.55520080351618e-08
Dynamic Harmonic Model,2015/2016,40,Delaware,1 wk ahead,0.999999436814021
Historical Average,2015/2016,40,Delaware,1 wk ahead,4.40651478588304e-07
Subtype Historical Average,2015/2016,40,Delaware,1 wk ahead,1.22534500600405e-07
Dynamic Harmonic Model,2016/2017,40,Delaware,1 wk ahead,0.999999531693972
Historical Average,2016/2017,40,Delaware,1 wk ahead,4.16951088348042e-07
Subtype Historical Average,2016/2017,40,Delaware,1 wk ahead,5.13549400669229e-08
Dynamic Harmonic Model,2017/2018,40,Delaware,1 wk ahead,0.999999474052664
Historical Average,2017/2018,40,Delaware,1 wk ahead,4.48640486896817e-07
Subtype Historical Average,2017/2018,40,Delaware,1 wk ahead,7.73068489424021e-08
Dynamic Harmonic Model,2014/2015,41,Delaware,1 wk ahead,0.99999984929527
Historical Average,2014/2015,41,Delaware,1 wk ahead,1.50104020190243e-07
Subtype Historical Average,2014/2015,41,Delaware,1 wk ahead,6.007097570016e-10
Dynamic Harmonic Model,2015/2016,41,Delaware,1 wk ahead,0.999999791156972
Historical Average,2015/2016,41,Delaware,1 wk ahead,4.86893966139049e-10
Subtype Historical Average,2015/2016,41,Delaware,1 wk ahead,2.08356134255326e-07
Dynamic Harmonic Model,2016/2017,41,Delaware,1 wk ahead,0.999999887708661
Historical Average,2016/2017,41,Delaware,1 wk ahead,6.70497365256891e-09
Subtype Historical Average,2016/2017,41,Delaware,1 wk ahead,1.05586365346862e-07
Dynamic Harmonic Model,2017/2018,41,Delaware,1 wk ahead,0.999999868250215
Historical Average,2017/2018,41,Delaware,1 wk ahead,3.18841130752254e-09
Subtype Historical Average,2017/2018,41,Delaware,1 wk ahead,1.28561374105505e-07
Dynamic Harmonic Model,2014/2015,42,Delaware,1 wk ahead,0.999999873776226
Historical Average,2014/2015,42,Delaware,1 wk ahead,1.25645343683997e-07
Subtype Historical Average,2014/2015,42,Delaware,1 wk ahead,5.78430816144491e-10
Dynamic Harmonic Model,2015/2016,42,Delaware,1 wk ahead,0.999999857955631
Historical Average,2015/2016,42,Delaware,1 wk ahead,1.67760261022171e-09
Subtype Historical Average,2015/2016,42,Delaware,1 wk ahead,1.40366766763954e-07
Dynamic Harmonic Model,2016/2017,42,Delaware,1 wk ahead,0.999999908159553
Historical Average,2016/2017,42,Delaware,1 wk ahead,1.19368710382097e-08
Subtype Historical Average,2016/2017,42,Delaware,1 wk ahead,7.99035754872594e-08
Dynamic Harmonic Model,2017/2018,42,Delaware,1 wk ahead,0.99999991273109
Historical Average,2017/2018,42,Delaware,1 wk ahead,7.34531533823996e-09
Subtype Historical Average,2017/2018,42,Delaware,1 wk ahead,7.99235948122228e-08
Dynamic Harmonic Model,2014/2015,43,Delaware,1 wk ahead,0.999999986729219
Historical Average,2014/2015,43,Delaware,1 wk ahead,1.28872831647835e-08
Subtype Historical Average,2014/2015,43,Delaware,1 wk ahead,3.83497807268972e-10
Dynamic Harmonic Model,2015/2016,43,Delaware,1 wk ahead,0.999999938045703
Historical Average,2015/2016,43,Delaware,1 wk ahead,1.15505856535149e-09
Subtype Historical Average,2015/2016,43,Delaware,1 wk ahead,6.07992383425024e-08
Dynamic Harmonic Model,2016/2017,43,Delaware,1 wk ahead,0.999999977303905
Historical Average,2016/2017,43,Delaware,1 wk ahead,1.03536420770338e-09
Subtype Historical Average,2016/2017,43,Delaware,1 wk ahead,2.16607306628991e-08
Dynamic Harmonic Model,2017/2018,43,Delaware,1 wk ahead,0.999999975274778
Historical Average,2017/2018,43,Delaware,1 wk ahead,6.89849258966729e-10
Subtype Historical Average,2017/2018,43,Delaware,1 wk ahead,2.40353722753439e-08
Dynamic Harmonic Model,2014/2015,44,Delaware,1 wk ahead,0.999999947817225
Historical Average,2014/2015,44,Delaware,1 wk ahead,5.15890789236174e-08
Subtype Historical Average,2014/2015,44,Delaware,1 wk ahead,5.93696321539997e-10
Dynamic Harmonic Model,2015/2016,44,Delaware,1 wk ahead,0.999999937896952
Historical Average,2015/2016,44,Delaware,1 wk ahead,6.42482412152507e-09
Subtype Historical Average,2015/2016,44,Delaware,1 wk ahead,5.56782243038011e-08
Dynamic Harmonic Model,2016/2017,44,Delaware,1 wk ahead,0.999999944646541
Historical Average,2016/2017,44,Delaware,1 wk ahead,2.0782696324948e-08
Subtype Historical Average,2016/2017,44,Delaware,1 wk ahead,3.45707625495302e-08
Dynamic Harmonic Model,2017/2018,44,Delaware,1 wk ahead,0.99999996554043
Historical Average,2017/2018,44,Delaware,1 wk ahead,8.38467471326023e-09
Subtype Historical Average,2017/2018,44,Delaware,1 wk ahead,2.60748948945538e-08
Dynamic Harmonic Model,2014/2015,45,Delaware,1 wk ahead,0.999999862058896
Historical Average,2014/2015,45,Delaware,1 wk ahead,1.37531299843394e-07
Subtype Historical Average,2014/2015,45,Delaware,1 wk ahead,4.09804242343681e-10
Dynamic Harmonic Model,2015/2016,45,Delaware,1 wk ahead,0.99999972282105
Historical Average,2015/2016,45,Delaware,1 wk ahead,2.06544754951424e-09
Subtype Historical Average,2015/2016,45,Delaware,1 wk ahead,2.75113502152638e-07
Dynamic Harmonic Model,2016/2017,45,Delaware,1 wk ahead,0.999999870399294
Historical Average,2016/2017,45,Delaware,1 wk ahead,1.95408673607888e-08
Subtype Historical Average,2016/2017,45,Delaware,1 wk ahead,1.1005983872163e-07
Dynamic Harmonic Model,2017/2018,45,Delaware,1 wk ahead,0.999999895268822
Historical Average,2017/2018,45,Delaware,1 wk ahead,1.05081996112052e-08
Subtype Historical Average,2017/2018,45,Delaware,1 wk ahead,9.42229779537387e-08
Dynamic Harmonic Model,2014/2015,46,Delaware,1 wk ahead,0.999999942640034
Historical Average,2014/2015,46,Delaware,1 wk ahead,3.19077102601999e-08
Subtype Historical Average,2014/2015,46,Delaware,1 wk ahead,2.54522553180555e-08
Dynamic Harmonic Model,2015/2016,46,Delaware,1 wk ahead,0.999999964960481
Historical Average,2015/2016,46,Delaware,1 wk ahead,1.39205457845354e-08
Subtype Historical Average,2015/2016,46,Delaware,1 wk ahead,2.11189734409794e-08
Dynamic Harmonic Model,2016/2017,46,Delaware,1 wk ahead,0.999999961656453
Historical Average,2016/2017,46,Delaware,1 wk ahead,1.59840701677872e-08
Subtype Historical Average,2016/2017,46,Delaware,1 wk ahead,2.23594769252554e-08
Dynamic Harmonic Model,2017/2018,46,Delaware,1 wk ahead,0.99999997563406
Historical Average,2017/2018,46,Delaware,1 wk ahead,9.84413979094667e-09
Subtype Historical Average,2017/2018,46,Delaware,1 wk ahead,1.45217999180731e-08
Dynamic Harmonic Model,2014/2015,47,Delaware,1 wk ahead,0.999999958016396
Historical Average,2014/2015,47,Delaware,1 wk ahead,3.79635764930492e-08
Subtype Historical Average,2014/2015,47,Delaware,1 wk ahead,4.02002752966666e-09
Dynamic Harmonic Model,2015/2016,47,Delaware,1 wk ahead,0.999999953381823
Historical Average,2015/2016,47,Delaware,1 wk ahead,8.64575520265524e-09
Subtype Historical Average,2015/2016,47,Delaware,1 wk ahead,3.79724217616333e-08
Dynamic Harmonic Model,2016/2017,47,Delaware,1 wk ahead,0.999999957831915
Historical Average,2016/2017,47,Delaware,1 wk ahead,1.87310641093045e-08
Subtype Historical Average,2016/2017,47,Delaware,1 wk ahead,2.34370212107696e-08
Dynamic Harmonic Model,2017/2018,47,Delaware,1 wk ahead,0.999999972230901
Historical Average,2017/2018,47,Delaware,1 wk ahead,9.06763398311225e-09
Subtype Historical Average,2017/2018,47,Delaware,1 wk ahead,1.87014651889661e-08
Dynamic Harmonic Model,2014/2015,48,Delaware,1 wk ahead,0.99999997616657
Historical Average,2014/2015,48,Delaware,1 wk ahead,1.55561608531011e-08
Subtype Historical Average,2014/2015,48,Delaware,1 wk ahead,8.27726894376245e-09
Dynamic Harmonic Model,2015/2016,48,Delaware,1 wk ahead,0.999999973609609
Historical Average,2015/2016,48,Delaware,1 wk ahead,1.11568904102398e-08
Subtype Historical Average,2015/2016,48,Delaware,1 wk ahead,1.52335008733116e-08
Dynamic Harmonic Model,2016/2017,48,Delaware,1 wk ahead,0.99999997350142
Historical Average,2016/2017,48,Delaware,1 wk ahead,1.48186678817842e-08
Subtype Historical Average,2016/2017,48,Delaware,1 wk ahead,1.16799121481389e-08
Dynamic Harmonic Model,2017/2018,48,Delaware,1 wk ahead,0.999999985717162
Historical Average,2017/2018,48,Delaware,1 wk ahead,7.38631235251447e-09
Subtype Historical Average,2017/2018,48,Delaware,1 wk ahead,6.89652591122909e-09
Dynamic Harmonic Model,2014/2015,49,Delaware,1 wk ahead,0.999999951878362
Historical Average,2014/2015,49,Delaware,1 wk ahead,3.44322588703857e-08
Subtype Historical Average,2014/2015,49,Delaware,1 wk ahead,1.36893788187263e-08
Dynamic Harmonic Model,2015/2016,49,Delaware,1 wk ahead,0.999999971272578
Historical Average,2015/2016,49,Delaware,1 wk ahead,1.45581756044192e-08
Subtype Historical Average,2015/2016,49,Delaware,1 wk ahead,1.41692462217006e-08
Dynamic Harmonic Model,2016/2017,49,Delaware,1 wk ahead,0.999999964538197
Historical Average,2016/2017,49,Delaware,1 wk ahead,2.3756634869955e-08
Subtype Historical Average,2016/2017,49,Delaware,1 wk ahead,1.17051686126544e-08
Dynamic Harmonic Model,2017/2018,49,Delaware,1 wk ahead,0.999999973726114
Historical Average,2017/2018,49,Delaware,1 wk ahead,1.65579031780012e-08
Subtype Historical Average,2017/2018,49,Delaware,1 wk ahead,9.71598299946172e-09
Dynamic Harmonic Model,2014/2015,50,Delaware,1 wk ahead,0.999999987662326
Historical Average,2014/2015,50,Delaware,1 wk ahead,8.31720705792638e-09
Subtype Historical Average,2014/2015,50,Delaware,1 wk ahead,4.02046653932019e-09
Dynamic Harmonic Model,2015/2016,50,Delaware,1 wk ahead,0.999999982366051
Historical Average,2015/2016,50,Delaware,1 wk ahead,9.41942575827678e-09
Subtype Historical Average,2015/2016,50,Delaware,1 wk ahead,8.21452322539222e-09
Dynamic Harmonic Model,2016/2017,50,Delaware,1 wk ahead,0.999999985260446
Historical Average,2016/2017,50,Delaware,1 wk ahead,9.71441153935368e-09
Subtype Historical Average,2016/2017,50,Delaware,1 wk ahead,5.02514220344691e-09
Dynamic Harmonic Model,2017/2018,50,Delaware,1 wk ahead,0.999999988976312
Historical Average,2017/2018,50,Delaware,1 wk ahead,6.42407080437519e-09
Subtype Historical Average,2017/2018,50,Delaware,1 wk ahead,4.59961740069835e-09
Dynamic Harmonic Model,2014/2015,51,Delaware,1 wk ahead,0.999999987668781
Historical Average,2014/2015,51,Delaware,1 wk ahead,6.59941400567766e-09
Subtype Historical Average,2014/2015,51,Delaware,1 wk ahead,5.73180485689366e-09
Dynamic Harmonic Model,2015/2016,51,Delaware,1 wk ahead,0.999999983902385
Historical Average,2015/2016,51,Delaware,1 wk ahead,5.30805748119693e-09
Subtype Historical Average,2015/2016,51,Delaware,1 wk ahead,1.07895571638071e-08
Dynamic Harmonic Model,2016/2017,51,Delaware,1 wk ahead,0.99999998414431
Historical Average,2016/2017,51,Delaware,1 wk ahead,6.73552892501416e-09
Subtype Historical Average,2016/2017,51,Delaware,1 wk ahead,9.12016092315174e-09
Dynamic Harmonic Model,2017/2018,51,Delaware,1 wk ahead,0.999999993716344
Historical Average,2017/2018,51,Delaware,1 wk ahead,2.55123151865326e-09
Subtype Historical Average,2017/2018,51,Delaware,1 wk ahead,3.73242435149808e-09
Dynamic Harmonic Model,2014/2015,52,Delaware,1 wk ahead,0.999999991431131
Historical Average,2014/2015,52,Delaware,1 wk ahead,3.74468290034002e-09
Subtype Historical Average,2014/2015,52,Delaware,1 wk ahead,4.82418568641612e-09
Dynamic Harmonic Model,2015/2016,52,Delaware,1 wk ahead,0.999999970296617
Historical Average,2015/2016,52,Delaware,1 wk ahead,2.95160180038681e-08
Subtype Historical Average,2015/2016,52,Delaware,1 wk ahead,1.87364599577215e-10
Dynamic Harmonic Model,2016/2017,52,Delaware,1 wk ahead,0.999999969884059
Historical Average,2016/2017,52,Delaware,1 wk ahead,2.99988897750447e-08
Subtype Historical Average,2016/2017,52,Delaware,1 wk ahead,1.17051137215697e-10
Dynamic Harmonic Model,2017/2018,52,Delaware,1 wk ahead,0.999999984662001
Historical Average,2017/2018,52,Delaware,1 wk ahead,1.52709936927894e-08
Subtype Historical Average,2017/2018,52,Delaware,1 wk ahead,6.7005179878819e-11
Dynamic Harmonic Model,2014/2015,53,Delaware,1 wk ahead,0.999999995263312
Historical Average,2014/2015,53,Delaware,1 wk ahead,3.31275031321297e-09
Subtype Historical Average,2014/2015,53,Delaware,1 wk ahead,1.42393734049654e-09
Dynamic Harmonic Model,2015/2016,53,Delaware,1 wk ahead,0.999999985735922
Historical Average,2015/2016,53,Delaware,1 wk ahead,8.15702586302684e-09
Subtype Historical Average,2015/2016,53,Delaware,1 wk ahead,6.10705241936937e-09
Dynamic Harmonic Model,2016/2017,53,Delaware,1 wk ahead,0.999999989481952
Historical Average,2016/2017,53,Delaware,1 wk ahead,8.23319990950093e-09
Subtype Historical Average,2016/2017,53,Delaware,1 wk ahead,2.28484851802135e-09
Dynamic Harmonic Model,2017/2018,53,Delaware,1 wk ahead,0.999999994993029
Historical Average,2017/2018,53,Delaware,1 wk ahead,3.62583496455634e-09
Subtype Historical Average,2017/2018,53,Delaware,1 wk ahead,1.38113596347341e-09
Dynamic Harmonic Model,2014/2015,54,Delaware,1 wk ahead,0.999999997611675
Historical Average,2014/2015,54,Delaware,1 wk ahead,6.92530810309534e-10
Subtype Historical Average,2014/2015,54,Delaware,1 wk ahead,1.69579446020851e-09
Dynamic Harmonic Model,2015/2016,54,Delaware,1 wk ahead,0.999999996312793
Historical Average,2015/2016,54,Delaware,1 wk ahead,1.03383221755971e-09
Subtype Historical Average,2015/2016,54,Delaware,1 wk ahead,2.65337489720187e-09
Dynamic Harmonic Model,2016/2017,54,Delaware,1 wk ahead,0.999999997219193
Historical Average,2016/2017,54,Delaware,1 wk ahead,8.19637572032871e-10
Subtype Historical Average,2016/2017,54,Delaware,1 wk ahead,1.96116946076545e-09
Dynamic Harmonic Model,2017/2018,54,Delaware,1 wk ahead,0.999999998941577
Historical Average,2017/2018,54,Delaware,1 wk ahead,3.61830340050385e-10
Subtype Historical Average,2017/2018,54,Delaware,1 wk ahead,6.96592814530383e-10
Dynamic Harmonic Model,2014/2015,55,Delaware,1 wk ahead,0.999999996624573
Historical Average,2014/2015,55,Delaware,1 wk ahead,1.26311746935052e-09
Subtype Historical Average,2014/2015,55,Delaware,1 wk ahead,2.11230916488936e-09
Dynamic Harmonic Model,2015/2016,55,Delaware,1 wk ahead,0.999999977449713
Historical Average,2015/2016,55,Delaware,1 wk ahead,1.97237415539233e-08
Subtype Historical Average,2015/2016,55,Delaware,1 wk ahead,2.82654528138062e-09
Dynamic Harmonic Model,2016/2017,55,Delaware,1 wk ahead,0.999999980568105
Historical Average,2016/2017,55,Delaware,1 wk ahead,1.73946307941677e-08
Subtype Historical Average,2016/2017,55,Delaware,1 wk ahead,2.03726398748247e-09
Dynamic Harmonic Model,2017/2018,55,Delaware,1 wk ahead,0.999999981856642
Historical Average,2017/2018,55,Delaware,1 wk ahead,1.65839230295827e-08
Subtype Historical Average,2017/2018,55,Delaware,1 wk ahead,1.55943479730117e-09
Dynamic Harmonic Model,2014/2015,56,Delaware,1 wk ahead,0.999999984629319
Historical Average,2014/2015,56,Delaware,1 wk ahead,1.40477052380394e-08
Subtype Historical Average,2014/2015,56,Delaware,1 wk ahead,1.32297607547176e-09
Dynamic Harmonic Model,2015/2016,56,Delaware,1 wk ahead,0.685223095460197
Historical Average,2015/2016,56,Delaware,1 wk ahead,0.314775618578779
Subtype Historical Average,2015/2016,56,Delaware,1 wk ahead,1.28596102471782e-06
Dynamic Harmonic Model,2016/2017,56,Delaware,1 wk ahead,0.780458866919169
Historical Average,2016/2017,56,Delaware,1 wk ahead,0.219540312089098
Subtype Historical Average,2016/2017,56,Delaware,1 wk ahead,8.20991733407606e-07
Dynamic Harmonic Model,2017/2018,56,Delaware,1 wk ahead,0.999997941615215
Historical Average,2017/2018,56,Delaware,1 wk ahead,2.05838417576637e-06
Subtype Historical Average,2017/2018,56,Delaware,1 wk ahead,6.08946230843408e-13
Dynamic Harmonic Model,2014/2015,57,Delaware,1 wk ahead,0.999999999337018
Historical Average,2014/2015,57,Delaware,1 wk ahead,4.3837180312804e-10
Subtype Historical Average,2014/2015,57,Delaware,1 wk ahead,2.24609968451518e-10
Dynamic Harmonic Model,2015/2016,57,Delaware,1 wk ahead,0.999999351662822
Historical Average,2015/2016,57,Delaware,1 wk ahead,9.39278579776563e-13
Subtype Historical Average,2015/2016,57,Delaware,1 wk ahead,6.48336238520101e-07
Dynamic Harmonic Model,2016/2017,57,Delaware,1 wk ahead,0.999999603501898
Historical Average,2016/2017,57,Delaware,1 wk ahead,2.56059207298682e-11
Subtype Historical Average,2016/2017,57,Delaware,1 wk ahead,3.96472496048093e-07
Dynamic Harmonic Model,2017/2018,57,Delaware,1 wk ahead,0.999999234365467
Historical Average,2017/2018,57,Delaware,1 wk ahead,1.08707109840287e-12
Subtype Historical Average,2017/2018,57,Delaware,1 wk ahead,7.65633446459234e-07
Dynamic Harmonic Model,2014/2015,58,Delaware,1 wk ahead,0.999999995259745
Historical Average,2014/2015,58,Delaware,1 wk ahead,3.30885259286081e-09
Subtype Historical Average,2014/2015,58,Delaware,1 wk ahead,1.43140189506345e-09
Dynamic Harmonic Model,2015/2016,58,Delaware,1 wk ahead,0.999999952274053
Historical Average,2015/2016,58,Delaware,1 wk ahead,5.51805015496102e-10
Subtype Historical Average,2015/2016,58,Delaware,1 wk ahead,4.71741424194297e-08
Dynamic Harmonic Model,2016/2017,58,Delaware,1 wk ahead,0.999999985859571
Historical Average,2016/2017,58,Delaware,1 wk ahead,2.52273616537056e-10
Subtype Historical Average,2016/2017,58,Delaware,1 wk ahead,1.38881551630961e-08
Dynamic Harmonic Model,2017/2018,58,Delaware,1 wk ahead,0.999999959894877
Historical Average,2017/2018,58,Delaware,1 wk ahead,9.05248086944806e-10
Subtype Historical Average,2017/2018,58,Delaware,1 wk ahead,3.91998750424386e-08
Dynamic Harmonic Model,2014/2015,59,Delaware,1 wk ahead,0.999999891813911
Historical Average,2014/2015,59,Delaware,1 wk ahead,8.40889378575642e-08
Subtype Historical Average,2014/2015,59,Delaware,1 wk ahead,2.40971508033123e-08
Dynamic Harmonic Model,2015/2016,59,Delaware,1 wk ahead,0.999999972948484
Historical Average,2015/2016,59,Delaware,1 wk ahead,5.40962678498106e-09
Subtype Historical Average,2015/2016,59,Delaware,1 wk ahead,2.16418889521747e-08
Dynamic Harmonic Model,2016/2017,59,Delaware,1 wk ahead,0.999999967227234
Historical Average,2016/2017,59,Delaware,1 wk ahead,1.96994275480804e-08
Subtype Historical Average,2016/2017,59,Delaware,1 wk ahead,1.30733382487153e-08
Dynamic Harmonic Model,2017/2018,59,Delaware,1 wk ahead,0.999999986685353
Historical Average,2017/2018,59,Delaware,1 wk ahead,1.06900825593832e-08
Subtype Historical Average,2017/2018,59,Delaware,1 wk ahead,2.62456484411535e-09
Dynamic Harmonic Model,2014/2015,60,Delaware,1 wk ahead,0.498599054650267
Historical Average,2014/2015,60,Delaware,1 wk ahead,0.501368683606903
Subtype Historical Average,2014/2015,60,Delaware,1 wk ahead,3.22617428295941e-05
Dynamic Harmonic Model,2015/2016,60,Delaware,1 wk ahead,0.999999685932214
Historical Average,2015/2016,60,Delaware,1 wk ahead,4.21096835395553e-11
Subtype Historical Average,2015/2016,60,Delaware,1 wk ahead,3.14025676062809e-07
Dynamic Harmonic Model,2016/2017,60,Delaware,1 wk ahead,0.165617369255581
Historical Average,2016/2017,60,Delaware,1 wk ahead,1.39549410269475e-14
Subtype Historical Average,2016/2017,60,Delaware,1 wk ahead,0.834382630744405
Dynamic Harmonic Model,2017/2018,60,Delaware,1 wk ahead,0.999988282498824
Historical Average,2017/2018,60,Delaware,1 wk ahead,1.16260036131706e-05
Subtype Historical Average,2017/2018,60,Delaware,1 wk ahead,9.14975626360971e-08
Dynamic Harmonic Model,2014/2015,61,Delaware,1 wk ahead,0.389594073786871
Historical Average,2014/2015,61,Delaware,1 wk ahead,0.610334592695474
Subtype Historical Average,2014/2015,61,Delaware,1 wk ahead,7.13335176548173e-05
Dynamic Harmonic Model,2015/2016,61,Delaware,1 wk ahead,0.999999901457523
Historical Average,2015/2016,61,Delaware,1 wk ahead,2.43533168306079e-08
Subtype Historical Average,2015/2016,61,Delaware,1 wk ahead,7.41891602325932e-08
Dynamic Harmonic Model,2016/2017,61,Delaware,1 wk ahead,7.24007152520103e-07
Historical Average,2016/2017,61,Delaware,1 wk ahead,1.52443542481477e-06
Subtype Historical Average,2016/2017,61,Delaware,1 wk ahead,0.999997751557423
Dynamic Harmonic Model,2017/2018,61,Delaware,1 wk ahead,0.423504823911763
Historical Average,2017/2018,61,Delaware,1 wk ahead,8.86004846109238e-07
