component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2014/2015,40,Season peak week,0.844256622482369
Dynamic Harmonic Model,2014/2015,40,Season peak percentage,0.844256622482369
Historical Average,2014/2015,40,Season peak week,0.153959489438196
Historical Average,2014/2015,40,Season peak percentage,0.153959489438196
Subtype Historical Average,2014/2015,40,Season peak week,0.00178388807943484
Subtype Historical Average,2014/2015,40,Season peak percentage,0.00178388807943484
Dynamic Harmonic Model,2015/2016,40,Season peak week,0.742012037250693
Dynamic Harmonic Model,2015/2016,40,Season peak percentage,0.742012037250693
Historical Average,2015/2016,40,Season peak week,0.257769308222627
Historical Average,2015/2016,40,Season peak percentage,0.257769308222627
Subtype Historical Average,2015/2016,40,Season peak week,0.000218654526680511
Subtype Historical Average,2015/2016,40,Season peak percentage,0.000218654526680511
Dynamic Harmonic Model,2016/2017,40,Season peak week,0.723664007875749
Dynamic Harmonic Model,2016/2017,40,Season peak percentage,0.723664007875749
Historical Average,2016/2017,40,Season peak week,0.276023060393139
Historical Average,2016/2017,40,Season peak percentage,0.276023060393139
Subtype Historical Average,2016/2017,40,Season peak week,0.000312931731112098
Subtype Historical Average,2016/2017,40,Season peak percentage,0.000312931731112098
Dynamic Harmonic Model,2017/2018,40,Season peak week,0.603072248784914
Dynamic Harmonic Model,2017/2018,40,Season peak percentage,0.603072248784914
Historical Average,2017/2018,40,Season peak week,0.0013275510024487
Historical Average,2017/2018,40,Season peak percentage,0.0013275510024487
Subtype Historical Average,2017/2018,40,Season peak week,0.395600200212638
Subtype Historical Average,2017/2018,40,Season peak percentage,0.395600200212638
Dynamic Harmonic Model,2014/2015,41,Season peak week,0.865986509704771
Dynamic Harmonic Model,2014/2015,41,Season peak percentage,0.865986509704771
Historical Average,2014/2015,41,Season peak week,0.133212281246938
Historical Average,2014/2015,41,Season peak percentage,0.133212281246938
Subtype Historical Average,2014/2015,41,Season peak week,0.000801209048290933
Subtype Historical Average,2014/2015,41,Season peak percentage,0.000801209048290933
Dynamic Harmonic Model,2015/2016,41,Season peak week,0.747532212121942
Dynamic Harmonic Model,2015/2016,41,Season peak percentage,0.747532212121942
Historical Average,2015/2016,41,Season peak week,0.252160390674588
Historical Average,2015/2016,41,Season peak percentage,0.252160390674588
Subtype Historical Average,2015/2016,41,Season peak week,0.000307397203469635
Subtype Historical Average,2015/2016,41,Season peak percentage,0.000307397203469635
Dynamic Harmonic Model,2016/2017,41,Season peak week,0.774505495872218
Dynamic Harmonic Model,2016/2017,41,Season peak percentage,0.774505495872218
