component_model_id,season,Model Week,location,target,weight
Dynamic Harmonic Model,2014/2015,40,Delaware,Season peak week,0.999999915411431
Dynamic Harmonic Model,2014/2015,40,Delaware,Season peak percentage,0.999999915411431
Historical Average,2014/2015,40,Delaware,Season peak week,5.70597232909466e-08
Historical Average,2014/2015,40,Delaware,Season peak percentage,5.70597232909466e-08
Subtype Historical Average,2014/2015,40,Delaware,Season peak week,2.75288461210889e-08
Subtype Historical Average,2014/2015,40,Delaware,Season peak percentage,2.75288461210889e-08
Dynamic Harmonic Model,2015/2016,40,Delaware,Season peak week,0.854554808621908
Dynamic Harmonic Model,2015/2016,40,Delaware,Season peak percentage,0.854554808621908
Historical Average,2015/2016,40,Delaware,Season peak week,0.0738041455969032
Historical Average,2015/2016,40,Delaware,Season peak percentage,0.0738041455969032
Subtype Historical Average,2015/2016,40,Delaware,Season peak week,0.0716410457811892
Subtype Historical Average,2015/2016,40,Delaware,Season peak percentage,0.0716410457811892
Dynamic Harmonic Model,2016/2017,40,Delaware,Season peak week,0.99999491209546
Dynamic Harmonic Model,2016/2017,40,Delaware,Season peak percentage,0.99999491209546
Historical Average,2016/2017,40,Delaware,Season peak week,3.19835028131366e-06
Historical Average,2016/2017,40,Delaware,Season peak percentage,3.19835028131366e-06
Subtype Historical Average,2016/2017,40,Delaware,Season peak week,1.88955425870189e-06
Subtype Historical Average,2016/2017,40,Delaware,Season peak percentage,1.88955425870189e-06
Dynamic Harmonic Model,2017/2018,40,Delaware,Season peak week,0.999999694999368
Dynamic Harmonic Model,2017/2018,40,Delaware,Season peak percentage,0.999999694999368
Historical Average,2017/2018,40,Delaware,Season peak week,2.98127470902247e-08
Historical Average,2017/2018,40,Delaware,Season peak percentage,2.98127470902247e-08
Subtype Historical Average,2017/2018,40,Delaware,Season peak week,2.75187885237361e-07
Subtype Historical Average,2017/2018,40,Delaware,Season peak percentage,2.75187885237361e-07
Dynamic Harmonic Model,2014/2015,41,Delaware,Season peak week,0.999999909010412
Dynamic Harmonic Model,2014/2015,41,Delaware,Season peak percentage,0.999999909010412
Historical Average,2014/2015,41,Delaware,Season peak week,6.14931436659364e-08
Historical Average,2014/2015,41,Delaware,Season peak percentage,6.14931436659364e-08
Subtype Historical Average,2014/2015,41,Delaware,Season peak week,2.94964440048251e-08
Subtype Historical Average,2014/2015,41,Delaware,Season peak percentage,2.94964440048251e-08
Dynamic Harmonic Model,2015/2016,41,Delaware,Season peak week,0.491769483329608
Dynamic Harmonic Model,2015/2016,41,Delaware,Season peak percentage,0.491769483329608
Historical Average,2015/2016,41,Delaware,Season peak week,0.5082247950561
Historical Average,2015/2016,41,Delaware,Season peak percentage,0.5082247950561
Subtype Historical Average,2015/2016,41,Delaware,Season peak week,5.72161429209604e-06
Subtype Historical Average,2015/2016,41,Delaware,Season peak percentage,5.72161429209604e-06
Dynamic Harmonic Model,2016/2017,41,Delaware,Season peak week,0.891932629541796
Dynamic Harmonic Model,2016/2017,41,Delaware,Season peak percentage,0.891932629541796
Historical Average,2016/2017,41,Delaware,Season peak week,0.108064782121742
Historical Average,2016/2017,41,Delaware,Season peak percentage,0.108064782121742
Subtype Historical Average,2016/2017,41,Delaware,Season peak week,2.58833646141936e-06
Subtype Historical Average,2016/2017,41,Delaware,Season peak percentage,2.58833646141936e-06
Dynamic Harmonic Model,2017/2018,41,Delaware,Season peak week,0.9999964701234
Dynamic Harmonic Model,2017/2018,41,Delaware,Season peak percentage,0.9999964701234
Historical Average,2017/2018,41,Delaware,Season peak week,3.5297525853827e-06
Historical Average,2017/2018,41,Delaware,Season peak percentage,3.5297525853827e-06
Subtype Historical Average,2017/2018,41,Delaware,Season peak week,1.24014776258523e-10
Subtype Historical Average,2017/2018,41,Delaware,Season peak percentage,1.24014776258523e-10
Dynamic Harmonic Model,2014/2015,42,Delaware,Season peak week,0.999998316541484
Dynamic Harmonic Model,2014/2015,42,Delaware,Season peak percentage,0.999998316541484
Historical Average,2014/2015,42,Delaware,Season peak week,1.4614967118115e-06
Historical Average,2014/2015,42,Delaware,Season peak percentage,1.4614967118115e-06
Subtype Historical Average,2014/2015,42,Delaware,Season peak week,2.21961804300599e-07
Subtype Historical Average,2014/2015,42,Delaware,Season peak percentage,2.21961804300599e-07
Dynamic Harmonic Model,2015/2016,42,Delaware,Season peak week,0.547465648466248
Dynamic Harmonic Model,2015/2016,42,Delaware,Season peak percentage,0.547465648466248
Historical Average,2015/2016,42,Delaware,Season peak week,0.452529381636562
Historical Average,2015/2016,42,Delaware,Season peak percentage,0.452529381636562
Subtype Historical Average,2015/2016,42,Delaware,Season peak week,4.96989718976447e-06
Subtype Historical Average,2015/2016,42,Delaware,Season peak percentage,4.96989718976447e-06
Dynamic Harmonic Model,2016/2017,42,Delaware,Season peak week,0.483052975603144
Dynamic Harmonic Model,2016/2017,42,Delaware,Season peak percentage,0.483052975603144
Historical Average,2016/2017,42,Delaware,Season peak week,0.516940522910329
Historical Average,2016/2017,42,Delaware,Season peak percentage,0.516940522910329
Subtype Historical Average,2016/2017,42,Delaware,Season peak week,6.50148652734665e-06
Subtype Historical Average,2016/2017,42,Delaware,Season peak percentage,6.50148652734665e-06
Dynamic Harmonic Model,2017/2018,42,Delaware,Season peak week,0.832383669500358
Dynamic Harmonic Model,2017/2018,42,Delaware,Season peak percentage,0.832383669500358
Historical Average,2017/2018,42,Delaware,Season peak week,0.16760803534406
Historical Average,2017/2018,42,Delaware,Season peak percentage,0.16760803534406
Subtype Historical Average,2017/2018,42,Delaware,Season peak week,8.29515558222243e-06
Subtype Historical Average,2017/2018,42,Delaware,Season peak percentage,8.29515558222243e-06
Dynamic Harmonic Model,2014/2015,43,Delaware,Season peak week,0.997336248972269
Dynamic Harmonic Model,2014/2015,43,Delaware,Season peak percentage,0.997336248972269
Historical Average,2014/2015,43,Delaware,Season peak week,0.0025711295149994
