component_model_id,season,weight
Dynamic Harmonic Model,2010/2011,0.870821762150422
Historical Average,2010/2011,0.0013406422375469
Subtype Historical Average,2010/2011,0.127837595612031
Dynamic Harmonic Model,2011/2012,0.85584826586438
Historical Average,2011/2012,0.000804936625337422
Subtype Historical Average,2011/2012,0.143346797510283
Dynamic Harmonic Model,2012/2013,0.869918606939521
Historical Average,2012/2013,0.00699832155059384
Subtype Historical Average,2012/2013,0.123083071509885
Dynamic Harmonic Model,2013/2014,0.86909487621479
Historical Average,2013/2014,0.000454230287311769
Subtype Historical Average,2013/2014,0.130450893497898
Dynamic Harmonic Model,2014/2015,0.874108342280898
Historical Average,2014/2015,0.00199050574397611
Subtype Historical Average,2014/2015,0.123901151975126
Dynamic Harmonic Model,2015/2016,0.869819697056995
Historical Average,2015/2016,0.0109927926928726
Subtype Historical Average,2015/2016,0.119187510250132
Dynamic Harmonic Model,2016/2017,0.868231128018741
Historical Average,2016/2017,0.00468570086058141
Subtype Historical Average,2016/2017,0.127083171120678
Dynamic Harmonic Model,2017/2018,0.867146245073391
Historical Average,2017/2018,0.016159852377616
Subtype Historical Average,2017/2018,0.116693902548993
Dynamic Harmonic Model,2018/2019,0.860134053231578
Historical Average,2018/2019,0.000793512644185748
Subtype Historical Average,2018/2019,0.139072434124236
Dynamic Harmonic Model,2019/2020,0.867449536849918
Historical Average,2019/2020,0.00269910975290246
Subtype Historical Average,2019/2020,0.12985135339718
