component_model_id,season,target,weight
Dynamic Harmonic Model,2020/2021,1 wk ahead,0.333333333333333
Dynamic Harmonic Model,2020/2021,2 wk ahead,0.333333333333333
Dynamic Harmonic Model,2020/2021,3 wk ahead,0.333333333333333
Dynamic Harmonic Model,2020/2021,4 wk ahead,0.333333333333333
Dynamic Harmonic Model,2020/2021,Season onset,0.333333333333333
Dynamic Harmonic Model,2020/2021,Season peak percentage,0.333333333333333
Dynamic Harmonic Model,2020/2021,Season peak week,0.333333333333333
Historical Average,2020/2021,1 wk ahead,0.333333333333333
Historical Average,2020/2021,2 wk ahead,0.333333333333333
Historical Average,2020/2021,3 wk ahead,0.333333333333333
Historical Average,2020/2021,4 wk ahead,0.333333333333333
Historical Average,2020/2021,Season onset,0.333333333333333
Historical Average,2020/2021,Season peak percentage,0.333333333333333
Historical Average,2020/2021,Season peak week,0.333333333333333
Subtype Historical Average,2020/2021,1 wk ahead,0.333333333333333
Subtype Historical Average,2020/2021,2 wk ahead,0.333333333333333
Subtype Historical Average,2020/2021,3 wk ahead,0.333333333333333
Subtype Historical Average,2020/2021,4 wk ahead,0.333333333333333
Subtype Historical Average,2020/2021,Season onset,0.333333333333333
Subtype Historical Average,2020/2021,Season peak percentage,0.333333333333333
Subtype Historical Average,2020/2021,Season peak week,0.333333333333333
