component_model_id,season,Model Week,weight
Dynamic Harmonic Model,2010/2011,40,0.866938566937864
Dynamic Harmonic Model,2010/2011,41,0.866938566937864
Dynamic Harmonic Model,2010/2011,42,0.866938566937864
Dynamic Harmonic Model,2010/2011,43,0.866938566937864
Dynamic Harmonic Model,2010/2011,44,0.866938566937864
Historical Average,2010/2011,40,3.05016783080219e-06
Historical Average,2010/2011,41,3.05016783080219e-06
Historical Average,2010/2011,42,3.05016783080219e-06
Historical Average,2010/2011,43,3.05016783080219e-06
Historical Average,2010/2011,44,3.05016783080219e-06
Subtype Historical Average,2010/2011,40,0.133058382894305
Subtype Historical Average,2010/2011,41,0.133058382894305
Subtype Historical Average,2010/2011,42,0.133058382894305
Subtype Historical Average,2010/2011,43,0.133058382894305
Subtype Historical Average,2010/2011,44,0.133058382894305
Dynamic Harmonic Model,2011/2012,40,0.820287977390763
Dynamic Harmonic Model,2011/2012,41,0.820287977390763
Dynamic Harmonic Model,2011/2012,42,0.820287977390763
Dynamic Harmonic Model,2011/2012,43,0.820287977390763
Dynamic Harmonic Model,2011/2012,44,0.820287977390763
Historical Average,2011/2012,40,3.37961021035342e-06
Historical Average,2011/2012,41,3.37961021035342e-06
Historical Average,2011/2012,42,3.37961021035342e-06
Historical Average,2011/2012,43,3.37961021035342e-06
Historical Average,2011/2012,44,3.37961021035342e-06
Subtype Historical Average,2011/2012,40,0.179708642999027
Subtype Historical Average,2011/2012,41,0.179708642999027
Subtype Historical Average,2011/2012,42,0.179708642999027
Subtype Historical Average,2011/2012,43,0.179708642999027
Subtype Historical Average,2011/2012,44,0.179708642999027
Dynamic Harmonic Model,2012/2013,40,0.883389917832286
Dynamic Harmonic Model,2012/2013,41,0.883389917832286
Dynamic Harmonic Model,2012/2013,42,0.883389917832286
Dynamic Harmonic Model,2012/2013,43,0.883389917832286
Dynamic Harmonic Model,2012/2013,44,0.883389917832286
Historical Average,2012/2013,40,3.79162253762001e-06
Historical Average,2012/2013,41,3.79162253762001e-06
Historical Average,2012/2013,42,3.79162253762001e-06
Historical Average,2012/2013,43,3.79162253762001e-06
Historical Average,2012/2013,44,3.79162253762001e-06
Subtype Historical Average,2012/2013,40,0.116606290545176
Subtype Historical Average,2012/2013,41,0.116606290545176
Subtype Historical Average,2012/2013,42,0.116606290545176
Subtype Historical Average,2012/2013,43,0.116606290545176
Subtype Historical Average,2012/2013,44,0.116606290545176
Dynamic Harmonic Model,2013/2014,40,0.877280579834789
Dynamic Harmonic Model,2013/2014,41,0.877280579834789
Dynamic Harmonic Model,2013/2014,42,0.877280579834789
Dynamic Harmonic Model,2013/2014,43,0.877280579834789
Dynamic Harmonic Model,2013/2014,44,0.877280579834789
Historical Average,2013/2014,40,8.16107148533592e-06
Historical Average,2013/2014,41,8.16107148533592e-06
Historical Average,2013/2014,42,8.16107148533592e-06
Historical Average,2013/2014,43,8.16107148533592e-06
Historical Average,2013/2014,44,8.16107148533592e-06
Subtype Historical Average,2013/2014,40,0.122711259093726
Subtype Historical Average,2013/2014,41,0.122711259093726
Subtype Historical Average,2013/2014,42,0.122711259093726
Subtype Historical Average,2013/2014,43,0.122711259093726
Subtype Historical Average,2013/2014,44,0.122711259093726
Dynamic Harmonic Model,2014/2015,40,0.915234488541833
Dynamic Harmonic Model,2014/2015,41,0.915234488541833
Dynamic Harmonic Model,2014/2015,42,0.915234488541833
Dynamic Harmonic Model,2014/2015,43,0.915234488541833
Dynamic Harmonic Model,2014/2015,44,0.915234488541833
Historical Average,2014/2015,40,1.11240453555152e-05
Historical Average,2014/2015,41,1.11240453555152e-05
Historical Average,2014/2015,42,1.11240453555152e-05
Historical Average,2014/2015,43,1.11240453555152e-05
Historical Average,2014/2015,44,1.11240453555152e-05
Subtype Historical Average,2014/2015,40,0.0847543874128117
Subtype Historical Average,2014/2015,41,0.0847543874128117
Subtype Historical Average,2014/2015,42,0.0847543874128117
Subtype Historical Average,2014/2015,43,0.0847543874128117
Subtype Historical Average,2014/2015,44,0.0847543874128117
Dynamic Harmonic Model,2015/2016,40,0.918347705364537
Dynamic Harmonic Model,2015/2016,41,0.918347705364537
Dynamic Harmonic Model,2015/2016,42,0.918347705364537
Dynamic Harmonic Model,2015/2016,43,0.918347705364537
Dynamic Harmonic Model,2015/2016,44,0.918347705364537
Historical Average,2015/2016,40,3.33182062242296e-06
Historical Average,2015/2016,41,3.33182062242296e-06
Historical Average,2015/2016,42,3.33182062242296e-06
Historical Average,2015/2016,43,3.33182062242296e-06
Historical Average,2015/2016,44,3.33182062242296e-06
Subtype Historical Average,2015/2016,40,0.0816489628148404
Subtype Historical Average,2015/2016,41,0.0816489628148404
Subtype Historical Average,2015/2016,42,0.0816489628148404
Subtype Historical Average,2015/2016,43,0.0816489628148404
Subtype Historical Average,2015/2016,44,0.0816489628148404
Dynamic Harmonic Model,2016/2017,40,0.838542248377011
Dynamic Harmonic Model,2016/2017,41,0.838542248377011
Dynamic Harmonic Model,2016/2017,42,0.838542248377011
Dynamic Harmonic Model,2016/2017,43,0.838542248377011
Dynamic Harmonic Model,2016/2017,44,0.838542248377011
Historical Average,2016/2017,40,3.38171247062891e-06
Historical Average,2016/2017,41,3.38171247062891e-06
