component_model_id,season,Model Week,location,weight
Dynamic Harmonic Model,2010/2011,40,HHS Region 1,0.999982084517929
Dynamic Harmonic Model,2010/2011,41,HHS Region 1,0.999982084517929
Dynamic Harmonic Model,2010/2011,42,HHS Region 1,0.999982084517929
Dynamic Harmonic Model,2010/2011,43,HHS Region 1,0.999982084517929
Dynamic Harmonic Model,2010/2011,44,HHS Region 1,0.999982084517929
Historical Average,2010/2011,40,HHS Region 1,8.76520775568798e-14
Historical Average,2010/2011,41,HHS Region 1,8.76520775568798e-14
Historical Average,2010/2011,42,HHS Region 1,8.76520775568798e-14
Historical Average,2010/2011,43,HHS Region 1,8.76520775568798e-14
Historical Average,2010/2011,44,HHS Region 1,8.76520775568798e-14
Subtype Historical Average,2010/2011,40,HHS Region 1,1.79154819837276e-05
Subtype Historical Average,2010/2011,41,HHS Region 1,1.79154819837276e-05
Subtype Historical Average,2010/2011,42,HHS Region 1,1.79154819837276e-05
Subtype Historical Average,2010/2011,43,HHS Region 1,1.79154819837276e-05
Subtype Historical Average,2010/2011,44,HHS Region 1,1.79154819837276e-05
Dynamic Harmonic Model,2011/2012,40,HHS Region 1,0.8067369359635
Dynamic Harmonic Model,2011/2012,41,HHS Region 1,0.8067369359635
Dynamic Harmonic Model,2011/2012,42,HHS Region 1,0.8067369359635
Dynamic Harmonic Model,2011/2012,43,HHS Region 1,0.8067369359635
Dynamic Harmonic Model,2011/2012,44,HHS Region 1,0.8067369359635
Historical Average,2011/2012,40,HHS Region 1,4.18157888471675e-06
Historical Average,2011/2012,41,HHS Region 1,4.18157888471675e-06
Historical Average,2011/2012,42,HHS Region 1,4.18157888471675e-06
Historical Average,2011/2012,43,HHS Region 1,4.18157888471675e-06
Historical Average,2011/2012,44,HHS Region 1,4.18157888471675e-06
Subtype Historical Average,2011/2012,40,HHS Region 1,0.193258882457616
Subtype Historical Average,2011/2012,41,HHS Region 1,0.193258882457616
Subtype Historical Average,2011/2012,42,HHS Region 1,0.193258882457616
Subtype Historical Average,2011/2012,43,HHS Region 1,0.193258882457616
Subtype Historical Average,2011/2012,44,HHS Region 1,0.193258882457616
Dynamic Harmonic Model,2012/2013,40,HHS Region 1,0.955594527929255
Dynamic Harmonic Model,2012/2013,41,HHS Region 1,0.955594527929255
Dynamic Harmonic Model,2012/2013,42,HHS Region 1,0.955594527929255
Dynamic Harmonic Model,2012/2013,43,HHS Region 1,0.955594527929255
Dynamic Harmonic Model,2012/2013,44,HHS Region 1,0.955594527929255
Historical Average,2012/2013,40,HHS Region 1,2.61845655580058e-07
Historical Average,2012/2013,41,HHS Region 1,2.61845655580058e-07
Historical Average,2012/2013,42,HHS Region 1,2.61845655580058e-07
Historical Average,2012/2013,43,HHS Region 1,2.61845655580058e-07
Historical Average,2012/2013,44,HHS Region 1,2.61845655580058e-07
Subtype Historical Average,2012/2013,40,HHS Region 1,0.0444052102250898
Subtype Historical Average,2012/2013,41,HHS Region 1,0.0444052102250898
Subtype Historical Average,2012/2013,42,HHS Region 1,0.0444052102250898
Subtype Historical Average,2012/2013,43,HHS Region 1,0.0444052102250898
Subtype Historical Average,2012/2013,44,HHS Region 1,0.0444052102250898
Dynamic Harmonic Model,2013/2014,40,HHS Region 1,0.977241423479464
Dynamic Harmonic Model,2013/2014,41,HHS Region 1,0.977241423479464
Dynamic Harmonic Model,2013/2014,42,HHS Region 1,0.977241423479464
Dynamic Harmonic Model,2013/2014,43,HHS Region 1,0.977241423479464
Dynamic Harmonic Model,2013/2014,44,HHS Region 1,0.977241423479464
Historical Average,2013/2014,40,HHS Region 1,1.02914383699263e-08
Historical Average,2013/2014,41,HHS Region 1,1.02914383699263e-08
Historical Average,2013/2014,42,HHS Region 1,1.02914383699263e-08
Historical Average,2013/2014,43,HHS Region 1,1.02914383699263e-08
Historical Average,2013/2014,44,HHS Region 1,1.02914383699263e-08
Subtype Historical Average,2013/2014,40,HHS Region 1,0.0227585662290974
Subtype Historical Average,2013/2014,41,HHS Region 1,0.0227585662290974
Subtype Historical Average,2013/2014,42,HHS Region 1,0.0227585662290974
Subtype Historical Average,2013/2014,43,HHS Region 1,0.0227585662290974
Subtype Historical Average,2013/2014,44,HHS Region 1,0.0227585662290974
Dynamic Harmonic Model,2014/2015,40,HHS Region 1,0.999994076627303
Dynamic Harmonic Model,2014/2015,41,HHS Region 1,0.999994076627303
Dynamic Harmonic Model,2014/2015,42,HHS Region 1,0.999994076627303
Dynamic Harmonic Model,2014/2015,43,HHS Region 1,0.999994076627303
Dynamic Harmonic Model,2014/2015,44,HHS Region 1,0.999994076627303
Historical Average,2014/2015,40,HHS Region 1,1.66032551247372e-08
Historical Average,2014/2015,41,HHS Region 1,1.66032551247372e-08
Historical Average,2014/2015,42,HHS Region 1,1.66032551247372e-08
Historical Average,2014/2015,43,HHS Region 1,1.66032551247372e-08
Historical Average,2014/2015,44,HHS Region 1,1.66032551247372e-08
Subtype Historical Average,2014/2015,40,HHS Region 1,5.90676944179308e-06
Subtype Historical Average,2014/2015,41,HHS Region 1,5.90676944179308e-06
Subtype Historical Average,2014/2015,42,HHS Region 1,5.90676944179308e-06
Subtype Historical Average,2014/2015,43,HHS Region 1,5.90676944179308e-06
Subtype Historical Average,2014/2015,44,HHS Region 1,5.90676944179308e-06
Dynamic Harmonic Model,2015/2016,40,HHS Region 1,0.99317663152647
Dynamic Harmonic Model,2015/2016,41,HHS Region 1,0.99317663152647
Dynamic Harmonic Model,2015/2016,42,HHS Region 1,0.99317663152647
Dynamic Harmonic Model,2015/2016,43,HHS Region 1,0.99317663152647
