component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2010/2011,40,1 wk ahead,0.99999902273662
Dynamic Harmonic Model,2010/2011,41,1 wk ahead,0.99999902273662
Dynamic Harmonic Model,2010/2011,42,1 wk ahead,0.99999902273662
Dynamic Harmonic Model,2010/2011,43,1 wk ahead,0.99999902273662
Dynamic Harmonic Model,2010/2011,44,1 wk ahead,0.99999902273662
Historical Average,2010/2011,40,1 wk ahead,6.90728393505712e-07
Historical Average,2010/2011,41,1 wk ahead,6.90728393505712e-07
Historical Average,2010/2011,42,1 wk ahead,6.90728393505712e-07
Historical Average,2010/2011,43,1 wk ahead,6.90728393505712e-07
Historical Average,2010/2011,44,1 wk ahead,6.90728393505712e-07
Subtype Historical Average,2010/2011,40,1 wk ahead,2.86534986019049e-07
Subtype Historical Average,2010/2011,41,1 wk ahead,2.86534986019049e-07
Subtype Historical Average,2010/2011,42,1 wk ahead,2.86534986019049e-07
Subtype Historical Average,2010/2011,43,1 wk ahead,2.86534986019049e-07
Subtype Historical Average,2010/2011,44,1 wk ahead,2.86534986019049e-07
Dynamic Harmonic Model,2011/2012,40,1 wk ahead,0.999997377268488
Dynamic Harmonic Model,2011/2012,41,1 wk ahead,0.999997377268488
Dynamic Harmonic Model,2011/2012,42,1 wk ahead,0.999997377268488
Dynamic Harmonic Model,2011/2012,43,1 wk ahead,0.999997377268488
Dynamic Harmonic Model,2011/2012,44,1 wk ahead,0.999997377268488
Historical Average,2011/2012,40,1 wk ahead,2.23786354491033e-06
Historical Average,2011/2012,41,1 wk ahead,2.23786354491033e-06
Historical Average,2011/2012,42,1 wk ahead,2.23786354491033e-06
Historical Average,2011/2012,43,1 wk ahead,2.23786354491033e-06
Historical Average,2011/2012,44,1 wk ahead,2.23786354491033e-06
Subtype Historical Average,2011/2012,40,1 wk ahead,3.84867966587795e-07
Subtype Historical Average,2011/2012,41,1 wk ahead,3.84867966587795e-07
Subtype Historical Average,2011/2012,42,1 wk ahead,3.84867966587795e-07
Subtype Historical Average,2011/2012,43,1 wk ahead,3.84867966587795e-07
Subtype Historical Average,2011/2012,44,1 wk ahead,3.84867966587795e-07
Dynamic Harmonic Model,2012/2013,40,1 wk ahead,0.999997905420504
Dynamic Harmonic Model,2012/2013,41,1 wk ahead,0.999997905420504
Dynamic Harmonic Model,2012/2013,42,1 wk ahead,0.999997905420504
Dynamic Harmonic Model,2012/2013,43,1 wk ahead,0.999997905420504
Dynamic Harmonic Model,2012/2013,44,1 wk ahead,0.999997905420504
Historical Average,2012/2013,40,1 wk ahead,1.76264035603521e-06
Historical Average,2012/2013,41,1 wk ahead,1.76264035603521e-06
Historical Average,2012/2013,42,1 wk ahead,1.76264035603521e-06
Historical Average,2012/2013,43,1 wk ahead,1.76264035603521e-06
Historical Average,2012/2013,44,1 wk ahead,1.76264035603521e-06
Subtype Historical Average,2012/2013,40,1 wk ahead,3.31939139989651e-07
Subtype Historical Average,2012/2013,41,1 wk ahead,3.31939139989651e-07
Subtype Historical Average,2012/2013,42,1 wk ahead,3.31939139989651e-07
Subtype Historical Average,2012/2013,43,1 wk ahead,3.31939139989651e-07
Subtype Historical Average,2012/2013,44,1 wk ahead,3.31939139989651e-07
Dynamic Harmonic Model,2013/2014,40,1 wk ahead,0.999998118895965
Dynamic Harmonic Model,2013/2014,41,1 wk ahead,0.999998118895965
Dynamic Harmonic Model,2013/2014,42,1 wk ahead,0.999998118895965
Dynamic Harmonic Model,2013/2014,43,1 wk ahead,0.999998118895965
Dynamic Harmonic Model,2013/2014,44,1 wk ahead,0.999998118895965
Historical Average,2013/2014,40,1 wk ahead,1.49530084825133e-06
Historical Average,2013/2014,41,1 wk ahead,1.49530084825133e-06
Historical Average,2013/2014,42,1 wk ahead,1.49530084825133e-06
Historical Average,2013/2014,43,1 wk ahead,1.49530084825133e-06
Historical Average,2013/2014,44,1 wk ahead,1.49530084825133e-06
Subtype Historical Average,2013/2014,40,1 wk ahead,3.85803187221671e-07
Subtype Historical Average,2013/2014,41,1 wk ahead,3.85803187221671e-07
Subtype Historical Average,2013/2014,42,1 wk ahead,3.85803187221671e-07
Subtype Historical Average,2013/2014,43,1 wk ahead,3.85803187221671e-07
Subtype Historical Average,2013/2014,44,1 wk ahead,3.85803187221671e-07
Dynamic Harmonic Model,2014/2015,40,1 wk ahead,0.999998905657275
Dynamic Harmonic Model,2014/2015,41,1 wk ahead,0.999998905657275
Dynamic Harmonic Model,2014/2015,42,1 wk ahead,0.999998905657275
Dynamic Harmonic Model,2014/2015,43,1 wk ahead,0.999998905657275
Dynamic Harmonic Model,2014/2015,44,1 wk ahead,0.999998905657275
Historical Average,2014/2015,40,1 wk ahead,7.19405525726356e-07
Historical Average,2014/2015,41,1 wk ahead,7.19405525726356e-07
Historical Average,2014/2015,42,1 wk ahead,7.19405525726356e-07
Historical Average,2014/2015,43,1 wk ahead,7.19405525726356e-07
Historical Average,2014/2015,44,1 wk ahead,7.19405525726356e-07
Subtype Historical Average,2014/2015,40,1 wk ahead,3.74937199695013e-07
Subtype Historical Average,2014/2015,41,1 wk ahead,3.74937199695013e-07
Subtype Historical Average,2014/2015,42,1 wk ahead,3.74937199695013e-07
Subtype Historical Average,2014/2015,43,1 wk ahead,3.74937199695013e-07
Subtype Historical Average,2014/2015,44,1 wk ahead,3.74937199695013e-07
Dynamic Harmonic Model,2015/2016,40,1 wk ahead,0.999999229381924
Dynamic Harmonic Model,2015/2016,41,1 wk ahead,0.999999229381924
Dynamic Harmonic Model,2015/2016,42,1 wk ahead,0.999999229381924
Dynamic Harmonic Model,2015/2016,43,1 wk ahead,0.999999229381924
Dynamic Harmonic Model,2015/2016,44,1 wk ahead,0.999999229381924
Historical Average,2015/2016,40,1 wk ahead,5.36920310096439e-07
Historical Average,2015/2016,41,1 wk ahead,5.36920310096439e-07
Historical Average,2015/2016,42,1 wk ahead,5.36920310096439e-07
Historical Average,2015/2016,43,1 wk ahead,5.36920310096439e-07
Historical Average,2015/2016,44,1 wk ahead,5.36920310096439e-07
Subtype Historical Average,2015/2016,40,1 wk ahead,2.3369776584844e-07
Subtype Historical Average,2015/2016,41,1 wk ahead,2.3369776584844e-07
Subtype Historical Average,2015/2016,42,1 wk ahead,2.3369776584844e-07
Subtype Historical Average,2015/2016,43,1 wk ahead,2.3369776584844e-07
Subtype Historical Average,2015/2016,44,1 wk ahead,2.3369776584844e-07
Dynamic Harmonic Model,2016/2017,40,1 wk ahead,0.999998265626723
Dynamic Harmonic Model,2016/2017,41,1 wk ahead,0.999998265626723
Dynamic Harmonic Model,2016/2017,42,1 wk ahead,0.999998265626723
Dynamic Harmonic Model,2016/2017,43,1 wk ahead,0.999998265626723
Dynamic Harmonic Model,2016/2017,44,1 wk ahead,0.999998265626723
Historical Average,2016/2017,40,1 wk ahead,1.31840451102676e-06
Historical Average,2016/2017,41,1 wk ahead,1.31840451102676e-06
Historical Average,2016/2017,42,1 wk ahead,1.31840451102676e-06
Historical Average,2016/2017,43,1 wk ahead,1.31840451102676e-06
Historical Average,2016/2017,44,1 wk ahead,1.31840451102676e-06
Subtype Historical Average,2016/2017,40,1 wk ahead,4.15968766150784e-07
Subtype Historical Average,2016/2017,41,1 wk ahead,4.15968766150784e-07
Subtype Historical Average,2016/2017,42,1 wk ahead,4.15968766150784e-07
Subtype Historical Average,2016/2017,43,1 wk ahead,4.15968766150784e-07
Subtype Historical Average,2016/2017,44,1 wk ahead,4.15968766150784e-07
Dynamic Harmonic Model,2017/2018,40,1 wk ahead,0.999998312548079
Dynamic Harmonic Model,2017/2018,41,1 wk ahead,0.999998312548079
Dynamic Harmonic Model,2017/2018,42,1 wk ahead,0.999998312548079
Dynamic Harmonic Model,2017/2018,43,1 wk ahead,0.999998312548079
Dynamic Harmonic Model,2017/2018,44,1 wk ahead,0.999998312548079
Historical Average,2017/2018,40,1 wk ahead,1.32640747432522e-06
Historical Average,2017/2018,41,1 wk ahead,1.32640747432522e-06
Historical Average,2017/2018,42,1 wk ahead,1.32640747432522e-06
Historical Average,2017/2018,43,1 wk ahead,1.32640747432522e-06
Historical Average,2017/2018,44,1 wk ahead,1.32640747432522e-06
Subtype Historical Average,2017/2018,40,1 wk ahead,3.61044446590253e-07
Subtype Historical Average,2017/2018,41,1 wk ahead,3.61044446590253e-07
Subtype Historical Average,2017/2018,42,1 wk ahead,3.61044446590253e-07
Subtype Historical Average,2017/2018,43,1 wk ahead,3.61044446590253e-07
Subtype Historical Average,2017/2018,44,1 wk ahead,3.61044446590253e-07
Dynamic Harmonic Model,2018/2019,40,1 wk ahead,0.999995843192611
Dynamic Harmonic Model,2018/2019,41,1 wk ahead,0.999995843192611
Dynamic Harmonic Model,2018/2019,42,1 wk ahead,0.999995843192611
Dynamic Harmonic Model,2018/2019,43,1 wk ahead,0.999995843192611
Dynamic Harmonic Model,2018/2019,44,1 wk ahead,0.999995843192611
Historical Average,2018/2019,40,1 wk ahead,3.168467322189e-06
Historical Average,2018/2019,41,1 wk ahead,3.168467322189e-06
Historical Average,2018/2019,42,1 wk ahead,3.168467322189e-06
Historical Average,2018/2019,43,1 wk ahead,3.168467322189e-06
Historical Average,2018/2019,44,1 wk ahead,3.168467322189e-06
Subtype Historical Average,2018/2019,40,1 wk ahead,9.88340066576401e-07
Subtype Historical Average,2018/2019,41,1 wk ahead,9.88340066576401e-07
Subtype Historical Average,2018/2019,42,1 wk ahead,9.88340066576401e-07
Subtype Historical Average,2018/2019,43,1 wk ahead,9.88340066576401e-07
Subtype Historical Average,2018/2019,44,1 wk ahead,9.88340066576401e-07
Dynamic Harmonic Model,2010/2011,45,1 wk ahead,0.999999551229291
Dynamic Harmonic Model,2010/2011,46,1 wk ahead,0.999999551229291
Dynamic Harmonic Model,2010/2011,47,1 wk ahead,0.999999551229291
Dynamic Harmonic Model,2010/2011,48,1 wk ahead,0.999999551229291
Historical Average,2010/2011,45,1 wk ahead,3.21340818891312e-07
Historical Average,2010/2011,46,1 wk ahead,3.21340818891312e-07
Historical Average,2010/2011,47,1 wk ahead,3.21340818891312e-07
Historical Average,2010/2011,48,1 wk ahead,3.21340818891312e-07
Subtype Historical Average,2010/2011,45,1 wk ahead,1.27429890319813e-07
Subtype Historical Average,2010/2011,46,1 wk ahead,1.27429890319813e-07
Subtype Historical Average,2010/2011,47,1 wk ahead,1.27429890319813e-07
Subtype Historical Average,2010/2011,48,1 wk ahead,1.27429890319813e-07
Dynamic Harmonic Model,2011/2012,45,1 wk ahead,0.987736008065209
Dynamic Harmonic Model,2011/2012,46,1 wk ahead,0.987736008065209
Dynamic Harmonic Model,2011/2012,47,1 wk ahead,0.987736008065209
Dynamic Harmonic Model,2011/2012,48,1 wk ahead,0.987736008065209
Historical Average,2011/2012,45,1 wk ahead,0.000239111964480612
Historical Average,2011/2012,46,1 wk ahead,0.000239111964480612
Historical Average,2011/2012,47,1 wk ahead,0.000239111964480612
Historical Average,2011/2012,48,1 wk ahead,0.000239111964480612
Subtype Historical Average,2011/2012,45,1 wk ahead,0.0120248799703103
Subtype Historical Average,2011/2012,46,1 wk ahead,0.0120248799703103
Subtype Historical Average,2011/2012,47,1 wk ahead,0.0120248799703103
Subtype Historical Average,2011/2012,48,1 wk ahead,0.0120248799703103
Dynamic Harmonic Model,2012/2013,45,1 wk ahead,0.988116250070659
Dynamic Harmonic Model,2012/2013,46,1 wk ahead,0.988116250070659
Dynamic Harmonic Model,2012/2013,47,1 wk ahead,0.988116250070659
Dynamic Harmonic Model,2012/2013,48,1 wk ahead,0.988116250070659
Historical Average,2012/2013,45,1 wk ahead,0.00191702016811352
Historical Average,2012/2013,46,1 wk ahead,0.00191702016811352
Historical Average,2012/2013,47,1 wk ahead,0.00191702016811352
Historical Average,2012/2013,48,1 wk ahead,0.00191702016811352
Subtype Historical Average,2012/2013,45,1 wk ahead,0.00996672976122716
Subtype Historical Average,2012/2013,46,1 wk ahead,0.00996672976122716
Subtype Historical Average,2012/2013,47,1 wk ahead,0.00996672976122716
Subtype Historical Average,2012/2013,48,1 wk ahead,0.00996672976122716
Dynamic Harmonic Model,2013/2014,45,1 wk ahead,0.988590611209526
Dynamic Harmonic Model,2013/2014,46,1 wk ahead,0.988590611209526
Dynamic Harmonic Model,2013/2014,47,1 wk ahead,0.988590611209526
Dynamic Harmonic Model,2013/2014,48,1 wk ahead,0.988590611209526
Historical Average,2013/2014,45,1 wk ahead,0.00215935930225498
Historical Average,2013/2014,46,1 wk ahead,0.00215935930225498
Historical Average,2013/2014,47,1 wk ahead,0.00215935930225498
Historical Average,2013/2014,48,1 wk ahead,0.00215935930225498
Subtype Historical Average,2013/2014,45,1 wk ahead,0.00925002948821906
Subtype Historical Average,2013/2014,46,1 wk ahead,0.00925002948821906
Subtype Historical Average,2013/2014,47,1 wk ahead,0.00925002948821906
Subtype Historical Average,2013/2014,48,1 wk ahead,0.00925002948821906
Dynamic Harmonic Model,2014/2015,45,1 wk ahead,0.990004436361141
Dynamic Harmonic Model,2014/2015,46,1 wk ahead,0.990004436361141
Dynamic Harmonic Model,2014/2015,47,1 wk ahead,0.990004436361141
Dynamic Harmonic Model,2014/2015,48,1 wk ahead,0.990004436361141
Historical Average,2014/2015,45,1 wk ahead,0.000108273408802986
Historical Average,2014/2015,46,1 wk ahead,0.000108273408802986
Historical Average,2014/2015,47,1 wk ahead,0.000108273408802986
Historical Average,2014/2015,48,1 wk ahead,0.000108273408802986
Subtype Historical Average,2014/2015,45,1 wk ahead,0.00988729023005619
Subtype Historical Average,2014/2015,46,1 wk ahead,0.00988729023005619
Subtype Historical Average,2014/2015,47,1 wk ahead,0.00988729023005619
Subtype Historical Average,2014/2015,48,1 wk ahead,0.00988729023005619
Dynamic Harmonic Model,2015/2016,45,1 wk ahead,0.990558890059123
Dynamic Harmonic Model,2015/2016,46,1 wk ahead,0.990558890059123
Dynamic Harmonic Model,2015/2016,47,1 wk ahead,0.990558890059123
Dynamic Harmonic Model,2015/2016,48,1 wk ahead,0.990558890059123
Historical Average,2015/2016,45,1 wk ahead,0.000130459867135306
Historical Average,2015/2016,46,1 wk ahead,0.000130459867135306
Historical Average,2015/2016,47,1 wk ahead,0.000130459867135306
Historical Average,2015/2016,48,1 wk ahead,0.000130459867135306
Subtype Historical Average,2015/2016,45,1 wk ahead,0.00931065007374198
Subtype Historical Average,2015/2016,46,1 wk ahead,0.00931065007374198
Subtype Historical Average,2015/2016,47,1 wk ahead,0.00931065007374198
Subtype Historical Average,2015/2016,48,1 wk ahead,0.00931065007374198
Dynamic Harmonic Model,2016/2017,45,1 wk ahead,0.988342330544259
Dynamic Harmonic Model,2016/2017,46,1 wk ahead,0.988342330544259
Dynamic Harmonic Model,2016/2017,47,1 wk ahead,0.988342330544259
Dynamic Harmonic Model,2016/2017,48,1 wk ahead,0.988342330544259
Historical Average,2016/2017,45,1 wk ahead,0.000317734383227558
Historical Average,2016/2017,46,1 wk ahead,0.000317734383227558
Historical Average,2016/2017,47,1 wk ahead,0.000317734383227558
Historical Average,2016/2017,48,1 wk ahead,0.000317734383227558
Subtype Historical Average,2016/2017,45,1 wk ahead,0.0113399350725131
Subtype Historical Average,2016/2017,46,1 wk ahead,0.0113399350725131
Subtype Historical Average,2016/2017,47,1 wk ahead,0.0113399350725131
Subtype Historical Average,2016/2017,48,1 wk ahead,0.0113399350725131
Dynamic Harmonic Model,2017/2018,45,1 wk ahead,0.987745526431425
Dynamic Harmonic Model,2017/2018,46,1 wk ahead,0.987745526431425
Dynamic Harmonic Model,2017/2018,47,1 wk ahead,0.987745526431425
Dynamic Harmonic Model,2017/2018,48,1 wk ahead,0.987745526431425
Historical Average,2017/2018,45,1 wk ahead,0.00212944168314318
Historical Average,2017/2018,46,1 wk ahead,0.00212944168314318
Historical Average,2017/2018,47,1 wk ahead,0.00212944168314318
Historical Average,2017/2018,48,1 wk ahead,0.00212944168314318
Subtype Historical Average,2017/2018,45,1 wk ahead,0.0101250318854322
Subtype Historical Average,2017/2018,46,1 wk ahead,0.0101250318854322
Subtype Historical Average,2017/2018,47,1 wk ahead,0.0101250318854322
Subtype Historical Average,2017/2018,48,1 wk ahead,0.0101250318854322
Dynamic Harmonic Model,2018/2019,45,1 wk ahead,0.987574942571585
Dynamic Harmonic Model,2018/2019,46,1 wk ahead,0.987574942571585
Dynamic Harmonic Model,2018/2019,47,1 wk ahead,0.987574942571585
Dynamic Harmonic Model,2018/2019,48,1 wk ahead,0.987574942571585
Historical Average,2018/2019,45,1 wk ahead,0.000187732662902707
Historical Average,2018/2019,46,1 wk ahead,0.000187732662902707
Historical Average,2018/2019,47,1 wk ahead,0.000187732662902707
Historical Average,2018/2019,48,1 wk ahead,0.000187732662902707
Subtype Historical Average,2018/2019,45,1 wk ahead,0.0122373247655123
Subtype Historical Average,2018/2019,46,1 wk ahead,0.0122373247655123
Subtype Historical Average,2018/2019,47,1 wk ahead,0.0122373247655123
Subtype Historical Average,2018/2019,48,1 wk ahead,0.0122373247655123
Dynamic Harmonic Model,2010/2011,49,1 wk ahead,0.953129768969469
Dynamic Harmonic Model,2010/2011,50,1 wk ahead,0.953129768969469
Dynamic Harmonic Model,2010/2011,51,1 wk ahead,0.953129768969469
Dynamic Harmonic Model,2010/2011,52,1 wk ahead,0.953129768969469
Historical Average,2010/2011,49,1 wk ahead,1.20351706499147e-05
Historical Average,2010/2011,50,1 wk ahead,1.20351706499147e-05
Historical Average,2010/2011,51,1 wk ahead,1.20351706499147e-05
Historical Average,2010/2011,52,1 wk ahead,1.20351706499147e-05
Subtype Historical Average,2010/2011,49,1 wk ahead,0.046858195859881
Subtype Historical Average,2010/2011,50,1 wk ahead,0.046858195859881
Subtype Historical Average,2010/2011,51,1 wk ahead,0.046858195859881
Subtype Historical Average,2010/2011,52,1 wk ahead,0.046858195859881
Dynamic Harmonic Model,2011/2012,49,1 wk ahead,0.951652049882377
Dynamic Harmonic Model,2011/2012,50,1 wk ahead,0.951652049882377
Dynamic Harmonic Model,2011/2012,51,1 wk ahead,0.951652049882377
Dynamic Harmonic Model,2011/2012,52,1 wk ahead,0.951652049882377
Historical Average,2011/2012,49,1 wk ahead,9.73636379587717e-06
Historical Average,2011/2012,50,1 wk ahead,9.73636379587717e-06
Historical Average,2011/2012,51,1 wk ahead,9.73636379587717e-06
Historical Average,2011/2012,52,1 wk ahead,9.73636379587717e-06
Subtype Historical Average,2011/2012,49,1 wk ahead,0.0483382137538276
Subtype Historical Average,2011/2012,50,1 wk ahead,0.0483382137538276
Subtype Historical Average,2011/2012,51,1 wk ahead,0.0483382137538276
Subtype Historical Average,2011/2012,52,1 wk ahead,0.0483382137538276
Dynamic Harmonic Model,2012/2013,49,1 wk ahead,0.958092508126608
Dynamic Harmonic Model,2012/2013,50,1 wk ahead,0.958092508126608
Dynamic Harmonic Model,2012/2013,51,1 wk ahead,0.958092508126608
Dynamic Harmonic Model,2012/2013,52,1 wk ahead,0.958092508126608
Historical Average,2012/2013,49,1 wk ahead,2.72174253987266e-05
Historical Average,2012/2013,50,1 wk ahead,2.72174253987266e-05
Historical Average,2012/2013,51,1 wk ahead,2.72174253987266e-05
Historical Average,2012/2013,52,1 wk ahead,2.72174253987266e-05
Subtype Historical Average,2012/2013,49,1 wk ahead,0.0418802744479934
Subtype Historical Average,2012/2013,50,1 wk ahead,0.0418802744479934
Subtype Historical Average,2012/2013,51,1 wk ahead,0.0418802744479934
Subtype Historical Average,2012/2013,52,1 wk ahead,0.0418802744479934
Dynamic Harmonic Model,2013/2014,49,1 wk ahead,0.962102348061615
Dynamic Harmonic Model,2013/2014,50,1 wk ahead,0.962102348061615
Dynamic Harmonic Model,2013/2014,51,1 wk ahead,0.962102348061615
Dynamic Harmonic Model,2013/2014,52,1 wk ahead,0.962102348061615
Historical Average,2013/2014,49,1 wk ahead,7.46249960938223e-06
Historical Average,2013/2014,50,1 wk ahead,7.46249960938223e-06
Historical Average,2013/2014,51,1 wk ahead,7.46249960938223e-06
Historical Average,2013/2014,52,1 wk ahead,7.46249960938223e-06
Subtype Historical Average,2013/2014,49,1 wk ahead,0.0378901894387754
Subtype Historical Average,2013/2014,50,1 wk ahead,0.0378901894387754
Subtype Historical Average,2013/2014,51,1 wk ahead,0.0378901894387754
Subtype Historical Average,2013/2014,52,1 wk ahead,0.0378901894387754
Dynamic Harmonic Model,2014/2015,49,1 wk ahead,0.965410177679935
Dynamic Harmonic Model,2014/2015,50,1 wk ahead,0.965410177679935
