component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2010/2011,40,Season onset,0.676223012397205
Dynamic Harmonic Model,2010/2011,41,Season onset,0.676223012397205
Dynamic Harmonic Model,2010/2011,42,Season onset,0.676223012397205
Dynamic Harmonic Model,2010/2011,43,Season onset,0.676223012397205
Dynamic Harmonic Model,2010/2011,44,Season onset,0.676223012397205
Dynamic Harmonic Model,2010/2011,40,Season peak week,0.676223012397205
Dynamic Harmonic Model,2010/2011,41,Season peak week,0.676223012397205
Dynamic Harmonic Model,2010/2011,42,Season peak week,0.676223012397205
Dynamic Harmonic Model,2010/2011,43,Season peak week,0.676223012397205
Dynamic Harmonic Model,2010/2011,44,Season peak week,0.676223012397205
Dynamic Harmonic Model,2010/2011,40,Season peak percentage,0.676223012397205
Dynamic Harmonic Model,2010/2011,41,Season peak percentage,0.676223012397205
Dynamic Harmonic Model,2010/2011,42,Season peak percentage,0.676223012397205
Dynamic Harmonic Model,2010/2011,43,Season peak percentage,0.676223012397205
Dynamic Harmonic Model,2010/2011,44,Season peak percentage,0.676223012397205
Historical Average,2010/2011,40,Season onset,1.89386606898955e-06
Historical Average,2010/2011,41,Season onset,1.89386606898955e-06
Historical Average,2010/2011,42,Season onset,1.89386606898955e-06
Historical Average,2010/2011,43,Season onset,1.89386606898955e-06
Historical Average,2010/2011,44,Season onset,1.89386606898955e-06
Historical Average,2010/2011,40,Season peak week,1.89386606898955e-06
Historical Average,2010/2011,41,Season peak week,1.89386606898955e-06
Historical Average,2010/2011,42,Season peak week,1.89386606898955e-06
Historical Average,2010/2011,43,Season peak week,1.89386606898955e-06
Historical Average,2010/2011,44,Season peak week,1.89386606898955e-06
Historical Average,2010/2011,40,Season peak percentage,1.89386606898955e-06
Historical Average,2010/2011,41,Season peak percentage,1.89386606898955e-06
Historical Average,2010/2011,42,Season peak percentage,1.89386606898955e-06
Historical Average,2010/2011,43,Season peak percentage,1.89386606898955e-06
Historical Average,2010/2011,44,Season peak percentage,1.89386606898955e-06
Subtype Historical Average,2010/2011,40,Season onset,0.323775093736726
Subtype Historical Average,2010/2011,41,Season onset,0.323775093736726
Subtype Historical Average,2010/2011,42,Season onset,0.323775093736726
Subtype Historical Average,2010/2011,43,Season onset,0.323775093736726
Subtype Historical Average,2010/2011,44,Season onset,0.323775093736726
Subtype Historical Average,2010/2011,40,Season peak week,0.323775093736726
Subtype Historical Average,2010/2011,41,Season peak week,0.323775093736726
Subtype Historical Average,2010/2011,42,Season peak week,0.323775093736726
Subtype Historical Average,2010/2011,43,Season peak week,0.323775093736726
Subtype Historical Average,2010/2011,44,Season peak week,0.323775093736726
Subtype Historical Average,2010/2011,40,Season peak percentage,0.323775093736726
Subtype Historical Average,2010/2011,41,Season peak percentage,0.323775093736726
Subtype Historical Average,2010/2011,42,Season peak percentage,0.323775093736726
Subtype Historical Average,2010/2011,43,Season peak percentage,0.323775093736726
