component_model_id,season,location,weight
Dynamic Harmonic Model,2010/2011,HHS Region 1,0.963896026070164
Historical Average,2010/2011,HHS Region 1,9.63719607479064e-07
Subtype Historical Average,2010/2011,HHS Region 1,0.0361030102102283
Dynamic Harmonic Model,2011/2012,HHS Region 1,0.976872074932836
Historical Average,2011/2012,HHS Region 1,5.84916387360384e-07
Subtype Historical Average,2011/2012,HHS Region 1,0.023127340150777
Dynamic Harmonic Model,2012/2013,HHS Region 1,0.96494428075806
Historical Average,2012/2013,HHS Region 1,1.17730874253726e-06
Subtype Historical Average,2012/2013,HHS Region 1,0.0350545419331974
Dynamic Harmonic Model,2013/2014,HHS Region 1,0.966584747993121
Historical Average,2013/2014,HHS Region 1,2.41069530007331e-06
Subtype Historical Average,2013/2014,HHS Region 1,0.0334128413115792
Dynamic Harmonic Model,2014/2015,HHS Region 1,0.977570126375456
Historical Average,2014/2015,HHS Region 1,2.61336236533803e-06
Subtype Historical Average,2014/2015,HHS Region 1,0.0224272602621786
Dynamic Harmonic Model,2015/2016,HHS Region 1,0.964109991076596
Historical Average,2015/2016,HHS Region 1,8.58872643458024e-07
Subtype Historical Average,2015/2016,HHS Region 1,0.0358891500507604
Dynamic Harmonic Model,2016/2017,HHS Region 1,0.960655407686372
Historical Average,2016/2017,HHS Region 1,9.99740793164576e-07
Subtype Historical Average,2016/2017,HHS Region 1,0.0393435925728349
Dynamic Harmonic Model,2017/2018,HHS Region 1,0.949232059608562
Historical Average,2017/2018,HHS Region 1,1.21049598327229e-06
Subtype Historical Average,2017/2018,HHS Region 1,0.0507667298954551
Dynamic Harmonic Model,2010/2011,HHS Region 10,0.988166446360693
Historical Average,2010/2011,HHS Region 10,4.46153829341573e-06
Subtype Historical Average,2010/2011,HHS Region 10,0.0118290921010135
Dynamic Harmonic Model,2011/2012,HHS Region 10,0.990184195821017
Historical Average,2011/2012,HHS Region 10,5.797739403554e-06
Subtype Historical Average,2011/2012,HHS Region 10,0.00981000643957985
Dynamic Harmonic Model,2012/2013,HHS Region 10,0.982043764394901
Historical Average,2012/2013,HHS Region 10,6.85945590298765e-06
Subtype Historical Average,2012/2013,HHS Region 10,0.0179493761491963
Dynamic Harmonic Model,2013/2014,HHS Region 10,0.985584217014608
Historical Average,2013/2014,HHS Region 10,2.13791341673773e-05
Subtype Historical Average,2013/2014,HHS Region 10,0.0143944038512251
Dynamic Harmonic Model,2014/2015,HHS Region 10,0.981396465158441
Historical Average,2014/2015,HHS Region 10,1.26160956186159e-05
Subtype Historical Average,2014/2015,HHS Region 10,0.0185909187459402
Dynamic Harmonic Model,2015/2016,HHS Region 10,0.980494341304305
Historical Average,2015/2016,HHS Region 10,5.17469485653551e-06
Subtype Historical Average,2015/2016,HHS Region 10,0.0195004840008382
Dynamic Harmonic Model,2016/2017,HHS Region 10,0.983824516939555
Historical Average,2016/2017,HHS Region 10,4.12929837509688e-06
Subtype Historical Average,2016/2017,HHS Region 10,0.0161713537620702
Dynamic Harmonic Model,2017/2018,HHS Region 10,0.980373646376564
Historical Average,2017/2018,HHS Region 10,4.52478393196003e-06
Subtype Historical Average,2017/2018,HHS Region 10,0.0196218288395036
Dynamic Harmonic Model,2010/2011,HHS Region 2,0.900628366709724
Historical Average,2010/2011,HHS Region 2,1.05105739212455e-06
Subtype Historical Average,2010/2011,HHS Region 2,0.0993705822328841
Dynamic Harmonic Model,2011/2012,HHS Region 2,0.896149079908856
Historical Average,2011/2012,HHS Region 2,8.53434611492732e-07
Subtype Historical Average,2011/2012,HHS Region 2,0.103850066656532
Dynamic Harmonic Model,2012/2013,HHS Region 2,0.889545166733424
Historical Average,2012/2013,HHS Region 2,9.8863398992858e-07
Subtype Historical Average,2012/2013,HHS Region 2,0.110453844632586
Dynamic Harmonic Model,2013/2014,HHS Region 2,0.893852216319983
Historical Average,2013/2014,HHS Region 2,2.06456927225258e-06
Subtype Historical Average,2013/2014,HHS Region 2,0.106145719110745
Dynamic Harmonic Model,2014/2015,HHS Region 2,0.906783920115352
Historical Average,2014/2015,HHS Region 2,1.46671415484277e-06
Subtype Historical Average,2014/2015,HHS Region 2,0.0932146131704928
Dynamic Harmonic Model,2015/2016,HHS Region 2,0.931706359866172
Historical Average,2015/2016,HHS Region 2,9.39994835265199e-07
Subtype Historical Average,2015/2016,HHS Region 2,0.0682927001389928
Dynamic Harmonic Model,2016/2017,HHS Region 2,0.882368936919967
Historical Average,2016/2017,HHS Region 2,8.14952141137925e-07
Subtype Historical Average,2016/2017,HHS Region 2,0.117630248127892
Dynamic Harmonic Model,2017/2018,HHS Region 2,0.878257894491277
Historical Average,2017/2018,HHS Region 2,9.20448475950009e-07
Subtype Historical Average,2017/2018,HHS Region 2,0.121741185060247
Dynamic Harmonic Model,2010/2011,HHS Region 3,0.921820906618145
Historical Average,2010/2011,HHS Region 3,8.54496760512222e-07
Subtype Historical Average,2010/2011,HHS Region 3,0.0781782388850944
Dynamic Harmonic Model,2011/2012,HHS Region 3,0.895511696949127
Historical Average,2011/2012,HHS Region 3,9.20517958961172e-07
Subtype Historical Average,2011/2012,HHS Region 3,0.104487382532914
Dynamic Harmonic Model,2012/2013,HHS Region 3,0.957381628168482
Historical Average,2012/2013,HHS Region 3,7.49839898995554e-07
Subtype Historical Average,2012/2013,HHS Region 3,0.0426176219916189
Dynamic Harmonic Model,2013/2014,HHS Region 3,0.929667974325935
Historical Average,2013/2014,HHS Region 3,1.01229553078584e-06
Subtype Historical Average,2013/2014,HHS Region 3,0.070331013378534
Dynamic Harmonic Model,2014/2015,HHS Region 3,0.970360785851199
Historical Average,2014/2015,HHS Region 3,5.77072440850333e-06
Subtype Historical Average,2014/2015,HHS Region 3,0.0296334434243929
Dynamic Harmonic Model,2015/2016,HHS Region 3,0.939115848497695
Historical Average,2015/2016,HHS Region 3,5.79854075798036e-07
Subtype Historical Average,2015/2016,HHS Region 3,0.0608835716482288
Dynamic Harmonic Model,2016/2017,HHS Region 3,0.924485269204587
Historical Average,2016/2017,HHS Region 3,7.0518619600641e-07
Subtype Historical Average,2016/2017,HHS Region 3,0.0755140256092172
Dynamic Harmonic Model,2017/2018,HHS Region 3,0.93964235761538
Historical Average,2017/2018,HHS Region 3,4.50481997877914e-07
Subtype Historical Average,2017/2018,HHS Region 3,0.0603571919026217
Dynamic Harmonic Model,2010/2011,HHS Region 4,0.931223491668404
Historical Average,2010/2011,HHS Region 4,1.60215490840704e-06
Subtype Historical Average,2010/2011,HHS Region 4,0.068774906176688
Dynamic Harmonic Model,2011/2012,HHS Region 4,0.930542193027848
Historical Average,2011/2012,HHS Region 4,1.66048284244732e-06
Subtype Historical Average,2011/2012,HHS Region 4,0.0694561464893095
Dynamic Harmonic Model,2012/2013,HHS Region 4,0.942958693814401
Historical Average,2012/2013,HHS Region 4,1.88247156869954e-06
Subtype Historical Average,2012/2013,HHS Region 4,0.0570394237140306
Dynamic Harmonic Model,2013/2014,HHS Region 4,0.938655511859026
Historical Average,2013/2014,HHS Region 4,4.19261086879243e-06
Subtype Historical Average,2013/2014,HHS Region 4,0.0613402955301055
Dynamic Harmonic Model,2014/2015,HHS Region 4,0.953655161587313
Historical Average,2014/2015,HHS Region 4,1.03399060701593e-05
Subtype Historical Average,2014/2015,HHS Region 4,0.0463344985066172
Dynamic Harmonic Model,2015/2016,HHS Region 4,0.977171204883473
Historical Average,2015/2016,HHS Region 4,6.48773716439579e-07
Subtype Historical Average,2015/2016,HHS Region 4,0.0228281463428109
Dynamic Harmonic Model,2016/2017,HHS Region 4,0.926133446902785
Historical Average,2016/2017,HHS Region 4,1.69906004731495e-06
Subtype Historical Average,2016/2017,HHS Region 4,0.073864854037168
Dynamic Harmonic Model,2017/2018,HHS Region 4,0.936397268076944
Historical Average,2017/2018,HHS Region 4,1.53297194977133e-06
Subtype Historical Average,2017/2018,HHS Region 4,0.0636011989511059
Dynamic Harmonic Model,2010/2011,HHS Region 5,0.848874153573672
Historical Average,2010/2011,HHS Region 5,8.10059694281115e-07
Subtype Historical Average,2010/2011,HHS Region 5,0.151125036366633
Dynamic Harmonic Model,2011/2012,HHS Region 5,0.853049278950482
Historical Average,2011/2012,HHS Region 5,4.4598080453544e-07
Subtype Historical Average,2011/2012,HHS Region 5,0.146950275068713
Dynamic Harmonic Model,2012/2013,HHS Region 5,0.837458448662159
Historical Average,2012/2013,HHS Region 5,1.03810281505371e-06
Subtype Historical Average,2012/2013,HHS Region 5,0.162540513235026
Dynamic Harmonic Model,2013/2014,HHS Region 5,0.875904460140426
Historical Average,2013/2014,HHS Region 5,1.95827095076892e-06
Subtype Historical Average,2013/2014,HHS Region 5,0.124093581588623
Dynamic Harmonic Model,2014/2015,HHS Region 5,0.890755622774215
Historical Average,2014/2015,HHS Region 5,7.7272114170579e-05
Subtype Historical Average,2014/2015,HHS Region 5,0.109167105111614
Dynamic Harmonic Model,2015/2016,HHS Region 5,0.851961877067752
Historical Average,2015/2016,HHS Region 5,9.36945499442885e-07
