component_model_id,season,location,target,weight
Dynamic Harmonic Model,2010/2011,HHS Region 1,1 wk ahead,0.999999958568223
Historical Average,2010/2011,HHS Region 1,1 wk ahead,1.00920441206968e-08
Subtype Historical Average,2010/2011,HHS Region 1,1 wk ahead,3.13397325111813e-08
Dynamic Harmonic Model,2011/2012,HHS Region 1,1 wk ahead,0.999999965492155
Historical Average,2011/2012,HHS Region 1,1 wk ahead,6.97692138102843e-09
Subtype Historical Average,2011/2012,HHS Region 1,1 wk ahead,2.75309234761615e-08
Dynamic Harmonic Model,2012/2013,HHS Region 1,1 wk ahead,0.999999964574593
Historical Average,2012/2013,HHS Region 1,1 wk ahead,8.87768435566934e-09
Subtype Historical Average,2012/2013,HHS Region 1,1 wk ahead,2.65477228939674e-08
Dynamic Harmonic Model,2013/2014,HHS Region 1,1 wk ahead,0.999999962043122
Historical Average,2013/2014,HHS Region 1,1 wk ahead,1.40061319856198e-08
Subtype Historical Average,2013/2014,HHS Region 1,1 wk ahead,2.39507464691307e-08
Dynamic Harmonic Model,2014/2015,HHS Region 1,1 wk ahead,0.9999999697328
Historical Average,2014/2015,HHS Region 1,1 wk ahead,9.53636239544164e-09
Subtype Historical Average,2014/2015,HHS Region 1,1 wk ahead,2.07308377433484e-08
Dynamic Harmonic Model,2015/2016,HHS Region 1,1 wk ahead,0.999999962775335
Historical Average,2015/2016,HHS Region 1,1 wk ahead,8.2171761568761e-09
Subtype Historical Average,2015/2016,HHS Region 1,1 wk ahead,2.90074891471442e-08
Dynamic Harmonic Model,2016/2017,HHS Region 1,1 wk ahead,0.999999953135036
Historical Average,2016/2017,HHS Region 1,1 wk ahead,1.09127031196663e-08
Subtype Historical Average,2016/2017,HHS Region 1,1 wk ahead,3.59522613644612e-08
Dynamic Harmonic Model,2017/2018,HHS Region 1,1 wk ahead,0.999999925371059
Historical Average,2017/2018,HHS Region 1,1 wk ahead,1.50794906583738e-08
Subtype Historical Average,2017/2018,HHS Region 1,1 wk ahead,5.95494504820915e-08
Dynamic Harmonic Model,2010/2011,HHS Region 10,1 wk ahead,0.999999931039501
