component_model_id,season,location,target,weight
Dynamic Harmonic Model,2010/2011,HHS Region 1,Season onset,0.938618253765073
Dynamic Harmonic Model,2010/2011,HHS Region 1,Season peak week,0.938618253765073
Dynamic Harmonic Model,2010/2011,HHS Region 1,Season peak percentage,0.938618253765073
Historical Average,2010/2011,HHS Region 1,Season onset,4.75289393350775e-07
Historical Average,2010/2011,HHS Region 1,Season peak week,4.75289393350775e-07
Historical Average,2010/2011,HHS Region 1,Season peak percentage,4.75289393350775e-07
Subtype Historical Average,2010/2011,HHS Region 1,Season onset,0.0613812709455334
Subtype Historical Average,2010/2011,HHS Region 1,Season peak week,0.0613812709455334
Subtype Historical Average,2010/2011,HHS Region 1,Season peak percentage,0.0613812709455334
Dynamic Harmonic Model,2011/2012,HHS Region 1,Season onset,0.958240613808756
Dynamic Harmonic Model,2011/2012,HHS Region 1,Season peak week,0.958240613808756
Dynamic Harmonic Model,2011/2012,HHS Region 1,Season peak percentage,0.958240613808756
Historical Average,2011/2012,HHS Region 1,Season onset,3.29931884975253e-07
Historical Average,2011/2012,HHS Region 1,Season peak week,3.29931884975253e-07
Historical Average,2011/2012,HHS Region 1,Season peak percentage,3.29931884975253e-07
Subtype Historical Average,2011/2012,HHS Region 1,Season onset,0.0417590562593592
Subtype Historical Average,2011/2012,HHS Region 1,Season peak week,0.0417590562593592
Subtype Historical Average,2011/2012,HHS Region 1,Season peak percentage,0.0417590562593592
Dynamic Harmonic Model,2012/2013,HHS Region 1,Season onset,0.937192570628799
Dynamic Harmonic Model,2012/2013,HHS Region 1,Season peak week,0.937192570628799
Dynamic Harmonic Model,2012/2013,HHS Region 1,Season peak percentage,0.937192570628799
Historical Average,2012/2013,HHS Region 1,Season onset,5.85405129030357e-07
Historical Average,2012/2013,HHS Region 1,Season peak week,5.85405129030357e-07
Historical Average,2012/2013,HHS Region 1,Season peak percentage,5.85405129030357e-07
Subtype Historical Average,2012/2013,HHS Region 1,Season onset,0.0628068439660721
Subtype Historical Average,2012/2013,HHS Region 1,Season peak week,0.0628068439660721
Subtype Historical Average,2012/2013,HHS Region 1,Season peak percentage,0.0628068439660721
Dynamic Harmonic Model,2013/2014,HHS Region 1,Season onset,0.939606755827211
Dynamic Harmonic Model,2013/2014,HHS Region 1,Season peak week,0.939606755827211
Dynamic Harmonic Model,2013/2014,HHS Region 1,Season peak percentage,0.939606755827211
Historical Average,2013/2014,HHS Region 1,Season onset,1.11346246904327e-06
Historical Average,2013/2014,HHS Region 1,Season peak week,1.11346246904327e-06
Historical Average,2013/2014,HHS Region 1,Season peak percentage,1.11346246904327e-06
Subtype Historical Average,2013/2014,HHS Region 1,Season onset,0.0603921307103204
Subtype Historical Average,2013/2014,HHS Region 1,Season peak week,0.0603921307103204
Subtype Historical Average,2013/2014,HHS Region 1,Season peak percentage,0.0603921307103204
Dynamic Harmonic Model,2014/2015,HHS Region 1,Season onset,0.957637134758837
Dynamic Harmonic Model,2014/2015,HHS Region 1,Season peak week,0.957637134758837
Dynamic Harmonic Model,2014/2015,HHS Region 1,Season peak percentage,0.957637134758837
Historical Average,2014/2015,HHS Region 1,Season onset,1.81631159186469e-06
Historical Average,2014/2015,HHS Region 1,Season peak week,1.81631159186469e-06
Historical Average,2014/2015,HHS Region 1,Season peak percentage,1.81631159186469e-06
