component_model_id,season,target,weight
Dynamic Harmonic Model,2010/2011,1 wk ahead,0.995151890862314
Historical Average,2010/2011,1 wk ahead,3.7979802286967e-07
Subtype Historical Average,2010/2011,1 wk ahead,0.00484772933966332
Dynamic Harmonic Model,2011/2012,1 wk ahead,0.994491476670297
Historical Average,2011/2012,1 wk ahead,3.37906807436302e-07
Subtype Historical Average,2011/2012,1 wk ahead,0.00550818542289579
Dynamic Harmonic Model,2012/2013,1 wk ahead,0.999999853700074
Historical Average,2012/2013,1 wk ahead,4.67640077773593e-10
Subtype Historical Average,2012/2013,1 wk ahead,1.45832285906209e-07
Dynamic Harmonic Model,2013/2014,1 wk ahead,0.995286009441738
Historical Average,2013/2014,1 wk ahead,5.36781374931405e-07
Subtype Historical Average,2013/2014,1 wk ahead,0.0047134537768872
Dynamic Harmonic Model,2014/2015,1 wk ahead,0.99582199870842
Historical Average,2014/2015,1 wk ahead,5.70089326158631e-07
Subtype Historical Average,2014/2015,1 wk ahead,0.00417743120225393
Dynamic Harmonic Model,2015/2016,1 wk ahead,0.995007784849361
Historical Average,2015/2016,1 wk ahead,3.2014888294678e-07
Subtype Historical Average,2015/2016,1 wk ahead,0.00499189500175586
Dynamic Harmonic Model,2016/2017,1 wk ahead,0.994268321598776
Historical Average,2016/2017,1 wk ahead,3.7058603786133e-07
Subtype Historical Average,2016/2017,1 wk ahead,0.00573130781518586
Dynamic Harmonic Model,2017/2018,1 wk ahead,0.993684643478645
Historical Average,2017/2018,1 wk ahead,3.68723813069019e-07
Subtype Historical Average,2017/2018,1 wk ahead,0.00631498779754186
Dynamic Harmonic Model,2010/2011,2 wk ahead,0.971234300944099
Historical Average,2010/2011,2 wk ahead,5.93946785121759e-07
Subtype Historical Average,2010/2011,2 wk ahead,0.0287651051091162
Dynamic Harmonic Model,2011/2012,2 wk ahead,0.964133834956348
Historical Average,2011/2012,2 wk ahead,5.7067350457968e-07
Subtype Historical Average,2011/2012,2 wk ahead,0.0358655943701479
Dynamic Harmonic Model,2012/2013,2 wk ahead,0.975433464814952
Historical Average,2012/2013,2 wk ahead,6.44887620755359e-07
Subtype Historical Average,2012/2013,2 wk ahead,0.0245658902974268
Dynamic Harmonic Model,2013/2014,2 wk ahead,0.982520160863033
Historical Average,2013/2014,2 wk ahead,9.72401478208885e-07
Subtype Historical Average,2013/2014,2 wk ahead,0.0174788667354889
Dynamic Harmonic Model,2014/2015,2 wk ahead,0.987699459087009
Historical Average,2014/2015,2 wk ahead,1.44582145528232e-06
Subtype Historical Average,2014/2015,2 wk ahead,0.012299095091536
Dynamic Harmonic Model,2015/2016,2 wk ahead,0.971602656066207
Historical Average,2015/2016,2 wk ahead,5.10804483996433e-07
Subtype Historical Average,2015/2016,2 wk ahead,0.0283968331293093
Dynamic Harmonic Model,2016/2017,2 wk ahead,0.96772890974249
Historical Average,2016/2017,2 wk ahead,5.92615977476707e-07
Subtype Historical Average,2016/2017,2 wk ahead,0.0322704976415321
Dynamic Harmonic Model,2017/2018,2 wk ahead,0.974517528613077
Historical Average,2017/2018,2 wk ahead,4.52178113159463e-07
Subtype Historical Average,2017/2018,2 wk ahead,0.02548201920881
Dynamic Harmonic Model,2010/2011,3 wk ahead,0.930319873672647
