component_model_id,season,target,weight
Dynamic Harmonic Model,2010/2011,Season onset,0.796347061536879
Dynamic Harmonic Model,2010/2011,Season peak week,0.796347061536879
Dynamic Harmonic Model,2010/2011,Season peak percentage,0.796347061536879
Historical Average,2010/2011,Season onset,4.54925495716355e-05
Historical Average,2010/2011,Season peak week,4.54925495716355e-05
Historical Average,2010/2011,Season peak percentage,4.54925495716355e-05
Subtype Historical Average,2010/2011,Season onset,0.203607445913549
Subtype Historical Average,2010/2011,Season peak week,0.203607445913549
Subtype Historical Average,2010/2011,Season peak percentage,0.203607445913549
Dynamic Harmonic Model,2011/2012,Season onset,0.765752303321149
Dynamic Harmonic Model,2011/2012,Season peak week,0.765752303321149
Dynamic Harmonic Model,2011/2012,Season peak percentage,0.765752303321149
Historical Average,2011/2012,Season onset,4.9768097636924e-05
Historical Average,2011/2012,Season peak week,4.9768097636924e-05
Historical Average,2011/2012,Season peak percentage,4.9768097636924e-05
Subtype Historical Average,2011/2012,Season onset,0.234197928581214
Subtype Historical Average,2011/2012,Season peak week,0.234197928581214
Subtype Historical Average,2011/2012,Season peak percentage,0.234197928581214
Dynamic Harmonic Model,2012/2013,Season onset,0.796640208621301
Dynamic Harmonic Model,2012/2013,Season peak week,0.796640208621301
Dynamic Harmonic Model,2012/2013,Season peak percentage,0.796640208621301
Historical Average,2012/2013,Season onset,0.000178410388907543
Historical Average,2012/2013,Season peak week,0.000178410388907543
Historical Average,2012/2013,Season peak percentage,0.000178410388907543
Subtype Historical Average,2012/2013,Season onset,0.203181380989791
Subtype Historical Average,2012/2013,Season peak week,0.203181380989791
Subtype Historical Average,2012/2013,Season peak percentage,0.203181380989791
Dynamic Harmonic Model,2013/2014,Season onset,0.792710343000822
Dynamic Harmonic Model,2013/2014,Season peak week,0.792710343000822
Dynamic Harmonic Model,2013/2014,Season peak percentage,0.792710343000822
Historical Average,2013/2014,Season onset,4.09559213504987e-05
Historical Average,2013/2014,Season peak week,4.09559213504987e-05
Historical Average,2013/2014,Season peak percentage,4.09559213504987e-05
Subtype Historical Average,2013/2014,Season onset,0.207248701077828
Subtype Historical Average,2013/2014,Season peak week,0.207248701077828
Subtype Historical Average,2013/2014,Season peak percentage,0.207248701077828
Dynamic Harmonic Model,2014/2015,Season onset,0.798188518901554
Dynamic Harmonic Model,2014/2015,Season peak week,0.798188518901554
Dynamic Harmonic Model,2014/2015,Season peak percentage,0.798188518901554
Historical Average,2014/2015,Season onset,0.000176935642680142
Historical Average,2014/2015,Season peak week,0.000176935642680142
Historical Average,2014/2015,Season peak percentage,0.000176935642680142
Subtype Historical Average,2014/2015,Season onset,0.201634545455766
Subtype Historical Average,2014/2015,Season peak week,0.201634545455766
Subtype Historical Average,2014/2015,Season peak percentage,0.201634545455766
Dynamic Harmonic Model,2015/2016,Season onset,0.801096766782739
Dynamic Harmonic Model,2015/2016,Season peak week,0.801096766782739
Dynamic Harmonic Model,2015/2016,Season peak percentage,0.801096766782739
Historical Average,2015/2016,Season onset,0.000572035519815584
Historical Average,2015/2016,Season peak week,0.000572035519815584
Historical Average,2015/2016,Season peak percentage,0.000572035519815584
Subtype Historical Average,2015/2016,Season onset,0.198331197697446
Subtype Historical Average,2015/2016,Season peak week,0.198331197697446
Subtype Historical Average,2015/2016,Season peak percentage,0.198331197697446
Dynamic Harmonic Model,2016/2017,Season onset,0.793622107842571
Dynamic Harmonic Model,2016/2017,Season peak week,0.793622107842571
Dynamic Harmonic Model,2016/2017,Season peak percentage,0.793622107842571
Historical Average,2016/2017,Season onset,0.00012158481467027
Historical Average,2016/2017,Season peak week,0.00012158481467027
Historical Average,2016/2017,Season peak percentage,0.00012158481467027
Subtype Historical Average,2016/2017,Season onset,0.206256307342758
Subtype Historical Average,2016/2017,Season peak week,0.206256307342758
Subtype Historical Average,2016/2017,Season peak percentage,0.206256307342758
Dynamic Harmonic Model,2017/2018,Season onset,0.79045795120407
Dynamic Harmonic Model,2017/2018,Season peak week,0.79045795120407
Dynamic Harmonic Model,2017/2018,Season peak percentage,0.79045795120407
Historical Average,2017/2018,Season onset,0.000261278430459175
Historical Average,2017/2018,Season peak week,0.000261278430459175
Historical Average,2017/2018,Season peak percentage,0.000261278430459175
