component_model_id,season,Model Week,weight
Historical Average,2010/2011,40,0.11484463510919
Subtype Historical Average,2010/2011,40,0.88515536489081
Historical Average,2011/2012,40,0.139780394283967
Subtype Historical Average,2011/2012,40,0.860219605716033
Historical Average,2012/2013,40,0.145315078023602
Subtype Historical Average,2012/2013,40,0.854684921976398
Historical Average,2013/2014,40,0.454667504038344
Subtype Historical Average,2013/2014,40,0.545332495961656
Historical Average,2014/2015,40,0.331934098124115
Subtype Historical Average,2014/2015,40,0.668065901875885
Historical Average,2015/2016,40,0.138266361024264
Subtype Historical Average,2015/2016,40,0.861733638975736
Historical Average,2016/2017,40,0.1364891244532
Subtype Historical Average,2016/2017,40,0.8635108755468
Historical Average,2017/2018,40,8.08190881774427e-06
Subtype Historical Average,2017/2018,40,0.999991918091182
Historical Average,2010/2011,41,0.123465449306799
Subtype Historical Average,2010/2011,41,0.876534550693201
Historical Average,2011/2012,41,0.141296183196563
Subtype Historical Average,2011/2012,41,0.858703816803437
Historical Average,2012/2013,41,0.158546903563339
Subtype Historical Average,2012/2013,41,0.841453096436661
Historical Average,2013/2014,41,0.4656527167113
Subtype Historical Average,2013/2014,41,0.5343472832887
Historical Average,2014/2015,41,0.376668068818038
Subtype Historical Average,2014/2015,41,0.623331931181962
Historical Average,2015/2016,41,0.145226136286671
Subtype Historical Average,2015/2016,41,0.854773863713329
Historical Average,2016/2017,41,0.143189371126779
Subtype Historical Average,2016/2017,41,0.856810628873221
Historical Average,2017/2018,41,8.106349487711e-06
Subtype Historical Average,2017/2018,41,0.999991893650512
Historical Average,2010/2011,42,0.125052530228864
Subtype Historical Average,2010/2011,42,0.874947469771136
Historical Average,2011/2012,42,0.129516986585202
Subtype Historical Average,2011/2012,42,0.870483013414798
Historical Average,2012/2013,42,0.159926915958374
Subtype Historical Average,2012/2013,42,0.840073084041627
Historical Average,2013/2014,42,0.419145939683526
Subtype Historical Average,2013/2014,42,0.580854060316474
Historical Average,2014/2015,42,0.352493894759283
Subtype Historical Average,2014/2015,42,0.647506105240717
Historical Average,2015/2016,42,0.136124866474909
Subtype Historical Average,2015/2016,42,0.863875133525091
Historical Average,2016/2017,42,0.132685836785019
Subtype Historical Average,2016/2017,42,0.867314163214981
Historical Average,2017/2018,42,7.35273009131722e-06
Subtype Historical Average,2017/2018,42,0.999992647269909
Historical Average,2010/2011,43,0.13295749846222
Subtype Historical Average,2010/2011,43,0.86704250153778
Historical Average,2011/2012,43,0.144660841445158
Subtype Historical Average,2011/2012,43,0.855339158554842
Historical Average,2012/2013,43,0.174652969116867
Subtype Historical Average,2012/2013,43,0.825347030883133
Historical Average,2013/2014,43,0.516471681134119
Subtype Historical Average,2013/2014,43,0.483528318865881
Historical Average,2014/2015,43,0.407992362510107
Subtype Historical Average,2014/2015,43,0.592007637489893
Historical Average,2015/2016,43,0.15908619537576
Subtype Historical Average,2015/2016,43,0.84091380462424
Historical Average,2016/2017,43,0.152502453433917
Subtype Historical Average,2016/2017,43,0.847497546566083
Historical Average,2017/2018,43,8.23097132988355e-06
Subtype Historical Average,2017/2018,43,0.99999176902867
Historical Average,2010/2011,44,0.149186993306999
Subtype Historical Average,2010/2011,44,0.850813006693001
Historical Average,2011/2012,44,0.138890284901935
Subtype Historical Average,2011/2012,44,0.861109715098065
Historical Average,2012/2013,44,0.208349160294946
Subtype Historical Average,2012/2013,44,0.791650839705054
Historical Average,2013/2014,44,0.578673690668088
Subtype Historical Average,2013/2014,44,0.421326309331912
Historical Average,2014/2015,44,0.541434243636186
Subtype Historical Average,2014/2015,44,0.458565756363814
Historical Average,2015/2016,44,0.19795000341775
Subtype Historical Average,2015/2016,44,0.80204999658225
Historical Average,2016/2017,44,0.186240065204394
Subtype Historical Average,2016/2017,44,0.813759934795606
Historical Average,2017/2018,44,1.04027337644778e-05
Subtype Historical Average,2017/2018,44,0.999989597266235
Historical Average,2010/2011,45,0.171024456064405
Subtype Historical Average,2010/2011,45,0.828975543935595
Historical Average,2011/2012,45,0.164347427408082
Subtype Historical Average,2011/2012,45,0.835652572591918
Historical Average,2012/2013,45,0.205461636710561
Subtype Historical Average,2012/2013,45,0.794538363289439
Historical Average,2013/2014,45,0.654062686416573
Subtype Historical Average,2013/2014,45,0.345937313583427
Historical Average,2014/2015,45,0.597044369833396
Subtype Historical Average,2014/2015,45,0.402955630166604
Historical Average,2015/2016,45,0.240650812818293
Subtype Historical Average,2015/2016,45,0.759349187181708
Historical Average,2016/2017,45,0.224636709713402
Subtype Historical Average,2016/2017,45,0.775363290286598
Historical Average,2017/2018,45,1.59911797438902e-05
Subtype Historical Average,2017/2018,45,0.999984008820256
Historical Average,2010/2011,46,0.173077666667462
Subtype Historical Average,2010/2011,46,0.826922333332538
