component_model_id,season,Model Week,location,weight
Dynamic Harmonic Model,2010/2011,40,HHS Region 1,0.825930491681327
Historical Average,2010/2011,40,HHS Region 1,3.49254299877969e-06
Subtype Historical Average,2010/2011,40,HHS Region 1,0.174066015775675
Dynamic Harmonic Model,2011/2012,40,HHS Region 1,0.435657839029207
Historical Average,2011/2012,40,HHS Region 1,3.53111621047426e-06
Subtype Historical Average,2011/2012,40,HHS Region 1,0.564338629854583
Dynamic Harmonic Model,2012/2013,40,HHS Region 1,0.698437504609896
Historical Average,2012/2013,40,HHS Region 1,3.84751238029427e-06
Subtype Historical Average,2012/2013,40,HHS Region 1,0.301558647877724
Dynamic Harmonic Model,2013/2014,40,HHS Region 1,0.774809149838854
Historical Average,2013/2014,40,HHS Region 1,5.09463253366856e-06
Subtype Historical Average,2013/2014,40,HHS Region 1,0.225185755528612
Dynamic Harmonic Model,2014/2015,40,HHS Region 1,0.911083312229362
Historical Average,2014/2015,40,HHS Region 1,7.11643186665754e-06
Subtype Historical Average,2014/2015,40,HHS Region 1,0.0889095713387718
Dynamic Harmonic Model,2015/2016,40,HHS Region 1,0.750703914698564
Historical Average,2015/2016,40,HHS Region 1,2.88042001284722e-06
Subtype Historical Average,2015/2016,40,HHS Region 1,0.249293204881423
Dynamic Harmonic Model,2016/2017,40,HHS Region 1,0.645129334625741
Historical Average,2016/2017,40,HHS Region 1,3.53456504499724e-06
Subtype Historical Average,2016/2017,40,HHS Region 1,0.354867130809214
Dynamic Harmonic Model,2017/2018,40,HHS Region 1,0.524377455368766
Historical Average,2017/2018,40,HHS Region 1,3.22329750454884e-06
Subtype Historical Average,2017/2018,40,HHS Region 1,0.475619321333729
Dynamic Harmonic Model,2010/2011,41,HHS Region 1,0.999953025049587
Historical Average,2010/2011,41,HHS Region 1,1.23654686327263e-13
Subtype Historical Average,2010/2011,41,HHS Region 1,4.69749502891491e-05
Dynamic Harmonic Model,2011/2012,41,HHS Region 1,0.686217335780132
Historical Average,2011/2012,41,HHS Region 1,5.35644185901943e-06
Subtype Historical Average,2011/2012,41,HHS Region 1,0.313777307778009
Dynamic Harmonic Model,2012/2013,41,HHS Region 1,0.850015481370288
Historical Average,2012/2013,41,HHS Region 1,8.29444441701818e-06
Subtype Historical Average,2012/2013,41,HHS Region 1,0.149976224185295
