component_model_id,season,Model Week,location,target,weight
Historical Average,2010/2011,40,HHS Region 1,1 wk ahead,7.95680312228766e-05
Subtype Historical Average,2010/2011,40,HHS Region 1,1 wk ahead,0.999920431968777
Historical Average,2011/2012,40,HHS Region 1,1 wk ahead,4.8179950367596e-05
Subtype Historical Average,2011/2012,40,HHS Region 1,1 wk ahead,0.999951820049632
Historical Average,2012/2013,40,HHS Region 1,1 wk ahead,2.58278959108097e-05
Subtype Historical Average,2012/2013,40,HHS Region 1,1 wk ahead,0.999974172104089
Historical Average,2013/2014,40,HHS Region 1,1 wk ahead,0.000108236149681703
Subtype Historical Average,2013/2014,40,HHS Region 1,1 wk ahead,0.999891763850318
Historical Average,2014/2015,40,HHS Region 1,1 wk ahead,8.84512174238769e-05
Subtype Historical Average,2014/2015,40,HHS Region 1,1 wk ahead,0.999911548782576
Historical Average,2015/2016,40,HHS Region 1,1 wk ahead,5.70040287565091e-05
Subtype Historical Average,2015/2016,40,HHS Region 1,1 wk ahead,0.999942995971243
Historical Average,2016/2017,40,HHS Region 1,1 wk ahead,5.49795227880654e-05
Subtype Historical Average,2016/2017,40,HHS Region 1,1 wk ahead,0.999945020477212
Historical Average,2017/2018,40,HHS Region 1,1 wk ahead,5.34178970200753e-05
Subtype Historical Average,2017/2018,40,HHS Region 1,1 wk ahead,0.99994658210298
Historical Average,2010/2011,41,HHS Region 1,1 wk ahead,0.428910866876303
Subtype Historical Average,2010/2011,41,HHS Region 1,1 wk ahead,0.571089133123697
Historical Average,2011/2012,41,HHS Region 1,1 wk ahead,0.257686024060399
Subtype Historical Average,2011/2012,41,HHS Region 1,1 wk ahead,0.742313975939601
Historical Average,2012/2013,41,HHS Region 1,1 wk ahead,0.000339042331591191
Subtype Historical Average,2012/2013,41,HHS Region 1,1 wk ahead,0.999660957668409
Historical Average,2013/2014,41,HHS Region 1,1 wk ahead,4.11058859052002e-05
Subtype Historical Average,2013/2014,41,HHS Region 1,1 wk ahead,0.999958894114095
Historical Average,2014/2015,41,HHS Region 1,1 wk ahead,0.999875256522237
Subtype Historical Average,2014/2015,41,HHS Region 1,1 wk ahead,0.000124743477762798
Historical Average,2015/2016,41,HHS Region 1,1 wk ahead,0.0993073803397319
Subtype Historical Average,2015/2016,41,HHS Region 1,1 wk ahead,0.900692619660268
Historical Average,2016/2017,41,HHS Region 1,1 wk ahead,0.193252273381612
Subtype Historical Average,2016/2017,41,HHS Region 1,1 wk ahead,0.806747726618388
Historical Average,2017/2018,41,HHS Region 1,1 wk ahead,0.0131453821254589
Subtype Historical Average,2017/2018,41,HHS Region 1,1 wk ahead,0.986854617874541
Historical Average,2010/2011,42,HHS Region 1,1 wk ahead,0.00827392334406288
Subtype Historical Average,2010/2011,42,HHS Region 1,1 wk ahead,0.991726076655937
Historical Average,2011/2012,42,HHS Region 1,1 wk ahead,0.0125027085905662
Subtype Historical Average,2011/2012,42,HHS Region 1,1 wk ahead,0.987497291409434
Historical Average,2012/2013,42,HHS Region 1,1 wk ahead,0.0031004230170927
Subtype Historical Average,2012/2013,42,HHS Region 1,1 wk ahead,0.996899576982907
Historical Average,2013/2014,42,HHS Region 1,1 wk ahead,0.993856233902375
Subtype Historical Average,2013/2014,42,HHS Region 1,1 wk ahead,0.00614376609762476
Historical Average,2014/2015,42,HHS Region 1,1 wk ahead,0.981234675582455
Subtype Historical Average,2014/2015,42,HHS Region 1,1 wk ahead,0.0187653244175448
Historical Average,2015/2016,42,HHS Region 1,1 wk ahead,0.00361847882490338
Subtype Historical Average,2015/2016,42,HHS Region 1,1 wk ahead,0.996381521175097
Historical Average,2016/2017,42,HHS Region 1,1 wk ahead,0.0149781759805766
