component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2010/2011,40,Season onset,0.658201619966864
Dynamic Harmonic Model,2010/2011,40,Season peak week,0.658201619966864
Dynamic Harmonic Model,2010/2011,40,Season peak percentage,0.658201619966864
Historical Average,2010/2011,40,Season onset,2.05635301515019e-06
Historical Average,2010/2011,40,Season peak week,2.05635301515019e-06
Historical Average,2010/2011,40,Season peak percentage,2.05635301515019e-06
Subtype Historical Average,2010/2011,40,Season onset,0.34179632368012
Subtype Historical Average,2010/2011,40,Season peak week,0.34179632368012
Subtype Historical Average,2010/2011,40,Season peak percentage,0.34179632368012
Dynamic Harmonic Model,2011/2012,40,Season onset,0.501364278095398
Dynamic Harmonic Model,2011/2012,40,Season peak week,0.501364278095398
Dynamic Harmonic Model,2011/2012,40,Season peak percentage,0.501364278095398
Historical Average,2011/2012,40,Season onset,2.38112894743082e-06
Historical Average,2011/2012,40,Season peak week,2.38112894743082e-06
Historical Average,2011/2012,40,Season peak percentage,2.38112894743082e-06
Subtype Historical Average,2011/2012,40,Season onset,0.498633340775654
Subtype Historical Average,2011/2012,40,Season peak week,0.498633340775654
Subtype Historical Average,2011/2012,40,Season peak percentage,0.498633340775654
Dynamic Harmonic Model,2012/2013,40,Season onset,0.676576870019235
Dynamic Harmonic Model,2012/2013,40,Season peak week,0.676576870019235
Dynamic Harmonic Model,2012/2013,40,Season peak percentage,0.676576870019235
Historical Average,2012/2013,40,Season onset,2.44501958873267e-06
Historical Average,2012/2013,40,Season peak week,2.44501958873267e-06
Historical Average,2012/2013,40,Season peak percentage,2.44501958873267e-06
Subtype Historical Average,2012/2013,40,Season onset,0.323420684961176
Subtype Historical Average,2012/2013,40,Season peak week,0.323420684961176
Subtype Historical Average,2012/2013,40,Season peak percentage,0.323420684961176
Dynamic Harmonic Model,2013/2014,40,Season onset,0.667337290529954
Dynamic Harmonic Model,2013/2014,40,Season peak week,0.667337290529954
Dynamic Harmonic Model,2013/2014,40,Season peak percentage,0.667337290529954
Historical Average,2013/2014,40,Season onset,5.69665274964346e-06
Historical Average,2013/2014,40,Season peak week,5.69665274964346e-06
Historical Average,2013/2014,40,Season peak percentage,5.69665274964346e-06
Subtype Historical Average,2013/2014,40,Season onset,0.332657012817296
Subtype Historical Average,2013/2014,40,Season peak week,0.332657012817296
Subtype Historical Average,2013/2014,40,Season peak percentage,0.332657012817296
Dynamic Harmonic Model,2014/2015,40,Season onset,0.74050746095447
Dynamic Harmonic Model,2014/2015,40,Season peak week,0.74050746095447
Dynamic Harmonic Model,2014/2015,40,Season peak percentage,0.74050746095447
Historical Average,2014/2015,40,Season onset,5.63028670491015e-06
Historical Average,2014/2015,40,Season peak week,5.63028670491015e-06
Historical Average,2014/2015,40,Season peak percentage,5.63028670491015e-06
Subtype Historical Average,2014/2015,40,Season onset,0.259486908758825
Subtype Historical Average,2014/2015,40,Season peak week,0.259486908758825
Subtype Historical Average,2014/2015,40,Season peak percentage,0.259486908758825
Dynamic Harmonic Model,2015/2016,40,Season onset,0.721395041677333
Dynamic Harmonic Model,2015/2016,40,Season peak week,0.721395041677333
Dynamic Harmonic Model,2015/2016,40,Season peak percentage,0.721395041677333
Historical Average,2015/2016,40,Season onset,2.09617291039676e-06
Historical Average,2015/2016,40,Season peak week,2.09617291039676e-06
Historical Average,2015/2016,40,Season peak percentage,2.09617291039676e-06
Subtype Historical Average,2015/2016,40,Season onset,0.278602862149757
Subtype Historical Average,2015/2016,40,Season peak week,0.278602862149757
Subtype Historical Average,2015/2016,40,Season peak percentage,0.278602862149757
Dynamic Harmonic Model,2016/2017,40,Season onset,0.61643180292035
Dynamic Harmonic Model,2016/2017,40,Season peak week,0.61643180292035
Dynamic Harmonic Model,2016/2017,40,Season peak percentage,0.61643180292035
Historical Average,2016/2017,40,Season onset,2.13256011325518e-06
Historical Average,2016/2017,40,Season peak week,2.13256011325518e-06
Historical Average,2016/2017,40,Season peak percentage,2.13256011325518e-06
Subtype Historical Average,2016/2017,40,Season onset,0.383566064519537
Subtype Historical Average,2016/2017,40,Season peak week,0.383566064519537
Subtype Historical Average,2016/2017,40,Season peak percentage,0.383566064519537
Dynamic Harmonic Model,2017/2018,40,Season onset,0.604017441191534
Dynamic Harmonic Model,2017/2018,40,Season peak week,0.604017441191534
Dynamic Harmonic Model,2017/2018,40,Season peak percentage,0.604017441191534
Historical Average,2017/2018,40,Season onset,1.91221029770637e-06
Historical Average,2017/2018,40,Season peak week,1.91221029770637e-06
Historical Average,2017/2018,40,Season peak percentage,1.91221029770637e-06
Subtype Historical Average,2017/2018,40,Season onset,0.395980646598168
Subtype Historical Average,2017/2018,40,Season peak week,0.395980646598168
Subtype Historical Average,2017/2018,40,Season peak percentage,0.395980646598168
Dynamic Harmonic Model,2010/2011,41,Season onset,0.686929326154988
Dynamic Harmonic Model,2010/2011,41,Season peak week,0.686929326154988
Dynamic Harmonic Model,2010/2011,41,Season peak percentage,0.686929326154988
Historical Average,2010/2011,41,Season onset,2.36713678673564e-06
Historical Average,2010/2011,41,Season peak week,2.36713678673564e-06
Historical Average,2010/2011,41,Season peak percentage,2.36713678673564e-06
Subtype Historical Average,2010/2011,41,Season onset,0.313068306708226
Subtype Historical Average,2010/2011,41,Season peak week,0.313068306708226
Subtype Historical Average,2010/2011,41,Season peak percentage,0.313068306708226
Dynamic Harmonic Model,2011/2012,41,Season onset,0.531884715131131
Dynamic Harmonic Model,2011/2012,41,Season peak week,0.531884715131131
Dynamic Harmonic Model,2011/2012,41,Season peak percentage,0.531884715131131
Historical Average,2011/2012,41,Season onset,2.4187851729145e-06
Historical Average,2011/2012,41,Season peak week,2.4187851729145e-06
Historical Average,2011/2012,41,Season peak percentage,2.4187851729145e-06
Subtype Historical Average,2011/2012,41,Season onset,0.468112866083696
Subtype Historical Average,2011/2012,41,Season peak week,0.468112866083696
Subtype Historical Average,2011/2012,41,Season peak percentage,0.468112866083696
Dynamic Harmonic Model,2012/2013,41,Season onset,0.71389691821526
Dynamic Harmonic Model,2012/2013,41,Season peak week,0.71389691821526
Dynamic Harmonic Model,2012/2013,41,Season peak percentage,0.71389691821526
Historical Average,2012/2013,41,Season onset,2.49863841242991e-06
Historical Average,2012/2013,41,Season peak week,2.49863841242991e-06
Historical Average,2012/2013,41,Season peak percentage,2.49863841242991e-06
Subtype Historical Average,2012/2013,41,Season onset,0.286100583146327
Subtype Historical Average,2012/2013,41,Season peak week,0.286100583146327
Subtype Historical Average,2012/2013,41,Season peak percentage,0.286100583146327
Dynamic Harmonic Model,2013/2014,41,Season onset,0.679547222851526
Dynamic Harmonic Model,2013/2014,41,Season peak week,0.679547222851526
Dynamic Harmonic Model,2013/2014,41,Season peak percentage,0.679547222851526
Historical Average,2013/2014,41,Season onset,6.1067308824333e-06
Historical Average,2013/2014,41,Season peak week,6.1067308824333e-06
Historical Average,2013/2014,41,Season peak percentage,6.1067308824333e-06
Subtype Historical Average,2013/2014,41,Season onset,0.320446670417591
Subtype Historical Average,2013/2014,41,Season peak week,0.320446670417591
Subtype Historical Average,2013/2014,41,Season peak percentage,0.320446670417591
Dynamic Harmonic Model,2014/2015,41,Season onset,0.763077336262202
Dynamic Harmonic Model,2014/2015,41,Season peak week,0.763077336262202
Dynamic Harmonic Model,2014/2015,41,Season peak percentage,0.763077336262202
Historical Average,2014/2015,41,Season onset,7.94166563983992e-06
Historical Average,2014/2015,41,Season peak week,7.94166563983992e-06
Historical Average,2014/2015,41,Season peak percentage,7.94166563983992e-06
Subtype Historical Average,2014/2015,41,Season onset,0.236914722072158
Subtype Historical Average,2014/2015,41,Season peak week,0.236914722072158
Subtype Historical Average,2014/2015,41,Season peak percentage,0.236914722072158
Dynamic Harmonic Model,2015/2016,41,Season onset,0.754892234527159
Dynamic Harmonic Model,2015/2016,41,Season peak week,0.754892234527159
Dynamic Harmonic Model,2015/2016,41,Season peak percentage,0.754892234527159
Historical Average,2015/2016,41,Season onset,2.42946525141522e-06
Historical Average,2015/2016,41,Season peak week,2.42946525141522e-06
Historical Average,2015/2016,41,Season peak percentage,2.42946525141522e-06
Subtype Historical Average,2015/2016,41,Season onset,0.24510533600759
Subtype Historical Average,2015/2016,41,Season peak week,0.24510533600759
Subtype Historical Average,2015/2016,41,Season peak percentage,0.24510533600759
Dynamic Harmonic Model,2016/2017,41,Season onset,0.642038821952515
