component_model_id,season,Model Week,location,target,weight
Historical Average,2010/2011,40,HHS Region 1,Season onset,0.346444116368469
Historical Average,2010/2011,40,HHS Region 1,Season peak week,0.346444116368469
Historical Average,2010/2011,40,HHS Region 1,Season peak percentage,0.346444116368469
Subtype Historical Average,2010/2011,40,HHS Region 1,Season onset,0.653555883631531
Subtype Historical Average,2010/2011,40,HHS Region 1,Season peak week,0.653555883631531
Subtype Historical Average,2010/2011,40,HHS Region 1,Season peak percentage,0.653555883631531
Historical Average,2011/2012,40,HHS Region 1,Season onset,0.272913058119794
Historical Average,2011/2012,40,HHS Region 1,Season peak week,0.272913058119794
Historical Average,2011/2012,40,HHS Region 1,Season peak percentage,0.272913058119794
Subtype Historical Average,2011/2012,40,HHS Region 1,Season onset,0.727086941880206
Subtype Historical Average,2011/2012,40,HHS Region 1,Season peak week,0.727086941880206
Subtype Historical Average,2011/2012,40,HHS Region 1,Season peak percentage,0.727086941880206
Historical Average,2012/2013,40,HHS Region 1,Season onset,0.382004583737649
Historical Average,2012/2013,40,HHS Region 1,Season peak week,0.382004583737649
Historical Average,2012/2013,40,HHS Region 1,Season peak percentage,0.382004583737649
Subtype Historical Average,2012/2013,40,HHS Region 1,Season onset,0.617995416262351
Subtype Historical Average,2012/2013,40,HHS Region 1,Season peak week,0.617995416262351
Subtype Historical Average,2012/2013,40,HHS Region 1,Season peak percentage,0.617995416262351
Historical Average,2013/2014,40,HHS Region 1,Season onset,0.576764650638737
Historical Average,2013/2014,40,HHS Region 1,Season peak week,0.576764650638737
Historical Average,2013/2014,40,HHS Region 1,Season peak percentage,0.576764650638737
Subtype Historical Average,2013/2014,40,HHS Region 1,Season onset,0.423235349361263
Subtype Historical Average,2013/2014,40,HHS Region 1,Season peak week,0.423235349361263
Subtype Historical Average,2013/2014,40,HHS Region 1,Season peak percentage,0.423235349361263
Historical Average,2014/2015,40,HHS Region 1,Season onset,0.583703746351719
Historical Average,2014/2015,40,HHS Region 1,Season peak week,0.583703746351719
Historical Average,2014/2015,40,HHS Region 1,Season peak percentage,0.583703746351719
Subtype Historical Average,2014/2015,40,HHS Region 1,Season onset,0.416296253648281
Subtype Historical Average,2014/2015,40,HHS Region 1,Season peak week,0.416296253648281
Subtype Historical Average,2014/2015,40,HHS Region 1,Season peak percentage,0.416296253648281
Historical Average,2015/2016,40,HHS Region 1,Season onset,0.318961854779912
Historical Average,2015/2016,40,HHS Region 1,Season peak week,0.318961854779912
Historical Average,2015/2016,40,HHS Region 1,Season peak percentage,0.318961854779912
Subtype Historical Average,2015/2016,40,HHS Region 1,Season onset,0.681038145220088
Subtype Historical Average,2015/2016,40,HHS Region 1,Season peak week,0.681038145220088
Subtype Historical Average,2015/2016,40,HHS Region 1,Season peak percentage,0.681038145220088
Historical Average,2016/2017,40,HHS Region 1,Season onset,0.338297175193267
Historical Average,2016/2017,40,HHS Region 1,Season peak week,0.338297175193267
Historical Average,2016/2017,40,HHS Region 1,Season peak percentage,0.338297175193267
Subtype Historical Average,2016/2017,40,HHS Region 1,Season onset,0.661702824806733
Subtype Historical Average,2016/2017,40,HHS Region 1,Season peak week,0.661702824806733
Subtype Historical Average,2016/2017,40,HHS Region 1,Season peak percentage,0.661702824806733
Historical Average,2017/2018,40,HHS Region 1,Season onset,2.07351472703297e-06
Historical Average,2017/2018,40,HHS Region 1,Season peak week,2.07351472703297e-06
Historical Average,2017/2018,40,HHS Region 1,Season peak percentage,2.07351472703297e-06
Subtype Historical Average,2017/2018,40,HHS Region 1,Season onset,0.999997926485273
Subtype Historical Average,2017/2018,40,HHS Region 1,Season peak week,0.999997926485273
Subtype Historical Average,2017/2018,40,HHS Region 1,Season peak percentage,0.999997926485273
Historical Average,2010/2011,41,HHS Region 1,Season onset,0.460929580568428
Historical Average,2010/2011,41,HHS Region 1,Season peak week,0.460929580568428
Historical Average,2010/2011,41,HHS Region 1,Season peak percentage,0.460929580568428
Subtype Historical Average,2010/2011,41,HHS Region 1,Season onset,0.539070419431572
Subtype Historical Average,2010/2011,41,HHS Region 1,Season peak week,0.539070419431572
Subtype Historical Average,2010/2011,41,HHS Region 1,Season peak percentage,0.539070419431572
Historical Average,2011/2012,41,HHS Region 1,Season onset,0.391369385791744
Historical Average,2011/2012,41,HHS Region 1,Season peak week,0.391369385791744
Historical Average,2011/2012,41,HHS Region 1,Season peak percentage,0.391369385791744
Subtype Historical Average,2011/2012,41,HHS Region 1,Season onset,0.608630614208256
Subtype Historical Average,2011/2012,41,HHS Region 1,Season peak week,0.608630614208256
Subtype Historical Average,2011/2012,41,HHS Region 1,Season peak percentage,0.608630614208256
Historical Average,2012/2013,41,HHS Region 1,Season onset,0.547393030394811
Historical Average,2012/2013,41,HHS Region 1,Season peak week,0.547393030394811
Historical Average,2012/2013,41,HHS Region 1,Season peak percentage,0.547393030394811
Subtype Historical Average,2012/2013,41,HHS Region 1,Season onset,0.452606969605189
Subtype Historical Average,2012/2013,41,HHS Region 1,Season peak week,0.452606969605189
Subtype Historical Average,2012/2013,41,HHS Region 1,Season peak percentage,0.452606969605189
Historical Average,2013/2014,41,HHS Region 1,Season onset,0.629298082667897
Historical Average,2013/2014,41,HHS Region 1,Season peak week,0.629298082667897
Historical Average,2013/2014,41,HHS Region 1,Season peak percentage,0.629298082667897
Subtype Historical Average,2013/2014,41,HHS Region 1,Season onset,0.370701917332103
Subtype Historical Average,2013/2014,41,HHS Region 1,Season peak week,0.370701917332103
Subtype Historical Average,2013/2014,41,HHS Region 1,Season peak percentage,0.370701917332103
Historical Average,2014/2015,41,HHS Region 1,Season onset,0.894975981014592
Historical Average,2014/2015,41,HHS Region 1,Season peak week,0.894975981014592
